Accession_number	Region	Domain
Q2WGJ6	[503, 580]	Attractin/LZTR1 beta-propeller
Q659A1	[882, 923]	NMDA receptor-regulated gene protein 2 C-terminus
Q6PEW0	[202, 221]	Trypsin
Q6ZWI9	[0, 24]	zinc finger of C3HC4-type, RING
Q7Z4F1	[147, 193]	Low-density lipoprotein receptor domain class A
Q86UF1	[170, 204]	Tetraspanin family
Q8NBB4	[89, 130]	SCAN domain
Q8NCW6	[543, 607]	Ricin-type beta-trefoil lectin domain
Q8TAS1	[27, 63]	Protein kinase domain
Q8WXS8	[406, 424]	Reprolysin (M12B) family zinc metalloprotease
Q9BY79	[273, 310]	Low-density lipoprotein receptor domain class A
Q9NY46	[1165, 1195]	Sodium ion transport-associated
Q9NY74	[576, 595]	Ewing's tumour-associated antigen 1 homologue
Q9P2E3	[1854, 1893]	RZ type zinc finger domain
Q9UKV8	[268, 309]	PAZ domain
A0FGR8	[592, 625]	C2 domain
A8MWY0	[457, 476]	ELAPOR1-like, galactose binding domain
O00222	[506, 573]	Nine Cysteines Domain of family 3 GPCR
O43638	[74, 111]	Forkhead domain
O43766	[69, 84]	N-terminal domain of lipoyl synthase of Radical_SAM family
P10912	[49, 73]	Erythropoietin receptor, ligand binding
P16615	[487, 525]	P-type ATPase, cytoplasmic domain N
P43268	[265, 330]	PEA3 subfamily ETS-domain transcription factor N terminal domain
P55773	[39, 119]	Small cytokines (intecrine/chemokine), interleukin-8 like
P57764	[445, 463]	Gasdermin PUB domain
P98073	[182, 218]	Low-density lipoprotein receptor domain class A
P98164	[2010, 2038]	Coagulation Factor Xa inhibitory site
Q15031	[471, 520]	tRNA synthetases class I (I, L, M and V)
Q5H8A4	[263, 283]	Type I phosphodiesterase / nucleotide pyrophosphatase
Q6UXB8	[113, 207]	Cysteine-rich secretory protein family
Q8IX01	[826, 845]	Surp module
Q99675	[265, 323]	Zinc finger, C3HC4 type (RING finger)
Q9UHB6	[385, 469]	LIM domain
A6NCW7	[81, 125]	Ubiquitin carboxyl-terminal hydrolase
O95445	[157, 187]	ApoM domain
P26436	[180, 264]	u-PAR/Ly-6 domain
P36269	[429, 451]	Gamma-glutamyltranspeptidase
P55055	[78, 165]	Double treble clef zinc finger, C4 type
Q13535	[508, 524]	Serine/threonine-protein kinase ATR, N-HEAT region
Q14765	[402, 424]	STAT protein, DNA binding domain
Q15366	[278, 308]	KH domain
Q3BBV2	[637, 671]	Olduvai domain
Q5VXU9	[157, 178]	Family of unknown function (DUF5587)
Q6ZVN8	[77, 125]	Repulsive guidance molecule (RGM) N-terminal domain
Q8NG08	[451, 484]	AAA domain
Q8WUM9	[392, 419]	Phosphate transporter family
Q9H5I1	[221, 247]	Pre-SET motif
Q9H9G7	[354, 371]	PAZ domain
Q9HCU4	[1742, 1774]	Laminin G domain
Q9P2D3	[1685, 1702]	HEATR5A-like, HEAT repeats
Q9UH90	[5, 146]	TRAF-like zinc-finger
Q9UMW8	[218, 243]	Ubiquitin carboxyl-terminal hydrolase
Q9Y252	[618, 644]	Ring finger domain
O14792	[258, 276]	Sulfotransferase domain
O43291	[66, 98]	Kunitz/Bovine pancreatic trypsin inhibitor domain
O60242	[831, 851]	GPCR proteolysis site, GPS, motif
O94911	[950, 976]	ABC-2 family transporter protein
P01036	[84, 139]	Cystatin domain
P20155	[29, 83]	Kazal-type serine protease inhibitor domain
Q07890	[267, 296]	RhoGEF domain
Q0VG06	[485, 512]	Fanconi anemia-associated
Q12918	[173, 224]	Lectin C-type domain
Q13115	[36, 64]	Rhodanese-like domain
Q5VWM6	[446, 473]	PRAME C-terminal domain
Q6S9Z5	[159, 188]	zinc-finger of a C2HC-type
Q8NER5	[15, 41]	Activin types I and II receptor domain
Q8NHL6	[379, 410]	Immunoglobulin domain
Q8TDY4	[341, 371]	PH domain
Q96SZ5	[172, 265]	PCO_ADO
Q9H6E5	[5, 45]	Zinc-finger of C2H2 type
Q9H9J4	[89, 154]	Ubiquitin carboxyl-terminal hydrolase
Q9NTG1	[1805, 1826]	Polycystin domain
Q9UBS8	[307, 357]	IBR domain, a half RING-finger domain
Q9ULK0	[124, 141]	Receptor family ligand binding region
A6NI73	[51, 85]	Immunoglobulin domain
C9JVI0	[79, 131]	Ubiquitin carboxyl-terminal hydrolase
D6RBQ6	[79, 131]	Ubiquitin carboxyl-terminal hydrolase
O15528	[103, 125]	Cytochrome P450
P07327	[92, 130]	Alcohol dehydrogenase GroES-like domain
P0C7U3	[108, 156]	DHHC palmitoyltransferase
P25398	[96, 124]	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
P25940	[1516, 1551]	Fibrillar collagen C-terminal domain
P56715	[91, 116]	Doublecortin
Q08357	[369, 449]	Phosphate transporter family
Q5VW22	[437, 492]	Putative GTPase activating protein for Arf
Q76L83	[1392, 1434]	PHD domain of transcriptional enhancer, Asx
Q8WUX1	[231, 248]	Transmembrane amino acid transporter protein
Q96CS7	[33, 72]	PH domain
Q9BWU0	[311, 347]	Double-stranded RNA binding motif
Q9H8J5	[39, 145]	MANEC domain
Q9NQR9	[90, 116]	PAP2 superfamily
Q9NRR2	[181, 265]	Trypsin
Q9P2L0	[1139, 1180]	IFT121, second zinc finger domain
Q9UKG1	[303, 389]	PH domain
Q9UL18	[272, 341]	PAZ domain
Q9UMS6	[35, 63]	PDZ domain
A0A1B0GTH6	[406, 512]	Casein kinase II subunit alpha'-interacting protein
A0A5A2	[97, 113]	Immunoglobulin V-set domain
O00548	[31, 70]	N terminus of Notch ligand C2-like domain
O00755	[123, 141]	wnt family
O43526	[520, 535]	KCNQ voltage-gated potassium channel
O43866	[57, 157]	Scavenger receptor cysteine-rich domain
O94875	[1056, 1087]	Variant SH3 domain
P01871	[65, 120]	Immunoglobulin C1-set domain
P13726	[219, 242]	Interferon-alpha/beta receptor, fibronectin type III
P49407	[125, 149]	Arrestin (or S-antigen), N-terminal domain
Q13117	[189, 212]	Daz repeat
Q15139	[180, 199]	Phorbol esters/diacylglycerol binding domain (C1 domain)
Q15910	[272, 338]	Ezh2, MCSS domain
Q6ZMP0	[368, 414]	ADAMTS cysteine-rich domain
Q86XK2	[850, 903]	Putative zinc finger in N-recognin (UBR box)
Q8IU81	[0, 40]	Interferon regulatory factor 2-binding protein zinc finger
Q8N684	[375, 405]	CPSF6-like, RSLD domain, N-terminal region
Q96GW7	[847, 869]	Sushi repeat (SCR repeat)
Q9BYD5	[0, 74]	PLAC8 family
Q9P2D0	[750, 773]	BTB/POZ domain
Q9UBX7	[166, 266]	Trypsin
A6NFC5	[56, 77]	PMP-22/EMP/MP20/Claudin tight junction
A8MUK1	[79, 131]	Ubiquitin carboxyl-terminal hydrolase
O75534	[103, 124]	Cold shock domain-containing protein E1 CSD domain
P22304	[154, 185]	Sulfatase
P40855	[209, 241]	Pex19 protein family
Q01973	[58, 84]	Immunoglobulin I-set domain
Q14315	[189, 220]	Calponin homology (CH) domain
Q15116	[122, 139]	Immunoglobulin V-set domain
Q15661	[209, 229]	Trypsin
Q16671	[68, 123]	Activin types I and II receptor domain
Q38SD2	[1151, 1206]	C-terminal of Roc, COR-B domain
Q4KMG0	[495, 514]	Immunoglobulin domain
Q5UE93	[618, 650]	Phosphoinositide 3-kinase gamma adapter protein p101 subunit
Q7RTY5	[200, 227]	Trypsin
Q86YW7	[24, 129]	Cystine-knot domain
Q8IVU3	[973, 999]	HECT-domain (ubiquitin-transferase)
Q8NBT3	[124, 145]	TMEM145, N-terminal domain
Q92608	[1395, 1415]	DHR-2, Lobe B
Q96SM3	[150, 172]	F5/8 type C domain
Q96T88	[480, 546]	SAD/SRA domain
Q9BTC0	[258, 326]	PHD-finger
Q9H8X2	[287, 315]	Inositol-pentakisphosphate 2-kinase
Q9NRX5	[3, 30]	Serine incorporator (Serinc)
Q9P244	[366, 394]	Immunoglobulin I-set domain
O75326	[552, 626]	Semaphorin-7A-like, immunoglobulin-like domain
O94956	[472, 507]	Organic Anion Transporter Polypeptide (OATP) family
O95156	[178, 208]	Neurexophilin
P04216	[104, 123]	Immunoglobulin domain
P09543	[405, 420]	2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)
P15289	[156, 181]	Sulfatase
P48067	[225, 249]	Sodium:neurotransmitter symporter family
P51816	[1100, 1116]	AFF4, C-terminal homology domain
Q13822	[776, 806]	DNA/RNA non-specific endonuclease
Q16515	[318, 378]	Amiloride-sensitive sodium channel
Q7Z407	[1750, 1776]	CUB domain
Q7Z4I7	[0, 35]	LIM domain
Q9HBH9	[211, 234]	Protein kinase domain
O00748	[79, 95]	Carboxylesterase family
P00519	[1014, 1055]	F-actin binding
P01733	[93, 109]	Immunoglobulin V-set domain
P50151	[32, 63]	GGL domain
Q15283	[724, 753]	BTK motif
Q16790	[161, 183]	Eukaryotic-type carbonic anhydrase
Q3YBR2	[240, 264]	F/Y rich C-terminus
Q6IPT4	[16, 43]	Oxidoreductase-like protein, N-terminal
Q8WVN8	[35, 55]	RWD domain
Q8WYQ5	[649, 671]	Double-stranded RNA binding motif
Q96FL9	[516, 551]	Ricin-type beta-trefoil lectin domain
Q96N67	[65, 111]	Dedicator of cytokinesis C/D, N terminal
Q99784	[52, 101]	Neurogenesis glycoprotein
Q9BZQ8	[103, 131]	Protein Niban 2-like, PH domain
Q9UHA3	[0, 44]	Ribosomal protein L24e
Q9UI42	[236, 281]	Zinc carboxypeptidase
Q9Y5L4	[38, 82]	Tim10/DDP family zinc finger
A8MT70	[109, 161]	ANCHR-like B-box zinc-binding domain
C9JJH3	[80, 123]	Ubiquitin carboxyl-terminal hydrolase
O75094	[32, 60]	Leucine rich repeat N-terminal domain
O95800	[293, 311]	7 transmembrane receptor (rhodopsin family)
O95868	[12, 118]	u-PAR/Ly-6 domain
P01034	[99, 123]	Cystatin domain
P01178	[9, 124]	Neurohypophysial hormones, C-terminal Domain
P09603	[161, 189]	Macrophage colony stimulating factor-1 (CSF-1)
P30511	[107, 134]	Class I Histocompatibility antigen, domains alpha 1 and 2
P51693	[56, 215]	Amyloid A4 N-terminal heparin-binding
Q01538	[578, 602]	Myelin transcription factor 1
Q13129	[477, 506]	Zinc finger protein Rlf-like, TPR repeats
Q14573	[39, 71]	Inositol 1,4,5-trisphosphate/ryanodine receptor
Q14953	[131, 211]	Immunoglobulin domain
Q53RY4	[133, 156]	Beta-casein like protein
Q63HN1	[269, 285]	FAM75 family
Q7RTS6	[211, 228]	Otopetrin
Q8WWB7	[239, 259]	Lysosomal transcription factor, NCU-G1
Q93052	[397, 462]	LIM domain
Q93084	[484, 549]	P-type ATPase, cytoplasmic domain N
Q9H0W7	[26, 101]	THAP domain
Q9P055	[0, 54]	JNK1/MAPK8-associated membrane protein
O14867	[522, 549]	bZIP Maf transcription factor
O43189	[90, 145]	PHD-finger
O95644	[670, 705]	Rel homology dimerisation domain
P01699	[27, 47]	Immunoglobulin V-set domain
P05160	[39, 96]	Sushi repeat (SCR repeat)
P08648	[864, 881]	Integrin alpha Ig-like domain 3
P14210	[55, 94]	PAN domain
P30566	[285, 300]	Lyase
P35030	[251, 271]	Trypsin
P50851	[2011, 2029]	Neurobeachin-like, DUF1088
Q15057	[395, 427]	Putative GTPase activating protein for Arf
Q15437	[50, 73]	Sec23/Sec24 zinc finger
Q16760	[178, 210]	Phorbol esters/diacylglycerol binding domain (C1 domain)
Q6NUS6	[90, 109]	N-terminal domain of DUF1619
Q7Z2T5	[502, 524]	N2,N2-dimethylguanosine tRNA methyltransferase
Q7Z5L0	[140, 201]	Vitelline membrane outer layer protein I (VOMI)
Q8IVF6	[935, 991]	Domain of unknown function (DUF3496)
Q8WTQ7	[98, 144]	Regulator of G protein signaling domain
Q8WTU2	[110, 139]	Scavenger receptor cysteine-rich domain
Q9BX93	[55, 134]	Group XII secretory phospholipase A2 precursor (PLA2G12)
Q9ULV1	[117, 169]	Fz domain
A1L157	[183, 200]	Tetraspanin family
O43240	[155, 181]	Trypsin
O76031	[99, 119]	CLPX-like, zinc ribbon domain
P01730	[143, 165]	Immunoglobulin C2-set domain
P0C7I0	[80, 128]	Ubiquitin carboxyl-terminal hydrolase
P14618	[341, 366]	Pyruvate kinase, barrel domain
P49207	[46, 91]	Ribosomal protein L34e
P51861	[120, 161]	LED repeat
P56277	[0, 60]	Cx9C motif-containing protein 4
Q07864	[2157, 2185]	Zinc finger domain of DNA polymerase-epsilon
Q5TEJ8	[344, 389]	Cell-cycle sustaining, positive selection,
Q6UYE1	[122, 158]	Leukemia-associated protein 7
Q71F56	[2095, 2123]	Mediator complex subunit 13 C-terminal domain
Q8TCX5	[284, 303]	BRO1-like domain
Q96D21	[129, 152]	Ras family
Q96HD1	[38, 69]	TLR4 regulator and MIR-interacting MSAP
Q96LD1	[152, 186]	Sarcoglycan complex subunit protein
Q9BU40	[246, 360]	von Willebrand factor type C domain
Q9HC78	[571, 597]	Zinc finger, C2H2 type
Q9NR21	[44, 75]	WWE domain
Q9UI36	[253, 278]	SKI/SNO/DAC Dachshund homology domain
A2RUB1	[863, 887]	Meiosis-specific coiled-coil domain-containing protein MEIOC
A3QJZ6	[448, 478]	PRAME C-terminal domain
A6NH00	[290, 311]	Olfactory receptor
A6NKQ9	[52, 71]	Cystine-knot domain
O15117	[503, 534]	Variant SH3 domain
O75132	[136, 175]	BED zinc finger
P02787	[20, 43]	Transferrin
P10589	[79, 154]	Double treble clef zinc finger, C4 type
P54764	[351, 391]	Fibronectin type III domain
Q5T2Q4	[0, 137]	Aspartate-rich protein 1-like
Q6P5X7	[20, 70]	TMEM71 protein family
Q8IWU6	[609, 646]	Sulfatase protein
Q8N302	[226, 258]	OCRE domain
Q8NF50	[94, 115]	Dedicator of cytokinesis C/D, N terminal
Q96HD9	[42, 72]	Succinylglutamate desuccinylase/Aspartoacylase catalytic domain
Q96LA6	[258, 294]	Immunoglobulin domain
Q9NR99	[490, 508]	Immunoglobulin domain
Q9UHF5	[83, 142]	Interleukin-17
Q9UK28	[60, 142]	Brain specific membrane anchored protein
Q9UNK4	[38, 107]	Phospholipase A2
Q9Y210	[249, 277]	Transient receptor ion channel II
O95757	[759, 783]	HYOU1-like, C-terminal domain
P04198	[106, 130]	Myc amino-terminal region
P14415	[118, 168]	Sodium / potassium ATPase beta chain
P28702	[195, 276]	Double treble clef zinc finger, C4 type
Q07912	[442, 480]	GTPase binding
Q13077	[372, 415]	TRAF/meprin, MATH domain
Q2VIR3	[91, 117]	Elongation factor Tu GTP binding domain
Q5TYX0	[447, 475]	PRAME C-terminal domain
Q6NZ36	[149, 178]	Ubiquitin-binding zinc-finger
Q6T4R5	[780, 835]	NHS-like protein
Q6URK8	[33, 81]	Sperm microtubule inner protein 8
Q6ZUB0	[92, 148]	Domain of unknown function (DUF4599)
Q7Z4Q2	[44, 116]	HEAT-like repeat
Q8IUG5	[1062, 1085]	Myosin head (motor domain)
Q8WWN9	[31, 57]	PH domain
Q92484	[59, 74]	Calcineurin-like phosphoesterase
Q96GX1	[170, 200]	N-terminal domain of DUF1619
Q96LA5	[259, 280]	Immunoglobulin domain
Q96PZ7	[209, 226]	CUB domain
Q99963	[285, 316]	SH3 domain
Q9NY15	[1830, 1895]	Fasciclin domain
Q9UJW2	[259, 319]	Papain family cysteine protease
Q9Y698	[39, 83]	PMP-22/EMP/MP20/Claudin family
O94929	[103, 169]	LIM domain
O95704	[138, 161]	Phosphotyrosine interaction domain (PTB/PID)
P22897	[306, 333]	Lectin C-type domain
P23759	[44, 97]	'Paired box' domain
P37088	[371, 409]	Amiloride-sensitive sodium channel
P43652	[75, 133]	Serum albumin family
P81274	[484, 509]	GoLoco motif
Q10472	[519, 558]	Ricin-type beta-trefoil lectin domain
Q13615	[321, 340]	Myotubularin-like phosphatase domain
Q14839	[362, 421]	PHD-finger
Q15834	[69, 98]	CCDC85 family
Q3LI59	[0, 42]	Keratin-associated matrix
Q8N9V2	[34, 64]	zinc finger of C3HC4-type, RING
Q8NEB7	[98, 134]	Proacrosin binding protein sp32
Q8TE12	[116, 151]	LIM domain
Q96CA5	[247, 297]	Zinc finger, C3HC4 type (RING finger)
Q96HI0	[174, 233]	Sentrin-specific protease 3/5 N-terminal
Q99988	[201, 307]	Transforming growth factor beta like domain
Q9BYV6	[7, 91]	RING-type zinc-finger
Q9GZR1	[778, 805]	Ulp1 protease family, C-terminal catalytic domain
Q9UHB9	[547, 579]	RNA-binding signal recognition particle 68
Q9Y6L7	[348, 366]	CUB domain
A0A075B6H9	[95, 118]	Immunoglobulin V-set domain
O43597	[166, 302]	Sprouty protein (Spry)
O75445	[304, 336]	Laminin N-terminal (Domain VI)
P04733	[0, 60]	Metallothionein
P09093	[207, 226]	Trypsin
P22692	[18, 117]	Insulin-like growth factor binding protein
Q6X4U4	[70, 177]	Sclerostin (SOST)
Q7Z7G8	[2452, 2469]	VPS13-like family middle region
Q8N806	[48, 140]	Putative zinc finger in N-recognin (UBR box)
Q8WTQ4	[233, 257]	Domain of unknown function (DUF4638)
Q92529	[198, 213]	Phosphotyrosine interaction domain (PTB/PID)
Q96LL4	[181, 201]	Domain of unknown function (DUF4606)
Q9H013	[101, 121]	Reprolysin family propeptide
Q9NP50	[1, 70]	Protein Family FAM60A
Q9NWH9	[391, 440]	RNA recognition motif
P00325	[91, 120]	Alcohol dehydrogenase GroES-like domain
P02790	[223, 238]	Hemopexin
P16871	[30, 54]	Fibronectin type III domain
P26010	[32, 94]	Integrin plexin domain
P51689	[490, 535]	C-terminal region of aryl-sulfatase
P51784	[690, 716]	Ubiquitin carboxyl-terminal hydrolase
P60484	[285, 312]	C2 domain of PTEN tumour-suppressor protein
P78334	[433, 474]	Neurotransmitter-gated ion-channel transmembrane region
Q17RN3	[89, 109]	Protein of unknown function (DUF2465)
Q5VTE6	[37, 168]	Protein angel homolog 2 N-terminal
Q5VZB9	[84, 135]	DM DNA binding domain
Q96AT9	[0, 18]	Ribulose-phosphate 3 epimerase family
Q96EG1	[159, 195]	Sulfatase
Q96NH3	[70, 96]	Broad-minded protein N-terminal domain
Q99424	[405, 421]	Acyl-CoA oxidase, C-alpha1 domain
Q9BRQ0	[324, 393]	Pygopus, PHD-type zinc finger
Q9H0H0	[224, 240]	Integrator complex subunit 2
Q9H9P5	[629, 679]	Zinc finger, C3HC4 type (RING finger)
Q9NRY4	[946, 966]	p190RhoGAP, pG1 and pG2 domains
Q9UHC7	[361, 401]	RNA-binding, Nab2-type zinc finger
Q9UHV7	[1883, 1909]	Mediator complex subunit 13 C-terminal domain
Q9Y282	[118, 195]	Endoplasmic reticulum vesicle transporter
A0A075B6N4	[89, 105]	Immunoglobulin V-set domain
O00507	[1722, 1738]	Ubiquitin carboxyl-terminal hydrolase
O94806	[189, 211]	Phorbol esters/diacylglycerol binding domain (C1 domain)
P05231	[65, 102]	Interleukin-6/G-CSF/MGF family
P18433	[723, 738]	Protein-tyrosine phosphatase
P29597	[287, 321]	Jak1 pleckstrin homology-like domain
P55103	[309, 351]	Transforming growth factor beta like domain
P68366	[27, 54]	Tubulin/FtsZ family, GTPase domain
Q0P6D6	[876, 904]	Coiled-coil domain-containing protein 15 C-terminal domain
Q15560	[125, 222]	Transcription factor S-II (TFIIS), central domain
Q8NAG6	[45, 69]	Ankyrin repeats (3 copies)
Q8NHY6	[249, 284]	KRAB box
Q8WXE1	[319, 345]	ATRIP C-terminal domain
Q9H461	[97, 151]	Fz domain
Q9NYK6	[5, 56]	EURL protein
Q9P1T7	[158, 245]	MyoD family inhibitor
A6NL88	[75, 132]	Shisa, N-terminal domain
O94851	[1038, 1070]	LIM domain
P19875	[48, 93]	Small cytokines (intecrine/chemokine), interleukin-8 like
P20749	[327, 343]	Ankyrin repeats (3 copies)
P47944	[0, 61]	Metallothionein
P48509	[146, 201]	Tetraspanin family
P51587	[1670, 1697]	BRCA2 repeat
P56705	[195, 241]	wnt family
Q01974	[233, 328]	Fz domain
Q5BN46	[89, 114]	Piercer of microtubule wall 1/2
Q86V20	[418, 446]	Shieldin complex subunit 2, first OB fold domain
Q8N812	[24, 66]	Family of unknown function (DUF5541)
Q8TAG5	[109, 141]	Immunoglobulin V-set domain
Q8TE54	[531, 567]	STAS domain
Q8WWP7	[50, 103]	AIG1 family
Q9BYW2	[2469, 2535]	SRI (Set2 Rpb1 interacting) domain
Q9NRF2	[295, 371]	PH domain
Q9Y3T6	[61, 77]	R3H domain
Q9Y6G9	[48, 67]	Dynein light intermediate chain (DLIC)
A0A2R8Y4M4	[26, 82]	zinc-RING finger domain
A0AAG2UXK7	[843, 866]	Olduvai domain
A0AUZ9	[893, 929]	PEHE domain
O00253	[80, 131]	Agouti protein
O15198	[89, 139]	MH1 domain
O94913	[1430, 1490]	Pcf11, C-terminal domain
P08311	[112, 157]	Trypsin
P09341	[32, 92]	Small cytokines (intecrine/chemokine), interleukin-8 like
P09544	[129, 150]	wnt family
P0DPF2	[0, 62]	Olduvai domain
P16870	[287, 327]	Zinc carboxypeptidase
P34096	[48, 146]	Pancreatic ribonuclease
P49862	[125, 240]	Trypsin
P80075	[24, 72]	Small cytokines (intecrine/chemokine), interleukin-8 like
Q01151	[23, 53]	Immunoglobulin V-set domain
Q02241	[189, 208]	Kinesin motor domain
Q02833	[58, 84]	Ras association (RalGDS/AF-6) domain
Q15042	[645, 704]	Rab3 GTPase-activating protein catalytic subunit
Q16594	[68, 101]	Transcription initiation factor IID, 31kD subunit
Q3V5L5	[656, 791]	Glycosyltransferase family 18
Q6ZWE6	[675, 760]	Rubicon Homology Domain
Q7LGA3	[189, 208]	Sulfotransferase family
Q8N5U0	[68, 118]	Domain of unknown function (DUF4663)
Q969H9	[71, 102]	Disrupted in renal carcinoma protein 1
Q96LC7	[306, 336]	Immunoglobulin I-set domain
Q9NRU3	[711, 726]	Metal transporter CNNM2-like, C-terminal CNBH domain
A6NFH5	[109, 139]	Lipocalin / cytosolic fatty-acid binding protein family
O14522	[1370, 1390]	Protein-tyrosine phosphatase
O15165	[0, 55]	Low-density lipoprotein receptor domain class A
P0CW18	[215, 314]	Trypsin
P13224	[132, 153]	Platelet glycoprotein Ib beta chain C-terminal domain
P56373	[102, 128]	ATP P2X receptor
P61129	[321, 357]	KIAA1064-like, CCCH zinc finger
Q11130	[63, 78]	Fucosyltransferase, N-terminal
Q14831	[377, 401]	Receptor family ligand binding region
Q14966	[1921, 1955]	Zinc-finger double-stranded RNA-binding
Q5T5C0	[914, 938]	Lethal giant larvae(Lgl) like, C-terminal
Q7L0R7	[402, 431]	Ring finger domain
Q7Z3Y9	[75, 92]	Intermediate filament protein
Q86XA9	[1324, 1339]	Laa1/Sip1/HEATR5 HEAT repeat region
Q8N3C7	[524, 548]	CAP-Gly domain
Q8N7H5	[22, 65]	Paf1
Q8NF86	[152, 182]	Trypsin
Q8TC05	[350, 371]	Nuclear protein MDM1
Q8TE76	[414, 474]	CW-type Zinc Finger
Q96KX2	[43, 59]	F-actin capping protein alpha subunit
Q99502	[378, 395]	haloacid dehalogenase-like hydrolase
Q9BYJ0	[35, 118]	FGF binding protein 1 (FGF-BP1)
Q9GZT5	[146, 168]	wnt family
Q9H3R1	[810, 836]	Sulfotransferase domain
Q9Y6U7	[312, 335]	Ring finger domain
A8MUP6	[92, 112]	GSG1-like protein
O14905	[131, 156]	wnt family
O15230	[63, 132]	Laminin N-terminal (Domain VI)
O15547	[126, 164]	ATP P2X receptor
O60243	[116, 133]	Sulfotransferase family
P36551	[162, 207]	Coproporphyrinogen III oxidase
P62736	[9, 49]	Actin
Q0WX57	[79, 131]	Ubiquitin carboxyl-terminal hydrolase
Q15468	[95, 124]	STIL N-terminal domain
Q5VU36	[689, 724]	FAM75 family
Q6UXV1	[149, 169]	Izumo sperm-egg fusion, Ig domain-associated
Q6ZVC0	[572, 647]	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter
Q70EL2	[578, 661]	Ubiquitin carboxyl-terminal hydrolase
Q7Z478	[637, 667]	DEAD/DEAH box helicase
Q9H2E6	[349, 384]	Sema domain
Q9H4D5	[264, 332]	NXF1/2/3/5 leucine-rich repeat domain
Q9NR50	[390, 433]	EIF2B subunit epsilon LbH domain
Q9NXF8	[119, 168]	DHHC palmitoyltransferase
B0I1T2	[973, 990]	Unconventional myosin tail, actin- and lipid-binding
O95631	[43, 116]	Laminin N-terminal (Domain VI)
P02679	[21, 41]	Fibrinogen alpha/beta chain family
P08833	[27, 89]	Insulin-like growth factor binding protein
P58215	[112, 159]	Scavenger receptor cysteine-rich domain
Q2L4Q9	[140, 326]	Trypsin
Q496Y0	[146, 204]	Zinc finger, C3HC4 type (RING finger)
Q5T871	[19, 54]	Late cornified envelope-like proline-rich protein 1
Q6UW56	[146, 202]	ATRAID-like, EGF domain
Q7Z3D6	[138, 280]	D-glutamate cyclase
Q9BQT9	[101, 125]	Calsyntenin, immunoglobulin-like domain
Q9H8W4	[138, 228]	FYVE zinc finger
Q9UBU7	[280, 302]	DBF zinc finger
Q9UGU0	[1888, 1936]	PHD-like zinc-binding domain
Q9Y4G2	[1021, 1054]	Rubicon Homology Domain
A8MVM7	[148, 176]	Domain of unknown function (DUF4553)
O60262	[20, 55]	GGL domain
O60879	[141, 165]	Diaphanous GTPase-binding Domain
