Accession_number	Region	Region_length
P35372	[34, 62]	29
P35789	[108, 181]	74
P35789	[192, 243]	52
P35789	[388, 439]	52
Q6DN03	[88, 116]	29
Q6DN03	[137, 170]	34
Q6ZNG2	[141, 163]	23
Q6ZS27	[195, 346]	152
Q96HD1	[129, 336]	208
Q9BV87	[260, 277]	18
Q9BV87	[325, 361]	37
Q9BYR2	[0, 180]	181
Q9H9S0	[0, 38]	39
Q9HC78	[56, 76]	21
Q9HC78	[698, 729]	32
Q9NQF3	[187, 202]	16
Q9UET6	[267, 328]	62
A3QJZ6	[127, 145]	19
O00161	[68, 96]	29
P02787	[343, 369]	27
P54764	[222, 334]	113
Q15928	[105, 145]	41
Q15928	[218, 269]	52
Q56VL3	[122, 146]	25
Q8IWU6	[434, 485]	52
Q8IWU6	[831, 850]	20
Q96K80	[31, 101]	71
Q96MH2	[267, 285]	19
Q9NS68	[27, 72]	46
Q9NS68	[209, 278]	70
Q9UK28	[31, 55]	25
Q9UNK4	[129, 144]	16
Q9Y210	[32, 65]	34
C9JH25	[796, 841]	46
O95436	[625, 689]	65
P0CI00	[114, 267]	154
P45880	[0, 21]	22
Q13077	[11, 66]	56
Q13077	[77, 104]	28
Q5TB30	[390, 430]	41
Q5TB30	[487, 517]	31
Q5VUG0	[635, 659]	25
Q6S8J7	[17, 44]	28
Q86UZ6	[490, 513]	24
Q86VK4	[210, 226]	17
Q86VK4	[270, 325]	56
Q8N1L9	[73, 133]	61
Q8N9F0	[0, 19]	20
Q9BU19	[0, 35]	36
Q9BU19	[63, 78]	16
Q9BU19	[319, 375]	57
Q9BU19	[408, 462]	55
Q9HCX3	[133, 209]	77
Q9HCX3	[242, 293]	52
Q9HCX3	[438, 517]	80
Q9UJW2	[56, 74]	19
Q9UJW2	[84, 159]	76
H3BUK9	[0, 44]	45
H3BUK9	[54, 81]	28
O14901	[157, 204]	48
O14901	[220, 243]	24
O14901	[415, 468]	54
O94929	[116, 164]	49
O95704	[249, 273]	25
P22459	[615, 652]	38
P35913	[28, 52]	25
P35913	[831, 853]	23
Q68DI1	[255, 517]	263
Q8NDY8	[31, 47]	17
Q8NEB7	[383, 404]	22
Q92963	[0, 16]	17
Q96CA5	[24, 39]	16
Q96JB3	[433, 456]	24
Q96JB3	[496, 547]	52
Q99988	[192, 216]	25
Q9BYR5	[0, 135]	136
Q9BYV6	[186, 210]	25
Q9WJR5	[928, 958]	31
O14639	[4, 23]	20
O14639	[59, 126]	68
O43597	[276, 314]	39
P22692	[120, 147]	28
P98077	[72, 108]	37
Q5JXM2	[0, 21]	22
Q5JXM2	[86, 106]	21
Q75N03	[100, 119]	20
Q75N03	[129, 181]	53
Q8N806	[133, 158]	26
Q8TC27	[373, 536]	164
Q8TC27	[591, 662]	72
Q8WYQ9	[776, 806]	31
Q8WYQ9	[897, 930]	34
Q9H013	[349, 690]	342
Q9H093	[560, 627]	68
Q9HBT6	[586, 606]	21
Q9NQX0	[127, 173]	47
Q9NQX0	[188, 219]	32
Q9NQX0	[483, 591]	109
Q9NVF9	[11, 48]	38
Q9UN74	[725, 741]	17
O43248	[5, 28]	24
O75564	[538, 555]	18
P19013	[0, 23]	24
P26010	[465, 681]	217
P98168	[192, 229]	38
P98168	[321, 377]	57
P98168	[429, 447]	19
Q147U1	[187, 240]	54
Q147U1	[385, 532]	148
Q5T7W0	[247, 270]	24
Q96N19	[325, 354]	30
Q96N19	[371, 416]	46
Q9H9P5	[70, 161]	92
Q9H9P5	[202, 329]	128
Q9NYJ7	[168, 475]	308
Q9UBN6	[72, 191]	120
Q9UGC6	[17, 49]	33
Q9UHC7	[168, 268]	101
Q9UKT9	[109, 233]	125
O15156	[337, 388]	52
Q01954	[26, 65]	40
Q01954	[294, 316]	23
Q01954	[348, 401]	54
Q01954	[429, 452]	24
Q01954	[711, 764]	54
Q01954	[947, 972]	26
Q13772	[340, 377]	38
Q13772	[387, 431]	45
Q5JVG2	[167, 190]	24
Q5JVG2	[212, 237]	26
Q5JVG2	[263, 302]	40
Q5JVG2	[338, 426]	89
Q5JVG2	[821, 848]	28
Q6ZN11	[132, 202]	71
Q6ZN11	[218, 297]	80
Q7RTS3	[90, 129]	40
Q8N8U3	[447, 474]	28
Q8NHY6	[416, 483]	68
Q8NHY6	[505, 603]	99
Q92800	[322, 381]	60
Q92800	[396, 432]	37
Q92800	[483, 613]	131
Q96NS1	[0, 26]	27
Q9H461	[217, 268]	52
Q9NRS4	[72, 101]	30
O75113	[531, 567]	37
Q15466	[0, 15]	16
Q15466	[32, 57]	26
Q3B8N5	[4, 24]	21
Q8IXZ2	[662, 802]	141
Q8NEG5	[514, 559]	46
Q8NEG5	[591, 614]	24
Q8TC21	[186, 405]	220
Q96JK2	[872, 893]	22
Q9UJM3	[102, 155]	54
Q9UM63	[23, 105]	83
Q9UM63	[147, 173]	27
Q9UN75	[723, 741]	19
O15198	[175, 207]	33
P01100	[313, 331]	19
Q02833	[95, 129]	35
Q02833	[141, 161]	21
Q15042	[500, 532]	33
Q3V5L5	[770, 787]	18
Q5FWF6	[225, 299]	75
Q6ICB4	[152, 183]	32
Q6ICB4	[239, 258]	20
Q6ZNH5	[95, 148]	54
Q8N988	[136, 187]	52
Q96HQ0	[250, 329]	80
Q96LC7	[450, 466]	17
Q9BWW7	[182, 236]	55
Q9BWW7	[323, 346]	24
Q9NRU3	[887, 918]	32
O00622	[20, 173]	154
P0CW18	[360, 396]	37
P13224	[19, 41]	23
P54257	[0, 19]	20
P54257	[655, 670]	16
Q6ZMY9	[169, 185]	17
Q6ZMY9	[196, 248]	53
Q7L0R7	[119, 164]	46
Q86TJ5	[262, 287]	26
Q86TJ5	[315, 478]	164
Q9Y6U7	[307, 325]	19
A6NEQ0	[431, 480]	50
A6NKF1	[46, 70]	25
P17031	[163, 235]	73
P17031	[249, 300]	52
P36551	[9, 35]	27
Q0WX57	[34, 61]	28
Q3KNW5	[0, 20]	21
Q3KNW5	[315, 339]	25
Q3KNW5	[352, 376]	25
Q5RL73	[169, 221]	53
Q70EL2	[159, 189]	31
Q7Z6M1	[18, 45]	28
Q8N8Z8	[55, 199]	145
Q8N8Z8	[218, 692]	475
Q96EG3	[104, 324]	221
Q96JF6	[118, 169]	52
Q96JF6	[559, 613]	55
Q96JF6	[752, 803]	52
Q9H4D5	[310, 332]	23
A8MUZ8	[107, 239]	133
O95631	[274, 489]	216
P17032	[164, 192]	29
P17032	[262, 313]	52
P17032	[457, 534]	78
P52798	[142, 162]	21
Q2L4Q9	[282, 305]	24
Q2L4Q9	[532, 552]	21
Q496Y0	[405, 433]	29
Q6UW56	[68, 89]	22
Q6ZNE9	[509, 570]	62
Q7Z3V5	[81, 176]	96
Q7Z3V5	[186, 293]	108
Q8N554	[157, 190]	34
Q8N554	[223, 249]	27
Q8N554	[414, 481]	68
Q8NC60	[130, 153]	24
Q8TCV5	[17, 139]	123
Q96JP5	[302, 358]	57
Q9NS98	[517, 556]	40
Q9NS98	[724, 746]	23
O95620	[0, 23]	24
P07333	[942, 971]	30
P21128	[18, 133]	116
P41143	[330, 369]	40
Q9BYE2	[196, 217]	22
B7Z6K7	[83, 106]	24
B7Z6K7	[192, 256]	65
O00217	[100, 118]	19
O00327	[229, 279]	51
O00327	[298, 317]	20
P40126	[18, 70]	53
P40126	[96, 127]	32
Q15464	[44, 71]	28
Q15464	[99, 150]	52
Q15464	[193, 233]	41
Q8N635	[337, 362]	26
Q9HCK0	[317, 368]	52
Q9HCK0	[391, 420]	30
Q9UL40	[57, 88]	32
A0A7P0TAN4	[222, 273]	52
O60260	[314, 391]	78
P21754	[280, 336]	57
P28799	[15, 587]	573
P35414	[321, 340]	20
P63136	[923, 953]	31
Q495A1	[189, 222]	34
Q6GPH4	[30, 182]	153
Q6ZMV8	[108, 142]	35
Q6ZMV8	[164, 272]	109
Q96H40	[114, 151]	38
Q96H40	[285, 364]	80
Q96NL8	[19, 42]	24
Q9Y473	[187, 208]	22
Q9Y473	[230, 321]	92
Q9Y473	[382, 433]	52
Q9Y473	[466, 545]	80
A0A1W2PPM1	[128, 199]	72
A6NI47	[17, 81]	65
A6NI47	[91, 118]	28
C9JN71	[134, 185]	52
O14836	[23, 123]	101
O14836	[184, 204]	21
O14836	[219, 292]	74
O60711	[319, 336]	18
P0DPK3	[22, 257]	236
Q13398	[124, 149]	26
Q13398	[204, 226]	23
Q13398	[304, 383]	80
Q13474	[0, 44]	45
Q14393	[97, 283]	187
Q8N4W9	[222, 526]	305
Q92629	[270, 288]	19
Q96LW9	[209, 281]	73
Q9BVS4	[353, 374]	22
Q9H0D6	[252, 291]	40
Q9UBF6	[0, 23]	24
A0A0A6YYL3	[0, 44]	45
A0A0A6YYL3	[54, 81]	28
O94900	[9, 41]	33
O95376	[128, 143]	16
O95376	[223, 325]	103
P02765	[19, 41]	23
P02765	[87, 109]	23
P02765	[129, 157]	29
P54753	[258, 345]	88
Q02643	[21, 53]	33
Q5JTZ5	[0, 15]	16
Q6H8Q1	[0, 30]	31
Q6H8Q1	[117, 163]	47
Q6PDB4	[173, 226]	54
Q6X784	[217, 235]	19
Q8NCS7	[68, 83]	16
Q8NDW4	[371, 564]	194
Q8NFJ8	[363, 380]	18
Q96HF1	[141, 188]	48
Q96NN9	[56, 78]	23
Q9UGI8	[33, 55]	23
Q9UPM6	[0, 70]	71
Q9Y2Q1	[52, 83]	32
Q9Y2Q1	[105, 143]	39
Q9Y2Q1	[162, 293]	132
Q9Y2Q1	[306, 360]	55
Q9Y2Q1	[422, 503]	82
A0A8I5KTY6	[91, 142]	52
A0A8I5KTY6	[203, 268]	66
O00213	[663, 681]	19
O14763	[70, 189]	120
O15355	[484, 509]	26
Q17RS7	[236, 307]	72
Q17RS7	[842, 899]	58
Q6A163	[0, 70]	71
Q6A163	[392, 452]	61
Q6FI81	[226, 297]	72
Q6NSI1	[6, 50]	45
Q8N587	[215, 323]	109
Q8WY36	[595, 617]	23
Q96MU6	[106, 151]	46
Q96MU6	[172, 267]	96
Q9BWX5	[178, 276]	99
Q9NZL4	[337, 357]	21
Q9UBT6	[608, 709]	102
Q9Y2I2	[298, 528]	231
O95886	[428, 449]	22
O95886	[464, 526]	63
O95965	[27, 493]	467
P81408	[212, 232]	21
P81408	[300, 319]	20
P81408	[373, 389]	17
P81408	[520, 542]	23
Q15785	[56, 73]	18
Q5H913	[264, 289]	26
Q6ZMZ0	[108, 176]	69
Q6ZMZ0	[636, 656]	21
Q6ZN55	[300, 350]	51
Q6ZN55	[383, 405]	23
Q6ZN55	[457, 509]	53
Q6ZN55	[729, 780]	52
Q86U70	[0, 19]	20
Q86Y25	[207, 258]	52
Q86Y25	[403, 482]	80
Q969T3	[294, 310]	17
Q99661	[246, 269]	24
Q9BZR6	[28, 51]	24
Q9BZR6	[324, 345]	22
Q9H609	[18, 48]	31
Q9H609	[103, 157]	55
O14649	[350, 372]	23
O43609	[280, 318]	39
P10074	[185, 209]	25
P10074	[282, 364]	83
P17014	[260, 444]	185
P17014	[455, 551]	97
P17014	[624, 640]	17
P46092	[323, 358]	36
Q08AE8	[614, 629]	16
Q13516	[282, 307]	26
Q86W56	[230, 256]	27
Q8IWL2	[9, 35]	27
Q8TBC5	[432, 455]	24
Q969W9	[11, 30]	20
Q9BXR3	[925, 955]	31
Q9H2Y9	[22, 72]	51
Q9NS73	[177, 197]	21
Q9Y5F7	[719, 742]	24
A6NDE4	[433, 459]	27
O43309	[237, 316]	80
P00747	[140, 361]	222
P0DXC3	[343, 364]	22
P22079	[121, 144]	24
P32239	[400, 418]	19
P80370	[21, 253]	233
Q6UXH9	[32, 87]	56
Q6UXH9	[255, 289]	35
Q7Z3F1	[581, 647]	67
Q8IWY8	[669, 720]	52
Q8N2W9	[389, 424]	36
Q8WXH6	[250, 276]	27
Q96N77	[242, 357]	116
Q9BYQ7	[0, 145]	146
Q9UHR6	[0, 66]	67
A6NKU9	[112, 136]	25
A6NKU9	[185, 209]	25
A6NKU9	[258, 282]	25
O43610	[109, 172]	64
P01732	[208, 226]	19
P0CG32	[338, 367]	30
P22681	[711, 738]	28
P35368	[361, 379]	19
P36941	[28, 219]	192
P54278	[201, 225]	25
P54687	[0, 17]	18
Q6NUI2	[0, 18]	19
Q8NI29	[79, 118]	40
Q9BYQ9	[0, 184]	185
A2RUB6	[85, 113]	29
D6RJB6	[34, 61]	28
O43435	[357, 397]	41
P09958	[576, 684]	109
Q13137	[386, 426]	41
Q1X8D7	[563, 583]	21
Q7Z6J0	[82, 116]	35
Q8NAP8	[159, 209]	51
Q8NAP8	[360, 435]	76
Q96NL3	[170, 271]	102
Q96NL3	[330, 411]	82
Q9BR26	[498, 527]	30
Q9BTN0	[14, 40]	27
Q9BYQ4	[0, 173]	174
Q9P107	[494, 525]	32
Q9Y215	[364, 450]	87
Q9Y6Q2	[126, 145]	20
G5E9R7	[0, 232]	233
Q07021	[54, 78]	25
Q86Y33	[179, 199]	21
Q8TB22	[759, 785]	27
Q8WZ73	[4, 97]	94
Q92832	[214, 231]	18
Q92832	[256, 809]	554
Q96GX5	[306, 338]	33
Q96GX5	[444, 485]	42
Q96GX5	[523, 564]	42
Q9HCU0	[159, 174]	16
Q9HCU0	[195, 359]	165
Q9UND3	[324, 345]	22
O00292	[240, 269]	30
O95263	[86, 115]	30
O95571	[236, 253]	18
P04070	[92, 126]	35
P48060	[182, 207]	26
Q14574	[660, 680]	21
Q14574	[735, 823]	89
Q16549	[692, 713]	22
Q16549	[758, 784]	27
Q6P3X8	[559, 587]	29
Q8WXD0	[109, 129]	21
Q96GX9	[0, 28]	29
Q96I82	[42, 177]	136
Q9H4F8	[32, 167]	136
P78549	[283, 301]	19
Q13461	[229, 249]	21
Q53RE8	[0, 22]	23
Q5TA31	[86, 117]	32
Q6NUN9	[501, 552]	52
Q8NAM6	[287, 382]	96
Q8NEA9	[33, 68]	36
Q8TF50	[99, 154]	56
Q8TF50	[191, 215]	25
Q8TF50	[296, 346]	51
Q8TF50	[436, 486]	51
Q92581	[586, 606]	21
Q96EV8	[131, 151]	21
Q9ULJ1	[458, 502]	45
Q9ULJ1	[513, 539]	27
Q9Y6X2	[390, 427]	38
A8MXQ7	[300, 358]	59
O60294	[468, 484]	17
P62745	[178, 195]	18
Q86UD7	[232, 249]	18
Q86UQ0	[239, 290]	52
Q8IXS0	[488, 507]	20
Q8IZ26	[242, 322]	81
Q8NEP9	[103, 129]	27
Q8NEP9	[163, 242]	80
Q8TCN5	[146, 169]	24
Q8TCN5	[182, 210]	29
Q8TCN5	[632, 717]	86
Q8TCN5	[734, 804]	71
Q8TF66	[21, 39]	19
Q8TF66	[558, 580]	23
Q9H2S5	[77, 147]	71
Q9HBQ8	[34, 105]	72
Q9HBQ8	[126, 143]	18
Q9Y4K3	[0, 37]	38
Q9Y4K3	[127, 211]	85
A6NFA0	[38, 58]	21
A6NK02	[46, 69]	24
Q5VTL7	[403, 426]	24
Q5VTL7	[444, 468]	25
Q5VTL7	[489, 523]	35
Q5VTL7	[533, 552]	20
Q5VTL7	[574, 595]	22
Q86UD3	[0, 39]	40
Q8IXT1	[954, 993]	40
Q8TD94	[109, 148]	40
Q8TD94	[186, 241]	56
Q92785	[200, 223]	24
Q92785	[261, 374]	114
Q9BTT6	[414, 435]	22
Q9H0F5	[202, 238]	37
Q9H0F5	[452, 467]	16
Q9UJU3	[185, 245]	61
Q9UJU3	[280, 304]	25
Q9UJU3	[320, 352]	33
Q9UJU3	[516, 567]	52
A2A3K4	[47, 67]	21
O15488	[301, 340]	40
P21291	[0, 132]	133
P30307	[426, 456]	31
Q14520	[47, 218]	172
Q58G82	[15, 44]	30
Q5T0B9	[218, 269]	52
Q6ZTB9	[20, 186]	167
Q7Z3I7	[109, 426]	318
Q86UN3	[31, 46]	16
Q8N474	[160, 197]	38
Q8NCL9	[23, 39]	17
Q8WX77	[22, 160]	139
Q96H79	[189, 216]	28
Q96H79	[283, 299]	17
Q96PQ7	[172, 196]	25
Q9BYQ2	[0, 153]	154
Q9BZ11	[349, 689]	341
Q9BZ11	[720, 754]	35
O14511	[0, 18]	19
O14511	[334, 350]	17
P00738	[75, 104]	30
P00738	[138, 158]	21
P18084	[403, 442]	40
P18084	[452, 668]	217
Q16587	[239, 290]	52
Q16587	[515, 570]	56
Q494X3	[246, 341]	96
Q6ZN44	[255, 297]	43
Q86UK7	[178, 194]	17
Q86V71	[52, 74]	23
Q86V71	[164, 243]	80
Q8IUW3	[349, 397]	49
Q8NB42	[293, 346]	54
Q8WW24	[0, 17]	18
Q969Z4	[24, 130]	107
Q969Z4	[264, 304]	41
Q96LW1	[261, 312]	52
Q96LW1	[345, 396]	52
Q96QV1	[525, 542]	18
Q96QV1	[581, 675]	95
Q9BUH8	[152, 243]	92
Q9NQB0	[434, 505]	72
A6NF34	[412, 630]	219
O94991	[364, 389]	26
P17027	[109, 210]	102
P23327	[616, 698]	83
P78346	[249, 267]	19
Q5W186	[125, 151]	27
Q6P2D0	[203, 254]	52
Q8IUB2	[19, 225]	207
Q8WUU4	[222, 275]	54
Q8WUU4	[379, 432]	54
Q96N20	[144, 203]	60
Q9H228	[316, 337]	22
Q9NSJ1	[91, 144]	54
Q9NSJ1	[201, 351]	151
A4IF30	[71, 95]	25
O95544	[11, 35]	25
P22460	[566, 591]	26
Q13434	[56, 150]	95
Q13434	[203, 254]	52
Q13434	[269, 303]	35
Q6PI77	[246, 290]	45
Q6PI77	[302, 322]	21
Q7L0X0	[20, 50]	31
Q8IXL7	[26, 49]	24
Q8N883	[196, 246]	51
Q8N883	[278, 329]	52
Q96NL1	[30, 55]	26
Q96NL1	[89, 111]	23
Q9H8N7	[118, 140]	23
C9J2P7	[34, 61]	28
P17036	[191, 242]	52
Q6DN72	[418, 433]	16
Q86SQ6	[312, 425]	114
Q86SQ6	[460, 480]	21
Q8NE31	[9, 45]	37
Q8NEA6	[335, 387]	53
Q8NEA6	[403, 458]	56
Q92966	[0, 36]	37
Q9NWH7	[268, 338]	71
Q9NWH7	[360, 385]	26
Q9NWH7	[406, 440]	35
Q9ULX5	[1, 30]	30
Q9ULX5	[42, 137]	96
Q9Y2Y9	[158, 213]	56
P17029	[368, 419]	52
P22674	[40, 67]	28
P42081	[311, 328]	18
Q86VX9	[30, 53]	24
Q8N2H3	[393, 412]	20
Q96PM5	[92, 114]	23
Q96PM5	[126, 155]	30
Q96SQ5	[53, 106]	54
Q96SQ5	[259, 508]	250
Q9BRR9	[181, 221]	41
Q9NSN8	[148, 191]	44
Q9ULG6	[601, 632]	32
A6NLI5	[31, 64]	34
O43900	[16, 97]	82
O43900	[240, 375]	136
Q15942	[373, 518]	146
Q16629	[96, 124]	29
Q8IYL2	[719, 745]	27
Q8NA31	[474, 530]	57
Q96KR4	[128, 186]	59
Q96KR4	[590, 611]	22
Q96PT4	[3, 23]	21
Q9NYY3	[7, 27]	21
Q9UL58	[370, 449]	80
Q9UL62	[907, 963]	57
P0DM63	[343, 364]	22
Q6PI78	[21, 42]	22
Q8IYX0	[117, 310]	194
Q8NA42	[161, 474]	314
Q8NFT6	[353, 377]	25
Q8NFT6	[413, 455]	43
Q96BT7	[332, 358]	27
Q9H8U3	[7, 44]	38
Q9H8U3	[88, 127]	40
Q9H8U3	[146, 226]	81
Q9UHF1	[21, 185]	165
A6NMN3	[80, 111]	32
A6NMN3	[256, 276]	21
O00110	[22, 42]	21
O00110	[61, 189]	129
P0DJD3	[431, 480]	50
Q3SXY7	[23, 43]	21
Q3SXY7	[544, 569]	26
Q6PJI9	[880, 919]	40
Q6ZMY6	[0, 33]	34
Q8IV45	[344, 366]	23
Q8IYW4	[190, 219]	30
Q92698	[675, 708]	34
Q9NPF0	[30, 176]	147
A7XYQ1	[765, 789]	25
A7XYQ1	[815, 852]	38
P10073	[259, 310]	52
P13945	[358, 381]	24
P31275	[72, 104]	33
Q12901	[167, 248]	82
Q12901	[307, 442]	136
Q13064	[261, 298]	38
Q15365	[185, 210]	26
Q4G112	[302, 341]	40
Q6N063	[314, 330]	17
Q8IZ41	[407, 435]	29
Q8IZP6	[230, 260]	31
Q9GZU3	[2, 27]	26
Q9H0F6	[343, 386]	44
Q9H706	[349, 371]	23
Q9UNX9	[387, 405]	19
A2VCK2	[92, 121]	30
P13682	[171, 236]	66
P13682	[457, 517]	61
P25490	[287, 339]	53
P60409	[0, 369]	370
P62684	[537, 604]	68
Q5VTR2	[894, 931]	38
Q86WZ6	[241, 394]	154
Q8N0Y2	[170, 193]	24
Q8N0Y2	[241, 292]	52
Q8N143	[292, 398]	107
Q8N2R0	[191, 272]	82
Q92764	[392, 454]	63
Q9BXR6	[189, 220]	32
Q9BXR6	[372, 402]	31
Q9NRM6	[485, 501]	17
Q9UK13	[143, 585]	443
O95780	[108, 133]	26
O95780	[220, 383]	164
P08048	[443, 498]	56
P08048	[706, 757]	52
P0C6A0	[9, 69]	61
P0C6A0	[197, 272]	76
P78368	[388, 410]	23
Q58WW2	[121, 145]	25
Q58WW2	[178, 193]	16
Q7Z713	[19, 37]	19
Q7Z713	[118, 145]	28
Q8IZN3	[346, 366]	21
Q8N8Y5	[78, 129]	52
Q92804	[354, 379]	26
