Accession_number	Protein_name	GO_ID
O00451	GDNF family receptor alpha-2	{'GO:0019898', 'GO:0035860', 'GO:0009897', 'GO:0005886', 'GO:1904399', 'GO:0016167', 'GO:0007169', 'GO:0007399', 'GO:0038023', 'GO:0043235'}
O00548	Delta-like protein 1	{'GO:0001709', 'GO:0021510', 'GO:0045662', 'GO:0030857', 'GO:0032693', 'GO:0005886', 'GO:0045665', 'GO:0030097', 'GO:0014807', 'GO:0045747', 'GO:0097009', 'GO:0007219', 'GO:0098773', 'GO:0002315', 'GO:0034351', 'GO:0048630', 'GO:1903672', 'GO:0031410', 'GO:0008217', 'GO:0008285', 'GO:0046331', 'GO:0010628', 'GO:0072583', 'GO:0007368', 'GO:0009954', 'GO:0070986', 'GO:0045121', 'GO:0060853', 'GO:0072006', 'GO:0021688', 'GO:0051302', 'GO:0045746', 'GO:0007154', 'GO:0005515', 'GO:0045944', 'GO:0014002', 'GO:0005912', 'GO:0030957', 'GO:0030155', 'GO:0097102', 'GO:0045807', 'GO:0060042', 'GO:0097150', 'GO:1900746', 'GO:0016324', 'GO:0005509', 'GO:0016020', 'GO:0001947', 'GO:0045605', 'GO:0005576', 'GO:0035265', 'GO:0072070', 'GO:0030947', 'GO:0048633', 'GO:0060041', 'GO:0097110', 'GO:0021693', 'GO:0030154', 'GO:0048631', 'GO:0072014', 'GO:0050767', 'GO:0048018', 'GO:0005112', 'GO:0008284', 'GO:0048665', 'GO:2000726', 'GO:0040008', 'GO:0003323', 'GO:0045596', 'GO:0001756'}
O00622	CCN family member 1	{'GO:0045597', 'GO:0050840', 'GO:0045669', 'GO:0007165', 'GO:0030513', 'GO:0045944', 'GO:0005515', 'GO:0030501', 'GO:2000026', 'GO:0007155', 'GO:0030335', 'GO:0045778', 'GO:0007229', 'GO:0031012', 'GO:0008201', 'GO:0005576', 'GO:0051094', 'GO:0033690', 'GO:0140149', 'GO:0005201', 'GO:0070372', 'GO:0005178', 'GO:0005788'}
O00635	E3 ubiquitin-protein ligase TRIM38	{'GO:0005829', 'GO:0061630', 'GO:0043123', 'GO:0045893', 'GO:0008270', 'GO:0016567', 'GO:0005737', 'GO:0016925', 'GO:0005515', 'GO:0045087', 'GO:0003713', 'GO:0010468'}
O14490	Disks large-associated protein 1	{'GO:0005886', 'GO:0023052', 'GO:0007268', 'GO:0099572', 'GO:0098978', 'GO:0044877', 'GO:0045202', 'GO:0005515', 'GO:0050804', 'GO:0014069', 'GO:0060090'}
O14492	SH2B adapter protein 2	{'GO:0005829', 'GO:0001725', 'GO:0035556', 'GO:0005886', 'GO:0035591', 'GO:0007165', 'GO:0005068', 'GO:0005884', 'GO:0001726', 'GO:0008286', 'GO:0005737', 'GO:0005515', 'GO:0050853', 'GO:0042169'}
O14498	Immunoglobulin superfamily containing leucine-rich repeat protein	{'GO:0031093', 'GO:0045773', 'GO:0070062', 'GO:0005576', 'GO:0007155'}
O14545	TRAF-type zinc finger domain-containing protein 1	{'GO:0045824', 'GO:0005515', 'GO:0005739'}
O14618	Copper chaperone for superoxide dismutase	{'GO:0005829', 'GO:0005507', 'GO:0016532', 'GO:0034599', 'GO:0019430', 'GO:0006801', 'GO:0005758', 'GO:0046872', 'GO:0005634', 'GO:0045296', 'GO:0005739', 'GO:0045041', 'GO:0005737', 'GO:0051604', 'GO:1902694', 'GO:0005515', 'GO:0015035'}
O14628	Zinc finger protein 195	{'GO:0000978', 'GO:0006355', 'GO:0008270', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
O14638	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	{'GO:0009143', 'GO:0047710', 'GO:0005886', 'GO:0002276', 'GO:0008270', 'GO:0006796', 'GO:0009986', 'GO:0004081', 'GO:0047429', 'GO:0046872', 'GO:0008253', 'GO:0055062', 'GO:0070667', 'GO:0160049', 'GO:0036221', 'GO:0050728', 'GO:0046034', 'GO:0016324', 'GO:0009897', 'GO:0005509', 'GO:0004528', 'GO:0005576', 'GO:0070062', 'GO:0048471', 'GO:0036219', 'GO:0106177', 'GO:0016787', 'GO:0034432', 'GO:0006220', 'GO:0033007', 'GO:0003676', 'GO:0047693'}
O14639	Actin-binding LIM protein 1	{'GO:0051015', 'GO:0005856', 'GO:0030032', 'GO:0007601', 'GO:0030027', 'GO:0015629', 'GO:0007010', 'GO:0005737', 'GO:0060271', 'GO:0009887', 'GO:0005515', 'GO:0001725', 'GO:0014069', 'GO:0003779'}
O14753	Putative transcription factor Ovo-like 1	{'GO:0000978', 'GO:1990837', 'GO:0000122', 'GO:0001227', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0009913'}
O14763	Tumor necrosis factor receptor superfamily member 10B	{'GO:0002357', 'GO:0005886', 'GO:0034976', 'GO:0008625', 'GO:0009986', 'GO:0043123', 'GO:0007165', 'GO:0036463', 'GO:0071260', 'GO:0036462', 'GO:0005515', 'GO:0016020', 'GO:0070059', 'GO:0038023', 'GO:0006915', 'GO:0043065', 'GO:0007166', 'GO:0007250', 'GO:0042981', 'GO:0045569', 'GO:0005035'}
O14773	Tripeptidyl-peptidase 1	{'GO:0055037', 'GO:0007040', 'GO:0004175', 'GO:0030163', 'GO:0007417', 'GO:0045121', 'GO:0070198', 'GO:0006629', 'GO:0045453', 'GO:0008240', 'GO:0005515', 'GO:0008236', 'GO:0120146', 'GO:0042277', 'GO:1905146', 'GO:0070062', 'GO:0007399', 'GO:0035727', 'GO:0050885', 'GO:0042470', 'GO:0005764', 'GO:0043171', 'GO:0005794', 'GO:0030855', 'GO:0004252', 'GO:0043202', 'GO:0008233', 'GO:0006508'}
O14786	Neuropilin-1	{'GO:0097374', 'GO:0098978', 'GO:0048666', 'GO:0001764', 'GO:0021649', 'GO:0048844', 'GO:0001570', 'GO:0048010', 'GO:0005096', 'GO:0070374', 'GO:0060978', 'GO:0097491', 'GO:0061551', 'GO:0042327', 'GO:0007267', 'GO:0051491', 'GO:0060385', 'GO:0071679', 'GO:0043542', 'GO:0097443', 'GO:0017154', 'GO:0030947', 'GO:1901166', 'GO:0050918', 'GO:0007411', 'GO:0003148', 'GO:0045766', 'GO:0038084', 'GO:0048846', 'GO:0048008', 'GO:2001237', 'GO:0051894', 'GO:0120035', 'GO:0021785', 'GO:0043005', 'GO:0035767', 'GO:0038189', 'GO:0005883', 'GO:0061549', 'GO:0046718', 'GO:0038190', 'GO:0009887', 'GO:0060982', 'GO:0099173', 'GO:0001938', 'GO:0071526', 'GO:0001755', 'GO:0097102', 'GO:0007229', 'GO:0150020', 'GO:0001569', 'GO:0045211', 'GO:0035924', 'GO:0008045', 'GO:0031290', 'GO:0097490', 'GO:0005886', 'GO:0061299', 'GO:0021828', 'GO:0005829', 'GO:1900026', 'GO:0005021', 'GO:1904835', 'GO:0060627', 'GO:0005737', 'GO:0019955', 'GO:0005515', 'GO:0031966', 'GO:0014911', 'GO:0048012', 'GO:0016020', 'GO:1902946', 'GO:0001525', 'GO:0097475', 'GO:0150018', 'GO:0005925', 'GO:1905040', 'GO:0043235', 'GO:0019901', 'GO:0032489', 'GO:0036486', 'GO:0031410', 'GO:0035729', 'GO:0005769', 'GO:0043524', 'GO:0051496', 'GO:0007165', 'GO:0030424', 'GO:0002040', 'GO:0006930', 'GO:0009611', 'GO:0021612', 'GO:0019838', 'GO:0015026', 'GO:0090050', 'GO:0005576', 'GO:0002116', 'GO:0061441', 'GO:0021637', 'GO:1903375', 'GO:0048842', 'GO:0010595', 'GO:0002042', 'GO:0038085'}
O14836	Tumor necrosis factor receptor superfamily member 13B	{'GO:0009897', 'GO:0005886', 'GO:0007166', 'GO:0016020', 'GO:0001782', 'GO:0005515', 'GO:0038023', 'GO:0002244', 'GO:0030889'}
O14901	Krueppel-like factor 11	{'GO:0000978', 'GO:1990837', 'GO:0043065', 'GO:2000045', 'GO:0000122', 'GO:1990859', 'GO:0000785', 'GO:0045892', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0000976', 'GO:0005515', 'GO:0006357', 'GO:0005654', 'GO:0008285'}
O14978	Zinc finger protein 263	{'GO:0000978', 'GO:1990837', 'GO:0005829', 'GO:0000122', 'GO:0006355', 'GO:0045944', 'GO:0001227', 'GO:0043565', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0000976', 'GO:0005515', 'GO:0006357'}
O15041	Semaphorin-3E	{'GO:0005886', 'GO:0030215', 'GO:0050808', 'GO:0021828', 'GO:0045499', 'GO:0050919', 'GO:0008360', 'GO:0043524', 'GO:0002040', 'GO:0016525', 'GO:0005515', 'GO:0030335', 'GO:0071526', 'GO:0001953', 'GO:0030900', 'GO:0005576', 'GO:0038191', 'GO:0001569', 'GO:0048018', 'GO:0007411', 'GO:0051897'}
O15060	Zinc finger and BTB domain-containing protein 39	{'GO:0000978', 'GO:0000122', 'GO:0002682', 'GO:0001227', 'GO:0005634', 'GO:0001817', 'GO:0005515', 'GO:0005654'}
O15156	Zinc finger and BTB domain-containing protein 7B	{'GO:0042803', 'GO:0160108', 'GO:0051141', 'GO:0010628', 'GO:0000978', 'GO:0003677', 'GO:0090336', 'GO:0043372', 'GO:0120162', 'GO:0000981', 'GO:0042802', 'GO:0005515', 'GO:0006357', 'GO:0045944', 'GO:2000640', 'GO:0007398', 'GO:0001228', 'GO:0046628', 'GO:0006366', 'GO:1990845', 'GO:0000987', 'GO:1990837', 'GO:0000122', 'GO:0001865', 'GO:0043377', 'GO:0003700', 'GO:0005634', 'GO:0007595', 'GO:0032868', 'GO:0001217', 'GO:0042826', 'GO:0005654', 'GO:0032740'}
O15204	ADAM DEC1	{'GO:0004222', 'GO:0006955', 'GO:0031012', 'GO:0008270', 'GO:0005576', 'GO:0006508', 'GO:0008237', 'GO:0007162'}
O15209	Zinc finger and BTB domain-containing protein 22	{'GO:0000978', 'GO:0003677', 'GO:1990837', 'GO:0000785', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
O15232	Matrilin-3	{'GO:0005201', 'GO:0120216', 'GO:0031012', 'GO:0005509', 'GO:0030198', 'GO:0001501', 'GO:0140144', 'GO:0005576', 'GO:0005788', 'GO:0005515', 'GO:0140149'}
O15265	Ataxin-7	{'GO:0045893', 'GO:0000124', 'GO:0007601', 'GO:0007026', 'GO:0005829', 'GO:0005737', 'GO:0045944', 'GO:0005515', 'GO:0006357', 'GO:0000226', 'GO:0015630', 'GO:0005856', 'GO:0005730', 'GO:0033276', 'GO:0006997', 'GO:0016363', 'GO:0006282', 'GO:0003682', 'GO:0005634', 'GO:0043484', 'GO:0005654'}
O15327	Inositol polyphosphate 4-phosphatase type II	{'GO:0005829', 'GO:0052828', 'GO:0006661', 'GO:0043647', 'GO:0034594', 'GO:0007165', 'GO:0017161', 'GO:0034593', 'GO:0016020', 'GO:0016316', 'GO:0036092', 'GO:0051896', 'GO:0005515'}
O15393	Transmembrane protease serine 2	{'GO:0046598', 'GO:0006508', 'GO:0005886', 'GO:0098670', 'GO:0004252', 'GO:0016020', 'GO:0005576', 'GO:0070062', 'GO:0016540', 'GO:0005515', 'GO:0008236'}
O15535	Zinc finger and SCAN domain-containing protein 9	{'GO:0000978', 'GO:1990837', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
O15537	Retinoschisin	{'GO:0043325', 'GO:0001917', 'GO:0098984', 'GO:0009897', 'GO:0051260', 'GO:0005886', 'GO:0007601', 'GO:0001654', 'GO:0005576', 'GO:0044877', 'GO:0001786', 'GO:0010842', 'GO:0007155', 'GO:0009986'}
O15541	E3 ubiquitin-protein ligase RNF113A	{'GO:0071005', 'GO:0005654', 'GO:0061630', 'GO:0070100', 'GO:0005684', 'GO:0004842', 'GO:0071018', 'GO:0005681', 'GO:0046872', 'GO:0005634', 'GO:0016567', 'GO:0005515', 'GO:0000398', 'GO:0016607'}
O43155	Leucine-rich repeat transmembrane protein FLRT2	{'GO:0005886', 'GO:0008543', 'GO:0005789', 'GO:0098978', 'GO:0045499', 'GO:0050919', 'GO:0005911', 'GO:0045202', 'GO:0031012', 'GO:0005576', 'GO:0070062', 'GO:0030674', 'GO:0042734', 'GO:0071711', 'GO:0045211', 'GO:0061343', 'GO:0003007', 'GO:0005925', 'GO:0005104'}
O43167	Zinc finger and BTB domain-containing protein 24	{'GO:0000978', 'GO:0005634', 'GO:0003700', 'GO:0005515', 'GO:0006357'}
O43184	Disintegrin and metalloproteinase domain-containing protein 12	{'GO:0017124', 'GO:0004222', 'GO:0005515', 'GO:0005886', 'GO:0005576', 'GO:0045766', 'GO:0006508', 'GO:0008237', 'GO:0007520'}
O43255	E3 ubiquitin-protein ligase SIAH2	{'GO:0042752', 'GO:0003714', 'GO:0061630', 'GO:0045892', 'GO:2001237', 'GO:0008270', 'GO:0090090', 'GO:0060070', 'GO:0005769', 'GO:0005829', 'GO:0007264', 'GO:0006511', 'GO:0005737', 'GO:2001233', 'GO:0005515', 'GO:0043066', 'GO:0043161', 'GO:0016567', 'GO:0031396', 'GO:0004842', 'GO:0005634', 'GO:1990000', 'GO:0031624', 'GO:0005654', 'GO:0043025'}
O43257	Zinc finger HIT domain-containing protein 1	{'GO:0036335', 'GO:0003015', 'GO:0055074', 'GO:0042692', 'GO:0006338', 'GO:0031491', 'GO:0005515', 'GO:0000786', 'GO:0000812', 'GO:0045815', 'GO:0042393', 'GO:0061484', 'GO:0006355', 'GO:0060261', 'GO:1905458', 'GO:0003682', 'GO:0005634', 'GO:0042826', 'GO:0043517'}
O43278	Kunitz-type protease inhibitor 1	{'GO:0004867', 'GO:0005829', 'GO:0045687', 'GO:0071773', 'GO:0005886', 'GO:2000178', 'GO:0030198', 'GO:0060429', 'GO:0005737', 'GO:0016020', 'GO:0005576', 'GO:0070062', 'GO:0008544', 'GO:0005515'}
O43294	Transforming growth factor beta-1-induced transcript 1 protein	{'GO:0070411', 'GO:0008285', 'GO:0010718', 'GO:0045893', 'GO:0005911', 'GO:0048495', 'GO:0005856', 'GO:0031012', 'GO:0050681', 'GO:2000060', 'GO:0030511', 'GO:0016363', 'GO:0005925', 'GO:0005515', 'GO:0003713', 'GO:0007155'}
O43296	Zinc finger protein 264	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
O43298	Zinc finger and BTB domain-containing protein 43	{'GO:0000978', 'GO:1990837', 'GO:0001025', 'GO:0000785', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
O43300	Leucine-rich repeat transmembrane neuronal protein 2	{'GO:0060076', 'GO:0098982', 'GO:0099634', 'GO:0005886', 'GO:0045202', 'GO:0045211', 'GO:0098685', 'GO:0042043', 'GO:0098839', 'GO:0099151', 'GO:0005576', 'GO:0098978', 'GO:0098686', 'GO:0005515'}
O43309	Zinc finger and SCAN domain-containing protein 12	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
O43313	ATM interactor	{'GO:0001228', 'GO:0045893', 'GO:0045944', 'GO:0070840', 'GO:0005634', 'GO:0000981', 'GO:0000976', 'GO:0016604', 'GO:0005515', 'GO:0006357'}
O43361	Zinc finger protein 749	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
O43463	Histone-lysine N-methyltransferase SUV39H1	{'GO:0000775', 'GO:0005677', 'GO:0005654', 'GO:0042054', 'GO:0005886', 'GO:0045892', 'GO:0097009', 'GO:0008270', 'GO:0140949', 'GO:0031507', 'GO:0031410', 'GO:0042149', 'GO:0045786', 'GO:0070828', 'GO:0000785', 'GO:0031508', 'GO:0140938', 'GO:0005721', 'GO:0008757', 'GO:0045814', 'GO:0046015', 'GO:0031981', 'GO:0005515', 'GO:0000183', 'GO:0071456', 'GO:0140947', 'GO:0007623', 'GO:0005730', 'GO:0000794', 'GO:0005652', 'GO:0006325', 'GO:0005694', 'GO:0140258', 'GO:0046974', 'GO:0000977', 'GO:0000122', 'GO:0044725', 'GO:0061773', 'GO:1990904', 'GO:0003682', 'GO:0005634', 'GO:0000976', 'GO:0000792', 'GO:0033553', 'GO:0006974'}
