Accession_number	Region	Domain
Q5VXU9	[157, 178]	Family of unknown function (DUF5587)
Q6ZVN8	[77, 121]	Repulsive guidance molecule (RGM) N-terminal domain
Q6ZVN8	[317, 343]	Repulsive guidance molecule (RGM) C-terminal domain
Q8NG08	[454, 484]	AAA domain
Q8WUM9	[392, 419]	Phosphate transporter family
Q9H5I1	[221, 242]	Pre-SET motif
Q9H9G7	[354, 365]	PAZ domain
Q9HCU4	[1742, 1769]	Laminin G domain
Q9P2D3	[1685, 1702]	HEATR5A-like, HEAT repeats
Q9UH90	[12, 103]	TRAF-like zinc-finger
Q9UH90	[661, 684]	F-box
Q9UMW8	[218, 243]	Ubiquitin carboxyl-terminal hydrolase
Q9Y252	[631, 644]	Ring finger domain
O14792	[258, 276]	Sulfotransferase domain
O43291	[66, 88]	Kunitz/Bovine pancreatic trypsin inhibitor domain
O60242	[831, 851]	GPCR proteolysis site, GPS, motif
O60242	[1059, 1096]	7 transmembrane receptor (Secretin family)
O94911	[950, 976]	ABC-2 family transporter protein
P01036	[84, 127]	Cystatin domain
P20155	[36, 83]	Kazal-type serine protease inhibitor domain
Q07890	[267, 296]	RhoGEF domain
Q0VG06	[485, 512]	Fanconi anemia-associated
Q12918	[173, 212]	Lectin C-type domain
Q13115	[43, 64]	Rhodanese-like domain
Q5VWM6	[446, 473]	PRAME C-terminal domain
Q6S9Z5	[164, 188]	zinc-finger of a C2HC-type
Q8NER5	[26, 41]	Activin types I and II receptor domain
Q8NHL6	[379, 405]	Immunoglobulin domain
Q8TDY4	[341, 371]	PH domain
Q8TDY4	[429, 452]	Putative GTPase activating protein for Arf
Q96SZ5	[172, 265]	PCO_ADO
Q9H6E5	[16, 40]	Zinc-finger of C2H2 type
Q9H9J4	[111, 154]	Ubiquitin carboxyl-terminal hydrolase
Q9NTG1	[1805, 1826]	Polycystin domain
Q9UBS8	[307, 350]	IBR domain, a half RING-finger domain
Q9ULK0	[124, 141]	Receptor family ligand binding region
A6NI73	[51, 85]	Immunoglobulin domain
C9JVI0	[80, 131]	Ubiquitin carboxyl-terminal hydrolase
D6RBQ6	[80, 131]	Ubiquitin carboxyl-terminal hydrolase
O15528	[103, 125]	Cytochrome P450
P07327	[92, 130]	Alcohol dehydrogenase GroES-like domain
P0C7U3	[122, 156]	DHHC palmitoyltransferase
P25398	[96, 110]	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
P25940	[1516, 1551]	Fibrillar collagen C-terminal domain
P56715	[91, 110]	Doublecortin
Q08357	[369, 449]	Phosphate transporter family
Q5VW22	[443, 492]	Putative GTPase activating protein for Arf
Q76L83	[1392, 1433]	PHD domain of transcriptional enhancer, Asx
Q8WUX1	[231, 248]	Transmembrane amino acid transporter protein
Q96CS7	[33, 72]	PH domain
Q9BWU0	[316, 347]	Double-stranded RNA binding motif
Q9H8J5	[39, 116]	MANEC domain
Q9NQR9	[90, 116]	PAP2 superfamily
Q9NRR2	[181, 265]	Trypsin
Q9P2L0	[1139, 1180]	IFT121, second zinc finger domain
Q9UKG1	[303, 373]	PH domain
Q9UL18	[272, 341]	PAZ domain
Q9UMS6	[35, 63]	PDZ domain
A0A1B0GTH6	[411, 512]	Casein kinase II subunit alpha'-interacting protein
A0A5A2	[97, 111]	Immunoglobulin V-set domain
O00548	[31, 70]	N terminus of Notch ligand C2-like domain
O00755	[123, 141]	wnt family
O43526	[520, 535]	KCNQ voltage-gated potassium channel
O43866	[57, 125]	Scavenger receptor cysteine-rich domain
O94875	[1056, 1087]	Variant SH3 domain
P01871	[65, 93]	Immunoglobulin C1-set domain
P13726	[219, 242]	Interferon-alpha/beta receptor, fibronectin type III
P49407	[125, 149]	Arrestin (or S-antigen), N-terminal domain
Q13117	[195, 212]	Daz repeat
Q15139	[180, 197]	Phorbol esters/diacylglycerol binding domain (C1 domain)
Q15910	[272, 309]	Ezh2, MCSS domain
Q6ZMP0	[368, 411]	ADAMTS cysteine-rich domain
Q86XK2	[850, 894]	Putative zinc finger in N-recognin (UBR box)
Q8IU81	[8, 40]	Interferon regulatory factor 2-binding protein zinc finger
Q8IU81	[501, 572]	IRF-2BP1/2 C3HC4 zinc finger domain
Q8N684	[375, 405]	CPSF6-like, RSLD domain, N-terminal region
Q96GW7	[847, 869]	Sushi repeat (SCR repeat)
Q9BYD5	[24, 74]	PLAC8 family
Q9P2D0	[761, 773]	BTB/POZ domain
Q9UBX7	[166, 266]	Trypsin
A6NFC5	[56, 77]	PMP-22/EMP/MP20/Claudin tight junction
A8MUK1	[80, 131]	Ubiquitin carboxyl-terminal hydrolase
O75534	[103, 124]	Cold shock domain-containing protein E1 CSD domain
P22304	[154, 185]	Sulfatase
P40855	[209, 241]	Pex19 protein family
Q01973	[61, 84]	Immunoglobulin I-set domain
Q01973	[210, 253]	Fz domain
Q01973	[313, 391]	Kringle domain
Q14315	[189, 220]	Calponin homology (CH) domain
Q14315	[611, 628]	Filamin/ABP280 repeat
Q15116	[122, 139]	Immunoglobulin V-set domain
Q15661	[209, 229]	Trypsin
Q16671	[68, 121]	Activin types I and II receptor domain
Q38SD2	[1151, 1206]	C-terminal of Roc, COR-B domain
Q4KMG0	[495, 504]	Immunoglobulin domain
Q5UE93	[618, 650]	Phosphoinositide 3-kinase gamma adapter protein p101 subunit
Q7RTY5	[200, 227]	Trypsin
Q86YW7	[35, 128]	Cystine-knot domain
Q8IVU3	[973, 999]	HECT-domain (ubiquitin-transferase)
Q8NBT3	[124, 140]	TMEM145, N-terminal domain
Q92608	[1395, 1415]	DHR-2, Lobe B
Q96SM3	[150, 172]	F5/8 type C domain
Q96T88	[480, 546]	SAD/SRA domain
Q9BTC0	[271, 319]	PHD-finger
Q9H8X2	[287, 315]	Inositol-pentakisphosphate 2-kinase
Q9NRX5	[16, 30]	Serine incorporator (Serinc)
Q9P244	[366, 387]	Immunoglobulin I-set domain
O75326	[552, 620]	Semaphorin-7A-like, immunoglobulin-like domain
O94956	[472, 507]	Organic Anion Transporter Polypeptide (OATP) family
O95156	[178, 208]	Neurexophilin
P04216	[104, 116]	Immunoglobulin domain
P09543	[405, 420]	2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)
P15289	[156, 181]	Sulfatase
P15289	[402, 442]	C-terminal region of aryl-sulfatase
P48067	[225, 249]	Sodium:neurotransmitter symporter family
P51816	[1100, 1116]	AFF4, C-terminal homology domain
Q13822	[776, 806]	DNA/RNA non-specific endonuclease
Q16515	[318, 378]	Amiloride-sensitive sodium channel
Q7Z407	[1762, 1776]	CUB domain
Q7Z407	[2905, 2928]	Sushi repeat (SCR repeat)
Q7Z4I7	[15, 35]	LIM domain
Q9HBH9	[211, 234]	Protein kinase domain
O00748	[79, 95]	Carboxylesterase family
P00519	[1026, 1055]	F-actin binding
P01733	[93, 109]	Immunoglobulin V-set domain
P50151	[32, 63]	GGL domain
Q15283	[724, 743]	BTK motif
Q16790	[161, 183]	Eukaryotic-type carbonic anhydrase
Q3YBR2	[244, 264]	F/Y rich C-terminus
Q6IPT4	[19, 43]	Oxidoreductase-like protein, N-terminal
Q8WVN8	[35, 55]	RWD domain
Q8WYQ5	[649, 671]	Double-stranded RNA binding motif
Q96FL9	[516, 547]	Ricin-type beta-trefoil lectin domain
Q96N67	[65, 111]	Dedicator of cytokinesis C/D, N terminal
Q99784	[55, 101]	Neurogenesis glycoprotein
Q99784	[224, 244]	Olfactomedin-like domain
Q9BZQ8	[103, 131]	Protein Niban 2-like, PH domain
Q9UHA3	[1, 44]	Ribosomal protein L24e
Q9UI42	[236, 281]	Zinc carboxypeptidase
Q9Y5L4	[38, 82]	Tim10/DDP family zinc finger
A8MT70	[133, 161]	ANCHR-like B-box zinc-binding domain
C9JJH3	[80, 123]	Ubiquitin carboxyl-terminal hydrolase
O75094	[33, 60]	Leucine rich repeat N-terminal domain
O95800	[293, 311]	7 transmembrane receptor (rhodopsin family)
O95868	[21, 105]	u-PAR/Ly-6 domain
P01034	[99, 123]	Cystatin domain
P01178	[39, 116]	Neurohypophysial hormones, C-terminal Domain
P09603	[161, 180]	Macrophage colony stimulating factor-1 (CSF-1)
P30511	[107, 134]	Class I Histocompatibility antigen, domains alpha 1 and 2
P51693	[56, 154]	Amyloid A4 N-terminal heparin-binding
Q01538	[578, 602]	Myelin transcription factor 1
Q13129	[477, 491]	Zinc finger protein Rlf-like, TPR repeats
Q13129	[1531, 1590]	Zinc finger protein 292, C2H2-type zinc finger
Q14573	[39, 71]	Inositol 1,4,5-trisphosphate/ryanodine receptor
Q14573	[2401, 2456]	Ion transport protein
Q14953	[136, 210]	Immunoglobulin domain
Q53RY4	[133, 156]	Beta-casein like protein
Q63HN1	[269, 285]	FAM75 family
Q7RTS6	[211, 228]	Otopetrin
Q8WWB7	[239, 259]	Lysosomal transcription factor, NCU-G1
Q93052	[416, 462]	LIM domain
Q93084	[484, 549]	P-type ATPase, cytoplasmic domain N
Q9H0W7	[26, 80]	THAP domain
Q9P055	[9, 54]	JNK1/MAPK8-associated membrane protein
O14867	[530, 549]	bZIP Maf transcription factor
O43189	[90, 139]	PHD-finger
O95644	[670, 696]	Rel homology dimerisation domain
P01699	[27, 47]	Immunoglobulin V-set domain
P05160	[39, 87]	Sushi repeat (SCR repeat)
P08648	[864, 881]	Integrin alpha Ig-like domain 3
P14210	[55, 94]	PAN domain
P14210	[645, 680]	Trypsin
P30566	[285, 300]	Lyase
P35030	[251, 271]	Trypsin
P50851	[2011, 2029]	Neurobeachin-like, DUF1088
Q15057	[401, 427]	Putative GTPase activating protein for Arf
Q15437	[58, 73]	Sec23/Sec24 zinc finger
Q16760	[178, 210]	Phorbol esters/diacylglycerol binding domain (C1 domain)
Q6NUS6	[90, 109]	N-terminal domain of DUF1619
Q7Z2T5	[502, 524]	N2,N2-dimethylguanosine tRNA methyltransferase
Q7Z5L0	[140, 200]	Vitelline membrane outer layer protein I (VOMI)
Q8IVF6	[935, 968]	Domain of unknown function (DUF3496)
Q8WTQ7	[98, 144]	Regulator of G protein signaling domain
Q8WTU2	[110, 139]	Scavenger receptor cysteine-rich domain
Q9BX93	[55, 134]	Group XII secretory phospholipase A2 precursor (PLA2G12)
Q9ULV1	[117, 151]	Fz domain
A1L157	[183, 200]	Tetraspanin family
O43240	[155, 181]	Trypsin
O76031	[101, 119]	CLPX-like, zinc ribbon domain
P01730	[143, 165]	Immunoglobulin C2-set domain
P0C7I0	[80, 128]	Ubiquitin carboxyl-terminal hydrolase
P14618	[341, 366]	Pyruvate kinase, barrel domain
P49207	[46, 91]	Ribosomal protein L34e
P51861	[120, 161]	LED repeat
P56277	[6, 59]	Cx9C motif-containing protein 4
Q07864	[2157, 2185]	Zinc finger domain of DNA polymerase-epsilon
Q5TEJ8	[344, 389]	Cell-cycle sustaining, positive selection,
Q6UYE1	[122, 158]	Leukemia-associated protein 7
Q71F56	[2095, 2123]	Mediator complex subunit 13 C-terminal domain
Q8TCX5	[284, 303]	BRO1-like domain
Q96D21	[129, 152]	Ras family
Q96HD1	[46, 69]	TLR4 regulator and MIR-interacting MSAP
Q96LD1	[152, 186]	Sarcoglycan complex subunit protein
Q9BU40	[260, 322]	von Willebrand factor type C domain
Q9HC78	[578, 597]	Zinc finger, C2H2 type
Q9NR21	[44, 75]	WWE domain
Q9UI36	[253, 278]	SKI/SNO/DAC Dachshund homology domain
A2RUB1	[863, 887]	Meiosis-specific coiled-coil domain-containing protein MEIOC
A3QJZ6	[448, 466]	PRAME C-terminal domain
A6NH00	[290, 303]	Olfactory receptor
A6NKQ9	[57, 71]	Cystine-knot domain
O15117	[516, 534]	Variant SH3 domain
O15117	[766, 782]	Helically-extended SH3 domain
O75132	[136, 166]	BED zinc finger
P02787	[25, 43]	Transferrin
P10589	[85, 153]	Double treble clef zinc finger, C4 type
P54764	[351, 391]	Fibronectin type III domain
Q5T2Q4	[1, 83]	Aspartate-rich protein 1-like
Q6P5X7	[20, 70]	TMEM71 protein family
Q8IWU6	[609, 646]	Sulfatase protein
Q8N302	[226, 254]	OCRE domain
Q8NF50	[94, 115]	Dedicator of cytokinesis C/D, N terminal
Q96HD9	[42, 72]	Succinylglutamate desuccinylase/Aspartoacylase catalytic domain
Q96LA6	[258, 280]	Immunoglobulin domain
Q9NR99	[490, 508]	Immunoglobulin domain
Q9UHF5	[97, 142]	Interleukin-17
Q9UK28	[79, 142]	Brain specific membrane anchored protein
Q9UNK4	[38, 107]	Phospholipase A2
Q9Y210	[253, 277]	Transient receptor ion channel II
O95757	[759, 783]	HYOU1-like, C-terminal domain
P04198	[106, 130]	Myc amino-terminal region
P14415	[118, 168]	Sodium / potassium ATPase beta chain
P28702	[204, 272]	Double treble clef zinc finger, C4 type
Q07912	[450, 480]	GTPase binding
Q13077	[372, 409]	TRAF/meprin, MATH domain
Q2VIR3	[91, 117]	Elongation factor Tu GTP binding domain
Q5TYX0	[447, 475]	PRAME C-terminal domain
Q6NZ36	[149, 178]	Ubiquitin-binding zinc-finger
Q6T4R5	[780, 835]	NHS-like protein
Q6URK8	[33, 81]	Sperm microtubule inner protein 8
Q6ZUB0	[92, 148]	Domain of unknown function (DUF4599)
Q7Z4Q2	[53, 106]	HEAT-like repeat
Q8IUG5	[1062, 1085]	Myosin head (motor domain)
Q8WWN9	[44, 57]	PH domain
Q92484	[59, 74]	Calcineurin-like phosphoesterase
Q96GX1	[170, 200]	N-terminal domain of DUF1619
Q96LA5	[259, 279]	Immunoglobulin domain
Q96PZ7	[209, 226]	CUB domain
Q96PZ7	[349, 387]	Sushi repeat (SCR repeat)
Q99963	[293, 316]	SH3 domain
Q9NY15	[1830, 1866]	Fasciclin domain
Q9UJW2	[259, 319]	Papain family cysteine protease
Q9Y698	[39, 83]	PMP-22/EMP/MP20/Claudin family
O94929	[103, 136]	LIM domain
O94929	[289, 348]	Putative adherens-junction anchoring region of AbLIM
O95704	[138, 161]	Phosphotyrosine interaction domain (PTB/PID)
P22897	[306, 333]	Lectin C-type domain
P23759	[44, 97]	'Paired box' domain
P37088	[371, 409]	Amiloride-sensitive sodium channel
P43652	[75, 133]	Serum albumin family
P81274	[490, 509]	GoLoco motif
Q10472	[519, 548]	Ricin-type beta-trefoil lectin domain
Q13615	[321, 340]	Myotubularin-like phosphatase domain
Q13615	[1115, 1178]	FYVE zinc finger
Q14839	[373, 414]	PHD-finger
Q15834	[69, 98]	CCDC85 family
Q3LI59	[1, 42]	Keratin-associated matrix
Q8N9V2	[34, 56]	zinc finger of C3HC4-type, RING
Q8NEB7	[98, 134]	Proacrosin binding protein sp32
Q8TE12	[116, 151]	LIM domain
Q96CA5	[248, 291]	Zinc finger, C3HC4 type (RING finger)
Q96HI0	[174, 233]	Sentrin-specific protease 3/5 N-terminal
Q99988	[210, 307]	Transforming growth factor beta like domain
Q9BYV6	[26, 79]	RING-type zinc-finger
Q9BYV6	[122, 155]	B-box zinc finger
Q9GZR1	[778, 805]	Ulp1 protease family, C-terminal catalytic domain
Q9UHB9	[547, 579]	RNA-binding signal recognition particle 68
Q9Y6L7	[351, 366]	CUB domain
Q9Y6L7	[584, 609]	Coagulation Factor Xa inhibitory site
A0A075B6H9	[95, 116]	Immunoglobulin V-set domain
O43597	[183, 294]	Sprouty protein (Spry)
O75445	[316, 336]	Laminin N-terminal (Domain VI)
O75445	[2031, 2046]	Fibronectin type III domain
P04733	[1, 60]	Metallothionein
P09093	[207, 226]	Trypsin
P22692	[27, 80]	Insulin-like growth factor binding protein
P22692	[174, 249]	Thyroglobulin type-1 repeat
Q6X4U4	[70, 177]	Sclerostin (SOST)
Q7Z7G8	[2452, 2469]	VPS13-like family middle region
Q8N806	[48, 112]	Putative zinc finger in N-recognin (UBR box)
Q8WTQ4	[233, 257]	Domain of unknown function (DUF4638)
Q92529	[198, 213]	Phosphotyrosine interaction domain (PTB/PID)
Q96LL4	[181, 201]	Domain of unknown function (DUF4606)
Q9H013	[101, 120]	Reprolysin family propeptide
Q9NP50	[2, 70]	Protein Family FAM60A
Q9NWH9	[391, 440]	RNA recognition motif
P00325	[91, 120]	Alcohol dehydrogenase GroES-like domain
P02790	[223, 231]	Hemopexin
P16871	[32, 54]	Fibronectin type III domain
P26010	[44, 92]	Integrin plexin domain
P51689	[490, 535]	C-terminal region of aryl-sulfatase
P51784	[690, 716]	Ubiquitin carboxyl-terminal hydrolase
P60484	[285, 312]	C2 domain of PTEN tumour-suppressor protein
P78334	[433, 474]	Neurotransmitter-gated ion-channel transmembrane region
Q17RN3	[89, 109]	Protein of unknown function (DUF2465)
Q5VTE6	[37, 129]	Protein angel homolog 2 N-terminal
Q5VZB9	[93, 135]	DM DNA binding domain
Q96AT9	[6, 18]	Ribulose-phosphate 3 epimerase family
Q96EG1	[159, 195]	Sulfatase
Q96EG1	[500, 522]	C-terminal region of aryl-sulfatase
Q96NH3	[70, 96]	Broad-minded protein N-terminal domain
Q96NH3	[173, 227]	Broad-minded protein central region
Q99424	[405, 421]	Acyl-CoA oxidase, C-alpha1 domain
Q9BRQ0	[327, 386]	Pygopus, PHD-type zinc finger
Q9H0H0	[224, 240]	Integrator complex subunit 2
Q9H9P5	[637, 675]	Zinc finger, C3HC4 type (RING finger)
Q9NRY4	[946, 966]	p190RhoGAP, pG1 and pG2 domains
Q9UHC7	[369, 391]	RNA-binding, Nab2-type zinc finger
Q9UHV7	[1883, 1909]	Mediator complex subunit 13 C-terminal domain
Q9Y282	[145, 195]	Endoplasmic reticulum vesicle transporter
A0A075B6N4	[89, 105]	Immunoglobulin V-set domain
O00507	[1722, 1738]	Ubiquitin carboxyl-terminal hydrolase
O00507	[2134, 2149]	Domain of unknown function (DUF3517)
O94806	[189, 205]	Phorbol esters/diacylglycerol binding domain (C1 domain)
P05231	[65, 102]	Interleukin-6/G-CSF/MGF family
P18433	[723, 738]	Protein-tyrosine phosphatase
P29597	[287, 321]	Jak1 pleckstrin homology-like domain
P29597	[807, 848]	Protein tyrosine and serine/threonine kinase
P55103	[309, 351]	Transforming growth factor beta like domain
P68366	[27, 54]	Tubulin/FtsZ family, GTPase domain
Q0P6D6	[876, 904]	Coiled-coil domain-containing protein 15 C-terminal domain
Q15560	[134, 222]	Transcription factor S-II (TFIIS), central domain
Q15560	[259, 297]	Transcription factor S-II (TFIIS)
Q8NAG6	[45, 69]	Ankyrin repeats (3 copies)
Q8NHY6	[249, 268]	KRAB box
Q8WXE1	[319, 345]	ATRIP C-terminal domain
Q9H461	[97, 141]	Fz domain
Q9NYK6	[5, 56]	EURL protein
Q9P1T7	[158, 245]	MyoD family inhibitor
A6NL88	[80, 130]	Shisa, N-terminal domain
O94851	[1038, 1058]	LIM domain
P19875	[48, 93]	Small cytokines (intecrine/chemokine), interleukin-8 like
P20749	[327, 343]	Ankyrin repeats (3 copies)
P47944	[1, 61]	Metallothionein
P48509	[146, 201]	Tetraspanin family
P51587	[1670, 1695]	BRCA2 repeat
P56705	[195, 241]	wnt family
Q01974	[233, 291]	Fz domain
Q01974	[361, 394]	Kringle domain
Q5BN46	[89, 106]	Piercer of microtubule wall 1/2
Q86V20	[424, 446]	Shieldin complex subunit 2, first OB fold domain
Q8N812	[24, 66]	Family of unknown function (DUF5541)
Q8TAG5	[109, 138]	Immunoglobulin V-set domain
Q8TE54	[531, 567]	STAS domain
Q8WWP7	[50, 103]	AIG1 family
Q9BYW2	[2475, 2535]	SRI (Set2 Rpb1 interacting) domain
Q9NRF2	[295, 371]	PH domain
Q9Y3T6	[61, 77]	R3H domain
Q9Y6G9	[48, 67]	Dynein light intermediate chain (DLIC)
A0A2R8Y4M4	[26, 77]	zinc-RING finger domain
A0AAG2UXK7	[843, 866]	Olduvai domain
A0AUZ9	[893, 915]	PEHE domain
O00253	[86, 122]	Agouti protein
O15198	[89, 135]	MH1 domain
O94913	[1441, 1480]	Pcf11, C-terminal domain
P08311	[112, 157]	Trypsin
P09341	[42, 92]	Small cytokines (intecrine/chemokine), interleukin-8 like
P09544	[129, 150]	wnt family
P0DPF2	[3, 56]	Olduvai domain
P16870	[287, 327]	Zinc carboxypeptidase
P34096	[48, 146]	Pancreatic ribonuclease
P49862	[125, 240]	Trypsin
P80075	[33, 72]	Small cytokines (intecrine/chemokine), interleukin-8 like
Q01151	[23, 53]	Immunoglobulin V-set domain
Q02241	[189, 208]	Kinesin motor domain
Q02833	[58, 84]	Ras association (RalGDS/AF-6) domain
Q15042	[645, 704]	Rab3 GTPase-activating protein catalytic subunit
Q16594	[68, 101]	Transcription initiation factor IID, 31kD subunit
Q3V5L5	[656, 777]	Glycosyltransferase family 18
Q6ZWE6	[675, 728]	Rubicon Homology Domain
Q7LGA3	[189, 208]	Sulfotransferase family
Q8N5U0	[68, 118]	Domain of unknown function (DUF4663)
Q969H9	[71, 93]	Disrupted in renal carcinoma protein 1
Q96LC7	[306, 336]	Immunoglobulin I-set domain
Q9NRU3	[711, 726]	Metal transporter CNNM2-like, C-terminal CNBH domain
A6NFH5	[109, 131]	Lipocalin / cytosolic fatty-acid binding protein family
O14522	[1370, 1390]	Protein-tyrosine phosphatase
O15165	[15, 47]	Low-density lipoprotein receptor domain class A
P0CW18	[215, 314]	Trypsin
P13224	[143, 153]	Platelet glycoprotein Ib beta chain C-terminal domain
P56373	[102, 128]	ATP P2X receptor
P61129	[328, 357]	KIAA1064-like, CCCH zinc finger
Q11130	[63, 78]	Fucosyltransferase, N-terminal
Q14831	[377, 401]	Receptor family ligand binding region
Q14831	[518, 569]	Nine Cysteines Domain of family 3 GPCR
Q14966	[1928, 1953]	Zinc-finger double-stranded RNA-binding
Q5T5C0	[914, 938]	Lethal giant larvae(Lgl) like, C-terminal
Q7L0R7	[402, 421]	Ring finger domain
Q7Z3Y9	[82, 92]	Intermediate filament protein
Q86XA9	[1324, 1339]	Laa1/Sip1/HEATR5 HEAT repeat region
Q8N3C7	[524, 548]	CAP-Gly domain
Q8N7H5	[29, 65]	Paf1
Q8NF86	[152, 182]	Trypsin
Q8TC05	[350, 371]	Nuclear protein MDM1
Q8TE76	[425, 470]	CW-type Zinc Finger
Q96KX2	[43, 59]	F-actin capping protein alpha subunit
Q99502	[378, 395]	haloacid dehalogenase-like hydrolase
Q9BYJ0	[35, 118]	FGF binding protein 1 (FGF-BP1)
Q9GZT5	[146, 168]	wnt family
Q9H3R1	[810, 836]	Sulfotransferase domain
