Accession_number	Region	Region_length
Q96HD1	[35, 58]	24
Q96HD1	[87, 108]	22
Q9BU40	[69, 187]	119
Q9BU40	[245, 342]	98
Q9C086	[309, 343]	35
Q9HC78	[569, 586]	18
Q9HC78	[630, 648]	19
A3QJZ6	[452, 473]	22
A6NKQ9	[50, 169]	120
O60381	[322, 343]	22
P02787	[182, 197]	16
P02787	[426, 446]	21
P02787	[496, 532]	37
P02787	[571, 633]	63
P10589	[75, 155]	81
P54764	[355, 389]	35
Q1RN00	[82, 140]	59
Q5T2Q4	[0, 36]	37
Q5TA81	[0, 109]	110
Q8IWU6	[664, 686]	23
Q8IWU6	[728, 754]	27
Q96K80	[129, 163]	35
Q9BYQ8	[0, 209]	210
Q9NS68	[128, 158]	31
Q9UHF5	[110, 172]	63
Q9UK28	[85, 133]	49
Q9UNK4	[48, 74]	27
Q9UNK4	[95, 111]	17
Q9Y210	[245, 267]	23
P28702	[180, 274]	95
P50579	[215, 240]	26
Q2VIR3	[90, 114]	25
Q30KQ8	[43, 96]	54
Q53GT1	[505, 532]	28
Q6NZ36	[132, 179]	48
Q6URK8	[49, 75]	27
Q6ZUB0	[116, 134]	19
Q7Z4Q2	[46, 68]	23
Q86UZ6	[424, 460]	37
Q96GX1	[160, 195]	36
Q9GZZ6	[377, 394]	18
Q9UJW2	[265, 284]	20
Q9UJW2	[305, 355]	51
A0A096LP55	[26, 79]	54
O94929	[0, 49]	50
O94929	[212, 248]	37
P43652	[76, 114]	39
P43652	[189, 204]	16
P43652	[268, 322]	55
P43652	[379, 402]	24
P43652	[484, 502]	19
P43652	[580, 598]	19
P81274	[499, 519]	21
Q10472	[515, 548]	34
Q8N9V2	[43, 65]	23
Q8NDY8	[77, 107]	31
Q8NEB7	[57, 77]	21
Q96CA5	[272, 287]	16
Q96HI0	[188, 209]	22
Q99988	[235, 283]	49
Q9BYV6	[64, 88]	25
Q9BYV6	[113, 138]	26
Q9H158	[710, 743]	34
O14639	[148, 239]	92
O14639	[256, 280]	25
O14639	[290, 323]	34
O15541	[272, 308]	37
O43597	[160, 255]	96
P04733	[0, 60]	61
P09093	[204, 228]	25
P22692	[11, 109]	99
P22692	[193, 257]	65
Q6X4U4	[64, 102]	39
Q6X4U4	[123, 174]	52
Q8N806	[24, 80]	57
Q8N806	[99, 120]	22
Q8TC27	[332, 358]	27
Q8TC27	[550, 566]	17
Q9NP50	[9, 28]	20
Q9NP50	[187, 205]	19
P00325	[87, 138]	52
P26010	[34, 100]	67
P51689	[486, 512]	27
P51689	[577, 592]	16
P78334	[400, 443]	44
P98168	[291, 308]	18
P98168	[471, 496]	26
Q17RN3	[89, 107]	19
Q5VZB9	[63, 135]	73
Q96EG1	[166, 191]	26
Q96EG1	[501, 524]	24
Q9BRQ0	[319, 381]	63
Q9BWF3	[151, 174]	24
Q9H9P5	[25, 46]	22
Q9H9P5	[628, 679]	52
Q9UHC7	[50, 85]	36
Q9UHC7	[98, 113]	16
Q9Y282	[131, 167]	37
O94806	[286, 330]	45
P81172	[62, 83]	22
Q0P6D6	[885, 908]	24
Q15560	[250, 298]	49
Q8WXE1	[385, 408]	24
Q8WXE1	[758, 790]	33
Q96GL9	[51, 107]	57
Q9C040	[49, 70]	22
Q9C040	[107, 150]	44
Q9H461	[96, 157]	62
Q9H461	[558, 575]	18
Q9P1T7	[148, 170]	23
Q9P1T7	[189, 245]	57
A6NL88	[96, 137]	42
P47944	[0, 61]	62
P56705	[125, 152]	28
P56705	[195, 229]	35
P56705	[269, 323]	55
Q01974	[236, 346]	111
Q8N812	[101, 122]	22
Q8NEG5	[223, 245]	23
Q8TE54	[530, 569]	40
Q9BXR0	[306, 329]	24
A0A2R8Y4M4	[16, 77]	62
O00253	[76, 110]	35
P09544	[124, 151]	28
P09544	[195, 215]	21
P09544	[278, 357]	80
P34096	[83, 146]	64
P49862	[126, 242]	117
Q01151	[15, 38]	24
Q01151	[89, 114]	26
Q02833	[54, 82]	29
Q3V5L5	[726, 749]	24
Q6ZWE6	[704, 732]	29
Q969H9	[17, 58]	42
Q96HQ0	[194, 239]	46
O00622	[218, 361]	144
O15165	[26, 56]	31
P04003	[154, 184]	31
P04003	[218, 248]	31
P04003	[273, 308]	36
P04003	[321, 434]	114
P04003	[468, 567]	100
P0CW18	[202, 234]	33
P0CW18	[245, 322]	78
P56373	[105, 132]	28
Q14831	[512, 578]	67
Q15650	[160, 217]	58
Q7L0R7	[403, 429]	27
Q8NF86	[139, 168]	30
Q8NF86	[209, 239]	31
Q96KX2	[44, 60]	17
Q9BYJ0	[32, 126]	95
Q9GZT5	[146, 168]	23
Q9GZT5	[251, 285]	35
Q9GZT5	[327, 401]	75
A2RUT3	[38, 55]	18
A8MUP6	[34, 61]	28
O14905	[44, 75]	32
O14905	[129, 156]	28
O14905	[199, 232]	34
O14905	[280, 325]	46
O15547	[127, 162]	36
O60243	[105, 131]	27
O60243	[202, 232]	31
P51460	[104, 130]	27
P62736	[0, 21]	22
Q0WX57	[101, 135]	35
Q6ZVC0	[698, 724]	27
Q6ZVC0	[777, 813]	37
Q70EL2	[88, 110]	23
Q70EL2	[635, 653]	19
Q9H4D5	[271, 291]	21
D6RGX4	[36, 72]	37
O94769	[106, 166]	61
O95631	[30, 103]	74
P02679	[154, 174]	21
P08833	[23, 113]	91
P08833	[195, 227]	33
P58215	[104, 153]	50
P58215	[259, 290]	32
P58215	[365, 415]	51
P58215	[485, 521]	37
P58215	[629, 655]	27
P58215	[702, 721]	20
Q2L4Q9	[184, 234]	51
Q496Y0	[174, 192]	19
Q496Y0	[465, 515]	51
Q5T871	[8, 97]	90
Q6UW56	[146, 186]	41
Q7Z3D6	[141, 191]	51
Q7Z3D6	[234, 274]	41
Q8N554	[68, 91]	24
Q96JP5	[391, 418]	28
Q96QU4	[84, 127]	44
Q9H8W4	[147, 233]	87
A8MVM7	[387, 423]	37
O75473	[26, 49]	24
P21128	[157, 188]	32
P21912	[85, 118]	34
P21912	[241, 262]	22
Q7Z5A4	[250, 273]	24
Q8IV63	[0, 31]	32
Q8NF67	[10, 44]	35
Q8WV99	[0, 71]	72
Q9BYE2	[494, 519]	26
A6NGY1	[85, 128]	44
O75925	[197, 237]	41
P01225	[89, 128]	40
Q6PEX3	[0, 91]	92
Q6PEX3	[107, 209]	103
Q6ZSJ9	[127, 151]	25
Q96AX9	[84, 102]	19
Q96AX9	[844, 875]	32
Q96AX9	[919, 944]	26
Q9C035	[29, 67]	39
Q9H772	[70, 86]	17
Q9H772	[127, 166]	40
Q9HCK0	[264, 286]	23
Q9UKR8	[169, 196]	28
Q9UL40	[124, 148]	25
Q9UL40	[176, 199]	24
Q9Y5X4	[36, 117]	82
A0A1B0GTH9	[73, 107]	35
O43567	[263, 290]	28
O60260	[139, 216]	78
O60260	[406, 451]	46
P42677	[54, 83]	30
Q06587	[45, 96]	52
Q5T753	[0, 117]	118
Q6GPH4	[0, 18]	19
Q6GPH4	[256, 279]	24
Q6ZVZ8	[249, 285]	37
Q96FT7	[279, 305]	27
Q96FT7	[320, 377]	58
Q96H40	[201, 224]	24
Q96H40	[257, 274]	18
O60711	[141, 191]	51
Q13398	[248, 289]	42
Q14393	[54, 79]	26
Q5VUB5	[795, 815]	21
Q6ZMV5	[484, 502]	19
Q9H0D6	[217, 236]	20
Q9H2A7	[29, 49]	21
Q9NRA1	[280, 305]	26
Q9NRA1	[320, 344]	25
Q9UBF6	[48, 80]	33
Q9Y2J0	[87, 144]	58
Q9Y2X0	[779, 847]	69
Q9Y5R6	[65, 114]	50
Q9Y5R6	[146, 171]	26
O95388	[30, 107]	78
O95388	[120, 200]	81
O95388	[213, 264]	52
P00995	[21, 78]	58
P02765	[197, 239]	43
P13497	[545, 600]	56
P13497	[696, 756]	61
P54753	[366, 401]	36
Q6X784	[275, 335]	61
Q9H334	[297, 322]	26
Q9UGI8	[225, 248]	24
Q9UGI8	[290, 312]	23
Q9UGI8	[351, 372]	22
Q9UP79	[407, 521]	115
Q9UP79	[612, 631]	20
Q9UP79	[647, 697]	51
Q9UP79	[842, 888]	47
A0A8I5KTY6	[35, 58]	24
E9PI22	[207, 223]	17
P04628	[136, 169]	34
P04628	[207, 238]	32
P04628	[267, 369]	103
P22531	[0, 71]	72
P55056	[111, 126]	16
Q13133	[87, 176]	90
Q7LDG7	[528, 557]	30
Q86UU5	[581, 607]	27
Q8N587	[440, 463]	24
Q96MU6	[696, 728]	33
Q9NR71	[358, 385]	28
Q9Y2I2	[69, 101]	33
O00287	[130, 165]	36
O60941	[264, 279]	16
P07919	[26, 79]	54
P10275	[256, 299]	44
P10275	[549, 575]	27
P10275	[588, 628]	41
P81408	[138, 163]	26
P81534	[42, 66]	25
Q01201	[194, 233]	40
Q13939	[561, 577]	17
Q5H913	[154, 173]	20
Q6B9Z1	[35, 57]	23
Q6B9Z1	[88, 122]	35
Q6UWE0	[686, 718]	33
Q6ZMZ0	[192, 310]	119
Q9UHD1	[0, 45]	46
Q9UHD1	[146, 173]	28
O43609	[170, 259]	90
O75603	[70, 132]	63
P07288	[193, 241]	49
P17014	[568, 610]	43
P17014	[652, 678]	27
Q08AE8	[55, 74]	20
Q5JNZ5	[12, 35]	24
Q5JNZ5	[77, 101]	25
Q6P988	[407, 458]	52
Q86W47	[109, 128]	20
Q8NBP7	[461, 571]	111
Q9H0A6	[157, 175]	19
Q9H2Y9	[544, 565]	22
A0AAG2TU59	[23, 40]	18
K9M1U5	[60, 82]	23
P00747	[41, 81]	41
P00747	[742, 765]	24
Q03403	[19, 101]	83
Q17RY6	[32, 59]	28
Q6UXH9	[319, 355]	37
Q6ZVN7	[93, 127]	35
Q7Z6J4	[456, 489]	34
Q9UDY6	[5, 69]	65
Q9UDY6	[88, 109]	22
Q9UHJ3	[597, 636]	40
O43506	[410, 548]	139
O43610	[191, 218]	28
O43610	[240, 287]	48
O75317	[223, 242]	20
P22681	[373, 430]	58
P34130	[134, 168]	35
Q02156	[213, 229]	17
Q02156	[272, 301]	30
Q7Z6J8	[41, 61]	21
Q7Z6J8	[95, 113]	19
Q7Z6J8	[182, 204]	23
Q9UKP3	[0, 74]	75
Q9UKP3	[138, 184]	47
Q9UKR0	[122, 150]	29
Q9UKR0	[174, 207]	34
D6RJB6	[101, 135]	35
O60383	[375, 395]	21
P0DN87	[22, 53]	32
P0DN87	[81, 139]	59
Q5SW24	[126, 152]	27
Q7Z6J0	[16, 60]	45
Q8IUG1	[0, 166]	167
Q8WYQ3	[92, 127]	36
Q96MH7	[170, 232]	63
E9PGG2	[63, 86]	24
Q5TA82	[0, 109]	110
Q8WY41	[234, 274]	41
Q8WZ73	[325, 349]	25
Q92876	[120, 233]	114
Q9BUN1	[200, 222]	23
Q9BUN1	[237, 283]	47
Q9HCU0	[115, 146]	32
Q9ULX3	[276, 294]	19
O00292	[340, 362]	23
O15303	[507, 536]	30
O15303	[548, 578]	31
O60477	[253, 281]	29
O60477	[412, 434]	23
O60477	[451, 470]	20
O95263	[0, 25]	26
O95263	[745, 766]	22
P04070	[147, 192]	46
P22736	[256, 325]	70
P56703	[128, 160]	33
P56703	[195, 222]	28
P56703	[273, 336]	64
Q14574	[855, 876]	22
Q658T7	[36, 72]	37
Q8NB12	[60, 87]	28
Q8TDF5	[315, 335]	21
Q8WXD0	[59, 82]	24
Q9H4F8	[240, 278]	39
Q9NRG9	[321, 340]	20
Q9UBS5	[129, 166]	38
Q9UEW3	[487, 519]	33
O95628	[3, 28]	26
O95628	[38, 65]	28
Q15637	[271, 291]	21
Q53RE8	[80, 105]	26
Q5TA31	[0, 65]	66
Q6NUN9	[444, 484]	41
Q6UWN5	[70, 224]	155
Q86YD7	[36, 72]	37
Q8N9V3	[92, 112]	21
Q8NBI3	[263, 348]	86
Q8TC41	[338, 361]	24
Q8TC41	[412, 450]	39
Q8TE02	[124, 140]	17
Q92994	[0, 26]	27
Q9C0B6	[287, 316]	30
Q9C0B6	[434, 490]	57
P49765	[61, 98]	38
Q3ZCQ2	[128, 152]	25
Q49A92	[513, 537]	25
Q8IZ26	[186, 209]	24
Q9BXJ7	[194, 255]	62
Q9H714	[315, 333]	19
Q9H714	[623, 651]	29
Q9Y4K3	[59, 114]	56
Q9Y4K3	[223, 259]	37
A6NK02	[86, 128]	43
O76095	[60, 94]	35
P41235	[49, 129]	81
Q6UXU4	[30, 61]	32
Q7Z699	[324, 395]	72
Q7Z699	[420, 443]	24
Q86UA6	[157, 196]	40
Q86UD3	[60, 100]	41
Q8N4S0	[411, 431]	21
Q96FE7	[59, 110]	52
Q96P64	[585, 607]	23
Q9H0F5	[486, 512]	27
Q9Y4K0	[384, 433]	50
Q9Y4K0	[503, 545]	43
Q9Y4K0	[572, 588]	17
Q9Y4K0	[650, 677]	28
Q9Y4X4	[308, 333]	26
Q9Y4X4	[368, 391]	24
P55000	[21, 80]	60
Q0P670	[78, 148]	71
Q14520	[235, 258]	24
Q14520	[482, 515]	34
Q86T75	[198, 227]	30
Q8N474	[248, 267]	20
Q96H79	[92, 134]	43
Q9Y678	[720, 744]	25
A6NGJ6	[31, 64]	34
A6NGJ6	[79, 135]	57
A6NJQ4	[36, 72]	37
O14511	[427, 455]	29
O75312	[40, 55]	16
P18084	[50, 82]	33
Q494X3	[208, 229]	22
Q6UWN0	[131, 159]	29
Q86UK7	[14, 55]	42
Q86UK7	[238, 256]	19
Q86UK7	[853, 879]	27
Q96LW1	[205, 228]	24
Q96QV1	[105, 124]	20
Q9BQI7	[384, 404]	21
Q9GZT9	[10, 67]	58
Q9H270	[844, 869]	26
P46063	[467, 486]	20
P51124	[192, 213]	22
P62854	[12, 38]	27
Q8NCL4	[586, 619]	34
Q96JK4	[748, 781]	34
Q9NSJ1	[382, 427]	46
A6NDI0	[113, 136]	24
A8MWA6	[36, 72]	37
O00744	[71, 103]	33
O00744	[138, 155]	18
O00744	[236, 270]	35
O00744	[307, 362]	56
P0DV73	[36, 72]	37
P56706	[119, 146]	28
P56706	[189, 222]	34
P56706	[267, 319]	53
P56706	[331, 348]	18
P59025	[180, 195]	16
Q13434	[394, 415]	22
Q66K41	[212, 235]	24
Q66K41	[281, 304]	24
Q8IXL7	[124, 167]	44
Q8IY33	[177, 247]	71
Q9H2X3	[357, 379]	23
Q9NRC8	[214, 237]	24
C9J2P7	[101, 135]	35
O00187	[137, 161]	25
O00187	[344, 375]	32
O94941	[472, 536]	65
P00326	[87, 135]	49
P13349	[6, 29]	24
P13349	[56, 84]	29
P13349	[142, 174]	33
P23942	[210, 231]	22
Q14416	[490, 511]	22
Q6PH81	[5, 41]	37
Q6UX71	[321, 380]	60
Q8IYX7	[0, 32]	33
Q8IYX7	[302, 336]	35
Q9H4W6	[149, 179]	31
Q9UBT2	[150, 170]	21
Q9UBZ4	[461, 514]	54
P08253	[275, 344]	70
Q14541	[0, 81]	82
Q5VUR7	[90, 108]	19
Q6P9F5	[0, 83]	84
Q7Z5Q5	[254, 271]	18
Q86TJ2	[21, 42]	22
Q96PM5	[0, 81]	82
Q96PM5	[211, 239]	29
Q96S42	[274, 289]	16
Q96S42	[304, 320]	17
Q9BUB5	[208, 265]	58
Q9BUB5	[303, 323]	21
Q9H1C7	[68, 96]	29
Q9H1J5	[106, 130]	25
Q9H1J5	[169, 189]	21
Q9H1J5	[260, 350]	91
Q9Y6I4	[0, 90]	91
Q9Y6I4	[351, 369]	19
A2CJ06	[217, 234]	18
A6NLI5	[81, 134]	54
O43900	[135, 155]	21
O95294	[670, 713]	44
P0C8F1	[66, 86]	21
P35052	[19, 34]	16
P35052	[52, 77]	26
P35052	[261, 278]	18
P49901	[0, 108]	109
Q08431	[24, 79]	56
Q10469	[374, 395]	22
Q16134	[575, 601]	27
Q8NES8	[22, 47]	26
Q96QC0	[910, 936]	27
Q9Y5K2	[187, 211]	25
O75688	[156, 181]	26
P12931	[479, 508]	30
Q3SY46	[0, 124]	125
Q8IWV1	[162, 182]	21
Q8IWV1	[224, 250]	27
Q8NFT6	[290, 313]	24
Q96C24	[52, 107]	56
Q96P11	[356, 371]	16
Q9P242	[278, 327]	50
A6NMN3	[158, 203]	46
P38935	[886, 941]	56
Q01081	[144, 172]	29
Q14512	[186, 213]	28
Q5T751	[0, 117]	118
Q6PJI9	[932, 972]	41
Q9HAW0	[0, 42]	43
A0AAG2TTZ7	[571, 589]	19
P13945	[255, 282]	28
P52594	[18, 47]	30
Q13064	[98, 119]	22
Q5DT21	[28, 55]	28
Q5SWA1	[584, 628]	45
Q86YF9	[96, 112]	17
Q8IZP6	[284, 302]	19
Q8N271	[128, 144]	17
Q8NA69	[214, 254]	41
Q9NYB5	[469, 489]	21
Q9Y468	[611, 655]	45
Q5VTR2	[947, 966]	20
Q6ZN04	[507, 564]	58
Q96FZ2	[0, 48]	49
Q96JY6	[275, 321]	47
Q9BQ90	[279, 306]	28
Q9BXR6	[112, 156]	45
Q9BXR6	[251, 267]	17
Q9BXR6	[423, 460]	38
Q9BXR6	[475, 516]	42
Q7Z713	[87, 107]	21
Q8NHX4	[71, 138]	68
Q8NHX4	[152, 191]	40
Q9NYF0	[172, 242]	71
Q9NYJ8	[30, 51]	22
A6NDX5	[198, 221]	24
O43422	[0, 70]	71
P04731	[0, 60]	61
P16233	[310, 330]	21
P21246	[36, 99]	64
P21246	[120, 150]	31
P27701	[165, 202]	38
P37173	[54, 76]	23
P37173	[118, 138]	21
P61968	[47, 65]	19
P98153	[23, 75]	53
Q16651	[200, 243]	44
Q86YJ5	[104, 138]	35
Q8WTV1	[0, 20]	21
Q9HCI7	[47, 88]	42
Q9HCI7	[451, 507]	57
Q9NY28	[551, 573]	23
Q9Y337	[167, 279]	113
H3BPF8	[613, 630]	18
O60308	[773, 878]	106
O75081	[545, 601]	57
P19544	[191, 215]	25
Q0VAF6	[17, 56]	40
Q15796	[59, 83]	25
Q86VP1	[746, 769]	24
Q8N3J9	[51, 73]	23
Q8N475	[62, 123]	62
Q969G2	[52, 70]	19
Q969G2	[82, 101]	20
Q9BUL5	[331, 393]	63
Q9BYN7	[341, 364]	24
Q9H3T3	[528, 543]	16
Q9NZF1	[49, 110]	62
Q9UGL9	[0, 98]	99
Q9UJW0	[38, 88]	51
O94886	[293, 311]	19
P01877	[156, 200]	45
P20151	[198, 240]	43
P57727	[389, 409]	21
Q14D33	[86, 110]	25
Q14D33	[123, 161]	39
Q5JSP0	[527, 592]	66
Q68DV7	[297, 321]	25
Q7L622	[74, 96]	23
Q7L622	[226, 271]	46
Q8N3T1	[506, 545]	40
Q8N3T1	[608, 629]	22
Q8TDM5	[18, 106]	89
Q9UPR6	[262, 289]	28
Q9UPR6	[310, 337]	28
Q9UPR6	[459, 484]	26
Q9Y466	[5, 87]	83
A0PJX4	[65, 87]	23
O00198	[0, 27]	28
O60337	[0, 23]	24
O60635	[173, 194]	22
O95521	[445, 473]	29
P01876	[3, 29]	27
P01876	[169, 213]	45
P52740	[282, 305]	24
P62877	[48, 69]	22
Q14995	[110, 173]	64
Q5T5B0	[0, 91]	92
Q5VUE5	[104, 132]	29
Q6ZNE5	[36, 64]	29
Q86XN8	[589, 648]	60
Q8IZ20	[341, 364]	24
Q8TCT1	[160, 183]	24
Q9NZK7	[96, 141]	46
Q9P021	[47, 95]	49
A8K0R7	[160, 211]	52
A8K0R7	[232, 279]	48
O95567	[80, 101]	22
P00751	[590, 621]	32
P00751	[680, 704]	25
Q13574	[173, 193]	21
Q5JQS6	[110, 132]	23
Q8TF61	[1, 19]	19
Q96HA4	[65, 124]	60
Q96I27	[88, 111]	24
Q9NRX4	[60, 80]	21
A6NNJ1	[36, 72]	37
O95158	[227, 257]	31
P0C7W9	[36, 72]	37
P0DV60	[0, 94]	95
P43681	[398, 419]	22
P43681	[473, 501]	29
P43681	[518, 542]	25
Q8IYX8	[346, 371]	26
Q92622	[910, 941]	32
Q96SZ4	[338, 361]	24
Q99558	[600, 631]	32
Q9BWT1	[243, 344]	102
Q9NWW7	[17, 55]	39
Q9ULW2	[19, 51]	33
Q9ULW2	[93, 156]	64
Q14956	[420, 443]	24
Q3MJ16	[234, 257]	24
Q3MJ16	[277, 310]	34
Q8IV04	[90, 120]	31
Q96Q91	[604, 620]	17
Q9NQX1	[593, 616]	24
Q9UKQ9	[188, 232]	45
P07202	[251, 278]	28
P08842	[563, 581]	19
P0DP57	[27, 68]	42
P10646	[147, 187]	41
P10646	[243, 276]	34
P29320	[355, 385]	31
Q30KQ5	[35, 75]	41
Q3LI83	[0, 176]	177
Q8NA70	[400, 433]	34
Q8TDB6	[550, 608]	59
Q99469	[123, 168]	46
Q9NPR2	[579, 606]	28
Q9NUL5	[113, 232]	120
O43903	[204, 227]	24
O95754	[506, 522]	17
P51449	[20, 100]	81
Q6QN14	[101, 135]	35
Q7L3T8	[280, 301]	22
Q86SU0	[195, 221]	27
Q96M43	[440, 490]	51
Q9BXU3	[371, 408]	38
Q9UPV7	[109, 142]	34
Q9UPV7	[174, 189]	16
D6RF30	[605, 623]	19
O95460	[570, 590]	21
Q2MV58	[67, 101]	35
Q5H9J9	[257, 277]	21
Q86XR5	[29, 63]	35
Q96ME7	[163, 211]	49
Q96ME7	[275, 301]	27
Q96P53	[306, 329]	24
Q9BYE4	[0, 72]	73
A6NGD5	[33, 53]	21
P09486	[61, 158]	98
Q02447	[672, 695]	24
Q14159	[144, 164]	21
Q14159	[793, 823]	31
Q6GMV2	[90, 145]	56
Q6GMV2	[309, 327]	19
Q8N690	[28, 51]	24
Q969Q1	[64, 86]	23
Q969Q1	[106, 136]	31
Q96BD5	[480, 515]	36
Q9BQB4	[80, 176]	97
Q9NVP4	[359, 384]	26
Q9Y6R0	[184, 213]	30
C9J798	[684, 713]	30
C9JLR9	[274, 294]	21
O43313	[75, 100]	26
O60658	[90, 108]	19
P43353	[210, 225]	16
P63215	[40, 59]	20
Q3LHN2	[13, 42]	30
Q5JT82	[334, 357]	24
Q6ZNC4	[377, 411]	35
Q86UT8	[0, 22]	23
Q86UT8	[57, 78]	22
Q8N393	[231, 263]	33
Q96SW2	[315, 336]	22
