accession	start	end	domain
P20648	428	608	P-type ATPase, cytoplasmic domain N
Q8IXY8	148	305	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q99501	208	276	Growth-Arrest-Specific Protein 2 Domain
Q99501	29	147	Calponin homology (CH) domain
P59539	1	297	Taste receptor protein (TAS2R)
Q9H777	3	105	Anti-Pycsar protein Apyc1
Q9H3Z7	173	305	alpha/beta hydrolase fold
P08246	30	242	Trypsin
Q5T7P3	56	118	Late cornified envelope
P59510	616	720	ADAMTS cysteine-rich domain
P59510	479	546	ADAMTS cysteine-rich domain 2
P59510	41	136	Reprolysin family propeptide
P59510	722	840	ADAM-TS Spacer 1
P59510	259	467	Reprolysin (M12B) family zinc metalloprotease
P59510	1713	1909	GON domain
P59510	853	902	Thrombospondin type 1 domain
P59510	914	962	Thrombospondin type 1 domain
P59510	970	1022	Thrombospondin type 1 domain
P59510	1025	1077	Thrombospondin type 1 domain
P59510	1080	1134	Thrombospondin type 1 domain
P59510	1156	1205	Thrombospondin type 1 domain
P59510	1211	1263	Thrombospondin type 1 domain
P59510	1308	1359	Thrombospondin type 1 domain
P59510	1362	1415	Thrombospondin type 1 domain
P59510	1421	1474	Thrombospondin type 1 domain
P59510	1477	1530	Thrombospondin type 1 domain
P59510	1658	1709	Thrombospondin type 1 domain
P59510	560	610	Thrombospondin type 1 domain
Q9H1Z9	76	316	Tetraspanin family
Q8NB16	4	146	Mixed lineage kinase domain-like N-terminal domain
Q8NB16	218	466	Protein tyrosine and serine/threonine kinase
Q5MY95	37	455	GDA1/CD39 (nucleoside phosphatase) family
O15079	19	329	Golgi-localised syntaxin-1-binding clamp
Q96JQ5	65	207	CD20-like family
P33552	6	72	Cyclin-dependent kinase regulatory subunit
Q9H114	37	114	Cystatin domain
Q6ZVT6	3	49	CFA20 domain
Q14112	1199	1238	Low-density lipoprotein receptor repeat class B
Q14112	1241	1283	Low-density lipoprotein receptor repeat class B
Q14112	527	712	G2F domain
Q14112	940	1005	Thyroglobulin type-1 repeat
Q14112	1019	1084	Thyroglobulin type-1 repeat
Q14112	801	842	Calcium-binding EGF domain
Q14112	896	929	EGF domain
Q14112	74	272	Nidogen-like
Q14112	875	895	Complement Clr-like EGF-like
Q5TC79	374	395	Zinc finger, C2H2 type
Q5TC79	401	423	Zinc finger, C2H2 type
Q5TC79	429	449	Zinc-finger of C2H2 type
Q5TC79	22	123	BTB/POZ domain
O60840	1461	1514	Voltage-dependent L-type calcium channel, IQ-associated
O60840	92	382	Ion transport protein
O60840	531	763	Ion transport protein
O60840	870	1146	Ion transport protein
O60840	1191	1451	Ion transport protein
O60840	1524	1597	Voltage gated calcium channel IQ domain
O60840	1718	1977	Voltage-gated calcium channel subunit alpha, C-term
O94979	573	767	Sec16 Sec23-binding domain
P17612	44	298	Protein kinase domain
P62318	9	72	LSM domain
Q14442	89	158	GPI-GlcNAc transferase complex, PIG-H component
O75469	40	109	Double treble clef zinc finger, C4 type
O75469	243	411	Ligand-binding domain of nuclear hormone receptor
Q8NE00	20	66	Transmembrane amino acid transporter protein
Q8NE00	133	450	Transmembrane amino acid transporter protein
O75556	1	90	Uteroglobin family
Q8N819	66	319	Protein phosphatase 2C
Q8N819	320	397	Protein serine/threonine phosphatase 2C, C-terminal domain
P55083	39	253	Fibrinogen beta and gamma chains, C-terminal globular domain
Q9UBR1	74	350	Carbon-nitrogen hydrolase
A0AAG2SWI5	1343	1428	A-macroglobulin receptor binding domain
A0AAG2SWI5	438	587	Alpha-2-macroglobulin bait region domain
A0AAG2SWI5	937	1229	A-macroglobulin TED domain
A0AAG2SWI5	330	424	Macroglobulin domain MG4
A0AAG2SWI5	110	200	MG2 domain
A0AAG2SWI5	202	289	Macroglobulin domain MG3
A0AAG2SWI5	726	816	Alpha-2-macroglobulin family
Q8IZK6	90	275	Mucolipin, extracytosolic domain
Q8IZK6	379	513	Polycystin cation channel
A8TX70	1395	1452	Collagen triple helix repeat (20 copies)
A8TX70	1464	1520	Collagen triple helix repeat (20 copies)
A8TX70	1524	1580	Collagen triple helix repeat (20 copies)
A8TX70	30	197	von Willebrand factor type A domain
A8TX70	236	405	von Willebrand factor type A domain
A8TX70	442	610	von Willebrand factor type A domain
A8TX70	628	794	von Willebrand factor type A domain
A8TX70	814	984	von Willebrand factor type A domain
A8TX70	1005	1172	von Willebrand factor type A domain
A8TX70	1759	1903	von Willebrand factor type A domain
A8TX70	1963	2138	von Willebrand factor type A domain
A8TX70	2291	2467	von Willebrand factor type A domain
Q16821	123	229	Carbohydrate/starch-binding module (family 21)
O95965	46	90	Integrin EGF domain
O95965	139	179	Integrin EGF domain
O95965	96	126	EGF-like domain
O95965	185	216	EGF-like domain
O95965	285	310	EGF-like domain
O95965	368	398	EGF-like domain
O95965	455	485	EGF-like domain
Q9H400	27	259	Lck-interacting transmembrane adapter 1
A2A288	89	243	Zc3h12a-like Ribonuclease NYN domain
A2A288	3	44	UBA-like domain
Q6ZVD7	111	189	Winged helix Storkhead-box1 domain
Q93098	41	333	wnt family
O43169	29	99	Cytochrome b5-like Heme/Steroid binding domain
Q12797	591	745	Aspartyl/Asparaginyl beta-hydroxylase
Q12797	43	108	Aspartyl beta-hydroxylase N-terminal region
Q12797	345	385	Tetratricopeptide repeat
A6NEL3	12	53	Family of unknown function
O14975	499	572	AMP-binding enzyme C-terminal domain
O14975	61	384	AMP-binding enzyme
Q5JYT7	996	1052	KIAA1755 C-terminal domain
Q5JYT7	5	182	KIAA1755 N-terminal domain
P02748	275	501	MAC/Perforin domain
P02748	46	94	Thrombospondin type 1 domain
P02748	100	134	Low-density lipoprotein receptor domain class A
Q8NG08	454	670	AAA domain
Q8NG08	244	352	DNA helicase B winged helix domain
Q5VT97	679	798	C2 domain of synapse defective Rho GAP protein
Q5VT97	832	990	RhoGAP domain
Q8NHZ7	103	193	C-terminal domain of methyl-CpG binding protein 2 and 3
Q8NHZ7	28	97	p55-binding region of Methyl-CpG-binding domain proteins MBD
Q8TCB6	34	309	Olfactory receptor
Q9BVP2	15	88	GNL3L/Grn1 putative GTPase
Q9BVP2	256	311	50S ribosome-binding GTPase
Q9BXP8	1467	1518	Sushi repeat (SCR repeat)
Q9BXP8	1525	1588	Sushi repeat (SCR repeat)
Q9BXP8	588	613	LNR domain
Q9BXP8	883	1046	Pappalysin-1, SD scarf domain, C-terminal
Q9BXP8	679	830	Pregnancy-associated plasma protein-A
Q9BXP8	282	436	Concanavalin A-like lectin/glucanases superfamily
Q99952	56	289	Protein-tyrosine phosphatase
P67936	7	247	Tropomyosin
Q8TC76	14	118	Centrosome-associated N terminus
Q8TC76	254	361	Centrosome-associated C terminus
O14986	110	393	Phosphatidylinositol-4-phosphate 5-Kinase
Q9HAY2	83	251	MAGE homology domain
P22748	41	284	Eukaryotic-type carbonic anhydrase
Q8TCW9	79	338	7 transmembrane receptor (rhodopsin family)
Q8TBR7	39	242	TLC domain
Q86YV9	401	773	Hermansky-Pudlak syndrome 6 protein C-terminal domain
Q86YV9	1	385	Hermansky-Pudlak syndrome 6 protein N-terminal domain
Q8NGH5	38	315	Olfactory receptor
Q9NP87	430	493	DNA polymerase beta thumb
Q9NP87	238	286	Fingers domain of DNA polymerase lambda
Q9NP87	152	221	Helix-hairpin-helix domain
Q9NP87	292	362	DNA polymerase beta palm
Q9NQB0	463	489	Zinc finger protein 704 C-terminal domain
Q9NQB0	350	418	HMG (high mobility group) box
Q9NQB0	5	259	N-terminal CTNNB1 binding
Q6ZWK6	59	164	SEA domain
Q6ZWK6	208	432	Trypsin
Q5VXJ0	78	378	alpha/beta hydrolase fold
P29322	205	262	Ephrin cysteine rich domain
P29322	33	204	Ephrin receptor ligand binding domain
P29322	635	892	Protein tyrosine and serine/threonine kinase
P29322	934	992	SAM domain (Sterile alpha motif)
P29322	330	421	Fibronectin type III domain
P29322	440	529	Fibronectin type III domain
P29322	544	632	Ephrin type-A receptor 2 transmembrane domain
O60609	44	123	GDNF/GAS1 domain
O60609	162	239	GDNF/GAS1 domain
O60609	248	340	GDNF/GAS1 domain
Q1RMZ1	226	320	25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2
P24592	163	234	Thyroglobulin type-1 repeat
A6NGB9	43	70	WH2 motif
Q9BYR7	3	96	Keratin, high-sulphur matrix protein
A0A1B0GWI6	85	509	Domain of unknown function (DUF4641)
A0A1B0GWG4	18	83	Serine-rich and transmembrane domain-containing protein 1
Q86V81	108	176	RNA recognition motif
Q86V81	197	253	C-terminal duplication domain of Friend of PRMT1
Q5VWM3	6	113	PRAME N-terminal domain
Q5VWM3	147	465	PRAME C-terminal domain
Q2M3X9	224	246	Zinc finger, C2H2 type
Q2M3X9	252	274	Zinc finger, C2H2 type
Q2M3X9	280	302	Zinc finger, C2H2 type
Q2M3X9	308	330	Zinc finger, C2H2 type
Q2M3X9	385	407	Zinc finger, C2H2 type
Q2M3X9	413	435	Zinc finger, C2H2 type
Q2M3X9	441	463	Zinc finger, C2H2 type
Q2M3X9	469	491	Zinc finger, C2H2 type
Q2M3X9	497	519	Zinc finger, C2H2 type
Q2M3X9	525	547	Zinc finger, C2H2 type
Q2M3X9	553	575	Zinc finger, C2H2 type
Q2M3X9	7	48	KRAB box
Q96F44	289	337	SPRY-associated domain
Q96F44	16	56	zinc finger of C3HC4-type, RING
Q96F44	341	444	SPRY domain
Q96F44	89	128	B-box zinc finger
Q9BVH7	87	304	Glycosyltransferase family 29 (sialyltransferase)
Q4KMQ2	287	870	Calcium-activated chloride channel
Q4KMQ2	61	284	Anoctamin, dimerisation domain
Q9BPW5	35	201	Ras family
Q7Z401	43	202	MABP domain
Q7Z401	599	648	dDENN domain
Q7Z401	309	492	DENN (AEX-3) domain
Q7Z401	212	275	uDENN domain
Q96MF2	90	137	Phorbol esters/diacylglycerol binding domain (C1 domain)
Q96MF2	147	219	Unstructured on SH3 and cysteine-rich domain-containing protein 2
Q96MF2	253	297	SH3 domain
Q96MF2	311	364	Variant SH3 domain
Q96DD7	28	78	Shisa, N-terminal domain
Q96DD7	85	120	Shisa-5 N-terminal domain
Q9NSB8	4	106	WH1 domain
Q9Y6B6	12	197	ADP-ribosylation factor family
O94817	54	140	Ubiquitin-like autophagy protein Apg12
O60294	491	661	KLHDC2/KLHL20/DRC7 Kelch-repeats domain
O60294	38	206	Leucine carboxyl methyltransferase
M0QZC1	64	109	RING-type zinc-finger
A0A0B4J2A2	7	162	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
P60893	37	338	7 transmembrane receptor (rhodopsin family)
Q86UF4	8	277	Coiled-coil domain-containing protein 190
Q12959	587	643	SH3 domain
Q12959	6	63	L27_1
Q12959	107	223	Polyubiquitination (PEST) N-terminal domain of MAGUK
Q12959	224	307	PDZ domain
Q12959	320	402	PDZ domain
Q12959	467	543	PDZ domain
Q12959	714	890	Guanylate kinase
Q12959	404	465	PDZ-associated domain of NMDA receptors
O95359	2742	2942	Transforming acidic coiled-coil-containing protein (TACC), C-terminal
Q5H9M0	498	688	PWWP domain-containing DNA repair factor 3A/B, C-terminal
Q5H9M0	5	99	PWWP domain-containing DNA repair factor 3A/B, N-terminal
Q5H9M0	390	469	MUM1-like, PWWP domain
Q8N7X4	5	95	Melanoma associated antigen family N terminal
Q8N7X4	100	137	Melanoma associated antigen family N terminal
Q8N7X4	212	369	MAGE homology domain
P24557	46	297	Cytochrome P450
P24557	325	525	Cytochrome P450
P08709	110	139	EGF-like domain
P08709	65	105	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
P08709	151	187	Coagulation Factor Xa inhibitory site
P08709	213	447	Trypsin
Q9GZZ1	20	129	Acetyltransferase (GNAT) family
Q9Y2V7	205	656	Conserved Oligomeric Golgi complex subunit 6, C-terminal
Q9Y2V7	60	172	Conserved oligomeric complex COG6, N-terminal
Q96BA8	288	350	bZIP transcription factor
Q9HBT6	733	792	Cadherin, Y-type LIR-motif
Q9HBT6	67	156	Cadherin domain
Q9HBT6	170	264	Cadherin domain
Q9HBT6	279	381	Cadherin domain
Q9HBT6	394	485	Cadherin domain
Q9HBT6	498	595	Cadherin domain
O60566	57	179	Mad3/BUB1 homology region 1
Q96AJ1	14	283	Clusterin-associated protein-1
P55211	161	412	Caspase domain
P55211	6	90	Caspase recruitment domain
O75840	219	243	Zinc finger, C2H2 type
O75840	249	273	Zinc finger, C2H2 type
O75840	279	301	Zinc finger, C2H2 type
O95970	225	266	EPTP domain
O95970	272	312	EPTP domain
O95970	317	363	EPTP domain
O95970	420	460	EPTP domain
O95970	465	505	EPTP domain
O95970	510	550	EPTP domain
O95970	115	174	Leucine rich repeat
Q86UE3	217	239	Zinc finger, C2H2 type
Q86UE3	245	267	Zinc finger, C2H2 type
Q86UE3	273	295	Zinc finger, C2H2 type
Q86UE3	301	323	Zinc finger, C2H2 type
Q86UE3	329	351	Zinc finger, C2H2 type
Q86UE3	357	379	Zinc finger, C2H2 type
Q86UE3	385	407	Zinc finger, C2H2 type
Q86UE3	413	435	Zinc finger, C2H2 type
Q86UE3	441	463	Zinc finger, C2H2 type
Q86UE3	469	491	Zinc finger, C2H2 type
Q86UE3	497	519	Zinc finger, C2H2 type
Q86UE3	525	547	Zinc finger, C2H2 type
Q86UE3	553	575	Zinc finger, C2H2 type
Q86UE3	581	603	Zinc finger, C2H2 type
Q86UE3	609	631	Zinc finger, C2H2 type
Q86UE3	637	659	Zinc finger, C2H2 type
Q86UE3	665	687	Zinc finger, C2H2 type
Q86UE3	721	743	Zinc finger, C2H2 type
Q86UE3	749	771	Zinc finger, C2H2 type
Q86UE3	777	799	Zinc finger, C2H2 type
Q86UE3	805	827	Zinc finger, C2H2 type
Q86UE3	59	100	KRAB box
Q14315	273	365	Filamin/ABP280 repeat
Q14315	373	464	Filamin/ABP280 repeat
Q14315	472	562	Filamin/ABP280 repeat
Q14315	570	654	Filamin/ABP280 repeat
Q14315	665	755	Filamin/ABP280 repeat
Q14315	762	858	Filamin/ABP280 repeat
Q14315	866	957	Filamin/ABP280 repeat
Q14315	964	1052	Filamin/ABP280 repeat
Q14315	1060	1146	Filamin/ABP280 repeat
Q14315	1153	1240	Filamin/ABP280 repeat
Q14315	1248	1341	Filamin/ABP280 repeat
Q14315	1348	1434	Filamin/ABP280 repeat
Q14315	1441	1530	Filamin/ABP280 repeat
Q14315	1538	1627	Filamin/ABP280 repeat
Q14315	1634	1731	Filamin/ABP280 repeat
Q14315	1797	1850	Filamin/ABP280 repeat
Q14315	1859	1943	Filamin/ABP280 repeat
Q14315	1958	2030	Filamin/ABP280 repeat
Q14315	2039	2125	Filamin/ABP280 repeat
Q14315	2238	2303	Filamin/ABP280 repeat
Q14315	2313	2398	Filamin/ABP280 repeat
Q14315	2407	2493	Filamin/ABP280 repeat
Q14315	2503	2589	Filamin/ABP280 repeat
Q14315	2633	2721	Filamin/ABP280 repeat
Q14315	37	142	Calponin homology (CH) domain
Q14315	160	259	Calponin homology (CH) domain
O95396	63	298	ThiF family
O95396	338	451	Rhodanese-like domain
Q4KMP7	364	561	Rab-GTPase-TBC domain
Q6ZMJ4	29	184	Interleukin 34
Q9BXM9	384	493	SPRY domain
Q9BXM9	209	294	Fibronectin type III domain
P08779	116	426	Intermediate filament protein
Q96K17	36	92	NAC domain
Q6UWS5	5	68	PET assembly of cytochrome c oxidase, mitochondrial
Q9H1D9	13	315	RNA polymerase Rpc34 subunit
Q13435	605	654	PSP
Q13435	471	596	Domain of unknown function (DUF382)
Q13435	24	58	SAP domain
Q6P3W7	42	327	Protein kinase domain
Q96LZ2	118	285	MAGE homology domain
Q96LZ2	5	94	Melanoma associated antigen family N terminal
P0DJD1	1041	1161	RanBP1 domain
P0DJD1	1338	1458	RanBP1 domain
P0DJD1	59	90	Tetratricopeptide repeat
P0DJD1	1633	1695	Rab binding domain
P0DJD1	1698	1740	GRIP domain
Q9NVH1	14	79	DnaJ domain
Q9NVH1	162	374	DNAJC11, beta-barrel domain
Q9NVH1	422	549	DnaJ-like protein C11, C-terminal
P01768	31	116	Immunoglobulin V-set domain
P0DP03	31	116	Immunoglobulin V-set domain
Q02878	181	288	Ribosomal protein L6e
Q02878	36	95	Ribosomal protein L6, N-terminal domain
Q9BXJ7	22	447	Amnionless
Q96GT9	1	108	GAGE protein
P0C7X3	71	169	Cyclin, N-terminal domain
Q9H2X3	286	391	Lectin C-type domain
Q9UBU7	291	334	DBF zinc finger
P50502	2	43	Hsp70-interacting protein N N-terminal domain
P50502	315	361	STI1/HOP, DP domain
P50502	150	180	Tetratricopeptide repeat
A6NHG4	2	96	Macrophage migration inhibitory factor (MIF)
P04053	445	508	DNA polymerase beta thumb
P04053	250	299	Fingers domain of DNA polymerase lambda
P04053	29	111	BRCA1 C Terminus (BRCT) domain
P04053	319	403	Nucleotidyltransferase domain
P04053	165	233	Helix-hairpin-helix domain
Q5T1A1	96	280	Dcst2 domain
Q5T1A1	598	644	E3 ubiquitin-protein ligase DCST1-like, C-terminal RING domain
Q5T1A1	354	544	DC-STAMP-like protein
Q6UX40	7	128	Transmembrane protein
Q6P996	387	493	PDXDC1-like central domain
Q6P996	202	270	Pyridoxal-dependent decarboxylase conserved domain
Q6P996	499	604	PDXDC1-like second central domain
Q2M3W8	4	43	KRAB box
Q2M3W8	433	455	C2H2-type zinc finger
Q2M3W8	237	259	Zinc finger, C2H2 type
Q2M3W8	265	287	Zinc finger, C2H2 type
Q2M3W8	293	315	Zinc finger, C2H2 type
Q2M3W8	321	343	Zinc finger, C2H2 type
Q2M3W8	349	371	Zinc finger, C2H2 type
Q2M3W8	377	399	Zinc finger, C2H2 type
Q2M3W8	405	427	Zinc finger, C2H2 type
Q2M3W8	461	483	Zinc finger, C2H2 type
Q2M3W8	489	511	Zinc finger, C2H2 type
Q2M3W8	517	539	Zinc finger, C2H2 type
O95810	52	294	PTRF/SDPR family
Q9H252	258	520	Ion transport protein
Q9H252	36	132	PAS domain
Q9H252	614	695	Cyclic nucleotide-binding domain
Q9UKP5	719	829	ADAM-TS Spacer 1
Q9UKP5	43	138	Reprolysin family propeptide
Q9UKP5	562	612	Thrombospondin type 1 domain
Q9UKP5	618	716	ADAMTS cysteine-rich domain
