Accession_number	Region	Region_length
A5YM72	[783, 802]	20
O14512	[367, 387]	21
O75078	[140, 212]	73
O75078	[420, 592]	173
O75078	[656, 715]	60
P17081	[185, 204]	20
P55285	[577, 603]	27
Q03426	[318, 395]	78
Q5H8A4	[602, 629]	28
Q86YH2	[290, 485]	196
Q8N4C7	[276, 293]	18
Q8TEB1	[130, 147]	18
Q8WWU5	[43, 77]	35
Q96A70	[428, 456]	29
Q9BV97	[173, 285]	113
Q9BV97	[313, 329]	17
Q9UJJ9	[125, 155]	31
Q9Y2H8	[131, 270]	140
Q9Y2H8	[397, 682]	286
Q9Y5Y6	[449, 624]	176
A6NCL7	[257, 307]	51
A6NCL7	[318, 343]	26
O60353	[508, 529]	22
P26022	[35, 58]	24
P36269	[36, 54]	19
P78386	[3, 126]	124
Q15366	[217, 238]	22
Q6PK81	[183, 440]	258
Q6ZVN8	[21, 48]	28
Q6ZVN8	[143, 169]	27
Q7RTV3	[13, 28]	16
Q7RTV3	[157, 253]	97
Q8IZ73	[414, 430]	17
Q8IZ73	[487, 508]	22
Q8N7R7	[115, 133]	19
Q8NEC7	[351, 366]	16
Q8NEC7	[573, 627]	55
Q8TBE9	[224, 241]	18
Q8WUF8	[345, 397]	53
Q9H5I1	[0, 25]	26
Q9H5I1	[375, 409]	35
Q9HA64	[0, 16]	17
Q9Y5H2	[775, 811]	37
A0ABB0MV19	[554, 581]	28
A0ABB0MV19	[593, 611]	19
O43155	[23, 44]	22
O43155	[621, 652]	32
P02748	[34, 192]	159
P02748	[240, 262]	23
P20774	[58, 117]	60
Q06730	[157, 183]	27
Q06730	[212, 778]	567
Q06732	[163, 188]	26
Q06732	[205, 777]	573
Q0VG06	[151, 166]	16
Q0VG06	[183, 217]	35
Q0VG06	[338, 455]	118
Q0VGE8	[157, 176]	20
Q0VGE8	[191, 650]	460
Q12918	[82, 103]	22
Q13115	[142, 195]	54
Q2QGD7	[176, 449]	274
Q5W0U4	[21, 60]	40
Q6S9Z5	[83, 128]	46
Q6S9Z5	[210, 257]	48
Q8IVF1	[61, 152]	92
Q8IXI1	[534, 575]	42
Q8NHL6	[146, 183]	38
Q8TDY4	[687, 713]	27
Q96CM8	[54, 82]	29
Q96SZ5	[1, 17]	17
Q9BRP4	[0, 46]	47
Q9H6E5	[538, 585]	48
Q9H6E5	[595, 618]	24
Q9UBS8	[258, 277]	20
Q9UBS8	[391, 470]	80
O15079	[452, 469]	18
O75528	[0, 17]	18
Q5VW22	[94, 115]	22
Q7Z6R9	[116, 147]	32
Q7Z6R9	[178, 222]	45
Q8N9Z9	[52, 91]	40
Q96PG2	[184, 206]	23
Q9NQ32	[233, 304]	72
A0A1B0GTH6	[149, 175]	27
A6NI61	[201, 220]	20
O00548	[182, 527]	346
O15537	[26, 86]	61
P01871	[0, 28]	29
P57682	[259, 344]	86
Q14584	[80, 547]	468
Q15910	[69, 94]	26
Q15910	[491, 614]	124
Q2KHN1	[6, 168]	163
Q68CJ9	[134, 235]	102
Q6ZVT6	[72, 109]	38
Q86UE6	[21, 48]	28
Q86UE6	[501, 521]	21
Q8NDC4	[123, 144]	22
Q8NDT2	[299, 327]	29
Q96EX2	[362, 388]	27
Q96GW7	[642, 711]	70
Q9BUA6	[42, 96]	55
A0A3B3IT33	[35, 137]	103
O75486	[264, 287]	24
O95069	[372, 422]	51
Q09327	[159, 176]	18
Q15813	[129, 158]	30
Q16671	[13, 33]	21
Q4G163	[625, 684]	60
Q5D0E6	[261, 282]	22
Q5UE93	[257, 277]	21
Q5W111	[0, 18]	19
Q96BZ4	[85, 110]	26
Q96BZ4	[488, 505]	18
Q96T88	[285, 382]	98
Q96T88	[400, 420]	21
Q96T88	[728, 776]	49
Q9NZT2	[61, 99]	39
Q9P244	[25, 44]	20
Q9ULH4	[0, 21]	22
A6NCL1	[0, 30]	31
A6NCL1	[271, 304]	34
O15244	[45, 125]	81
O75326	[479, 537]	59
O75460	[329, 346]	18
P07204	[22, 38]	17
P07204	[171, 477]	307
P0CH99	[122, 299]	178
P51888	[66, 96]	31
Q01850	[317, 339]	23
Q13822	[46, 162]	117
Q14314	[27, 63]	37
Q14314	[87, 105]	19
Q14314	[180, 202]	23
Q6ZN32	[203, 245]	43
Q6ZN32	[281, 308]	28
Q8NFP7	[4, 20]	17
Q8TBP0	[33, 67]	35
Q8TBP0	[362, 384]	23
Q8TBP0	[697, 725]	29
Q9BR61	[254, 275]	22
Q9HBH9	[358, 402]	45
Q9UL17	[328, 357]	30
P16471	[593, 620]	28
Q00532	[297, 355]	59
Q03923	[90, 589]	500
Q13888	[267, 394]	128
Q3YBR2	[171, 186]	16
Q3YBR2	[317, 342]	26
Q60I27	[566, 656]	91
Q8N8U9	[6, 62]	57
Q8N8U9	[527, 684]	158
Q8TEA1	[394, 424]	31
Q8WYQ5	[72, 111]	40
Q8WYQ5	[143, 164]	22
Q96P44	[404, 445]	42
Q96P44	[791, 817]	27
Q9BZQ8	[4, 29]	26
Q9BZR9	[0, 191]	192
Q9BZR9	[461, 488]	28
Q9HCL3	[163, 532]	370
Q9NSD7	[189, 211]	23
Q9UJX5	[544, 560]	17
A8MT70	[414, 437]	24
A8MT70	[576, 612]	37
O43187	[458, 509]	52
O43307	[71, 101]	31
O43572	[102, 118]	17
O75820	[135, 625]	491
P0C7V9	[0, 29]	30
P11926	[428, 460]	33
P30511	[281, 296]	16
Q53RY4	[188, 235]	48
Q63HN1	[70, 117]	48
Q6NSW7	[213, 300]	88
Q7RTS6	[428, 460]	33
Q8NB50	[136, 347]	212
Q8NB50	[358, 876]	519
Q8WWW0	[117, 218]	102
Q93084	[326, 353]	28
Q93084	[655, 678]	24
Q96CX6	[324, 341]	18
Q9BQ31	[420, 436]	17
Q9BXK1	[128, 207]	80
Q9BY15	[17, 109]	93
Q9BY15	[188, 208]	21
Q9P0L9	[59, 87]	29
Q9P2J9	[61, 76]	16
Q9UNQ0	[585, 620]	36
O14867	[130, 181]	52
O14867	[456, 476]	21
P05160	[114, 182]	69
P05160	[507, 525]	19
P14210	[109, 453]	345
P31267	[137, 162]	26
P35030	[47, 86]	40
P43694	[203, 310]	108
Q15057	[698, 713]	16
Q3SXZ3	[89, 476]	388
Q7Z2T5	[120, 144]	25
Q7Z2T5	[154, 251]	98
Q86YR6	[23, 124]	102
Q8NCT3	[191, 234]	44
Q8WTQ7	[533, 550]	18
Q96EY4	[149, 180]	32
Q96PT3	[11, 38]	28
O76015	[30, 122]	93
O76015	[407, 455]	49
O94889	[224, 277]	54
P08571	[22, 41]	20
P08571	[311, 334]	24
P35713	[321, 383]	63
P35789	[106, 618]	513
P38567	[429, 470]	42
Q304Z4	[322, 353]	32
Q6ZS27	[13, 89]	77
Q6ZS27	[197, 425]	229
Q8NE63	[374, 394]	21
Q96HD1	[128, 352]	225
Q9BU40	[27, 192]	166
Q9BV87	[255, 364]	110
Q9H9S0	[213, 300]	88
Q9HC78	[66, 94]	29
Q9HC78	[233, 258]	26
Q9NSK0	[432, 500]	69
Q9NYL9	[145, 186]	42
Q9UET6	[207, 245]	39
A2RUB1	[23, 70]	48
A2RUB1	[254, 339]	86
A2RUB1	[735, 754]	20
A3QJZ6	[122, 153]	32
O00161	[69, 95]	27
O15194	[33, 62]	30
O15305	[1, 18]	18
O60381	[180, 208]	29
P02787	[678, 697]	20
P26599	[10, 33]	24
P54764	[233, 339]	107
P85299	[215, 239]	25
Q13214	[513, 597]	85
Q15928	[101, 473]	373
Q56VL3	[114, 145]	32
Q5JR12	[105, 138]	34
Q8IWU6	[430, 516]	87
Q8IWU6	[734, 765]	32
Q8IWU6	[834, 853]	20
Q8N302	[515, 554]	40
Q96K80	[37, 170]	134
Q9H7J1	[143, 171]	29
Q9NS68	[19, 160]	142
Q9NS68	[209, 269]	61
Q9Y210	[73, 102]	30
C9JH25	[646, 672]	27
C9JH25	[684, 703]	20
C9JH25	[713, 744]	32
O95436	[296, 334]	39
O95436	[618, 649]	32
P0CI00	[119, 299]	181
Q13077	[19, 65]	47
Q13077	[103, 184]	82
Q30KQ8	[33, 102]	70
Q5TB30	[351, 393]	43
Q5TB30	[561, 587]	27
Q5VUG0	[490, 511]	22
Q5VUG0	[625, 671]	47
Q6S8J7	[16, 54]	39
Q6URK8	[185, 214]	30
Q7Z4Q2	[367, 409]	43
Q86UZ6	[420, 500]	81
Q86VK4	[211, 226]	16
Q86VK4	[266, 357]	92
Q8N1L9	[63, 101]	39
Q8N5S9	[103, 124]	22
Q96B67	[316, 345]	30
Q96CM4	[175, 190]	16
Q9BU19	[23, 38]	16
Q9BU19	[57, 120]	64
Q9BU19	[320, 465]	146
Q9GZU7	[32, 82]	51
Q9HCM9	[136, 169]	34
Q9HCX3	[49, 68]	20
Q9HCX3	[112, 641]	530
Q9UJW2	[47, 152]	106
H3BUK9	[22, 89]	68
O14901	[6, 53]	48
O14901	[208, 257]	50
O14901	[351, 481]	131
O94929	[7, 25]	19
O95704	[252, 272]	21
P22459	[162, 179]	18
P35913	[0, 58]	59
Q5JTJ3	[2, 49]	48
Q68DI1	[140, 159]	20
Q68DI1	[175, 517]	343
Q6UWB1	[37, 52]	16
Q8N9V2	[247, 267]	21
Q8N9V2	[444, 467]	24
Q8NEB7	[360, 407]	48
Q8NEB7	[478, 542]	65
Q969M2	[250, 288]	39
Q96JB3	[504, 614]	111
Q9H158	[792, 822]	31
O14544	[327, 362]	36
O14639	[44, 109]	66
O14639	[179, 342]	164
O15541	[191, 318]	128
O94844	[232, 257]	26
P18858	[873, 898]	26
P22692	[131, 148]	18
P82675	[21, 43]	23
P82675	[62, 86]	25
Q5JXM2	[139, 166]	28
Q68D06	[369, 390]	22
Q75N03	[128, 193]	66
Q86YS6	[189, 211]	23
Q8TC27	[329, 541]	213
Q8TC27	[590, 662]	73
Q8WYP3	[227, 283]	57
Q8WYQ9	[108, 131]	24
Q8WYQ9	[778, 818]	41
Q9H013	[160, 191]	32
Q9H013	[335, 681]	347
Q9H093	[336, 351]	16
Q9H093	[598, 627]	30
Q9HBT6	[585, 610]	26
Q9NQX0	[161, 252]	92
Q9NQX0	[385, 416]	32
Q9NQX0	[484, 582]	99
A4D2B8	[1, 29]	29
A4D2B8	[369, 404]	36
P02790	[425, 461]	37
P16871	[273, 327]	55
P21453	[324, 340]	17
P26010	[469, 680]	212
P51784	[20, 47]	28
P98168	[285, 584]	300
Q14168	[320, 344]	25
Q147U1	[169, 297]	129
Q147U1	[380, 532]	153
Q17RN3	[20, 36]	17
Q5T7W0	[148, 222]	75
Q5T7W0	[245, 280]	36
Q8N4L1	[361, 384]	24
Q9BWF3	[140, 195]	56
Q9H9P5	[27, 160]	134
Q9H9P5	[184, 324]	141
Q9NYJ7	[170, 255]	86
Q9NYJ7	[265, 468]	204
Q9NZC4	[152, 182]	31
Q9UBN6	[88, 175]	88
Q9UHC7	[52, 113]	62
Q9UHC7	[205, 343]	139
Q9UKT9	[97, 272]	176
O15156	[143, 167]	25
O15156	[341, 465]	125
O15287	[336, 352]	17
O94806	[542, 557]	16
P18433	[228, 273]	46
Q01954	[30, 71]	42
Q01954	[198, 213]	16
Q01954	[349, 408]	60
Q01954	[661, 778]	118
Q01954	[899, 975]	77
Q13772	[173, 222]	50
Q13772	[320, 435]	116
Q13772	[575, 591]	17
Q50LG9	[342, 361]	20
Q5JVG2	[167, 811]	645
Q6ZN11	[112, 399]	288
Q7RTS3	[44, 70]	27
Q8IXQ8	[243, 263]	21
Q8N103	[26, 50]	25
Q8N8U3	[370, 394]	25
Q8N8U3	[426, 471]	46
Q8NAG6	[114, 136]	23
Q8NHY6	[377, 832]	456
Q8TB24	[37, 52]	16
Q8TB24	[205, 246]	42
Q92800	[284, 364]	81
Q92800	[495, 612]	118
Q96NS1	[8, 44]	37
Q9C040	[28, 167]	140
Q9H1B5	[161, 223]	63
Q9H1B5	[804, 830]	27
Q9HCH3	[11, 30]	20
Q9NRS4	[64, 106]	43
Q9P104	[11, 43]	33
Q15466	[20, 56]	37
Q7RTM1	[461, 479]	19
Q86V20	[57, 93]	37
Q86V20	[122, 235]	114
Q86V20	[349, 397]	49
Q8IXZ2	[650, 800]	151
Q8NEG5	[136, 280]	145
Q8NEG5	[444, 556]	113
Q8NEG5	[567, 616]	50
Q8TC21	[180, 500]	321
Q8TE54	[12, 36]	25
Q96QE2	[421, 488]	68
Q9BZL4	[279, 310]	32
Q9NPF2	[39, 68]	30
Q9NPF2	[79, 105]	27
Q9UM63	[0, 172]	173
Q9UM63	[184, 219]	36
Q9Y606	[129, 147]	19
A0AUZ9	[94, 112]	19
A0AUZ9	[130, 227]	98
A0AUZ9	[269, 301]	33
P09544	[29, 56]	28
P50747	[101, 131]	31
Q02241	[19, 37]	19
Q02241	[438, 463]	26
Q02241	[763, 799]	37
Q3V5L5	[145, 167]	23
Q5FWF6	[159, 423]	265
Q6ZNH5	[100, 493]	394
Q6ZWE6	[57, 128]	72
Q6ZWE6	[507, 539]	33
Q8N988	[85, 422]	338
Q96EH3	[32, 60]	29
Q96HQ0	[95, 130]	36
Q96HQ0	[193, 507]	315
Q96LC7	[386, 491]	106
Q9BWW7	[202, 327]	126
Q9UMQ6	[61, 95]	35
Q9Y4C8	[67, 84]	18
O00622	[18, 172]	155
O00622	[184, 375]	192
P04003	[281, 310]	30
P04003	[323, 455]	133
P04003	[467, 581]	115
P0CW18	[336, 395]	60
P13224	[27, 46]	20
P51811	[392, 408]	17
P78314	[456, 481]	26
Q15650	[148, 251]	104
Q15650	[545, 563]	19
Q6ZMY9	[86, 102]	17
Q6ZMY9	[171, 338]	168
Q6ZMY9	[366, 478]	113
Q7L0R7	[336, 383]	48
Q86TJ5	[82, 107]	26
Q86TJ5	[228, 537]	310
Q86WR6	[138, 180]	43
Q8IVW1	[96, 118]	23
Q8IZC4	[77, 100]	24
Q8N3C7	[680, 704]	25
A6NEQ0	[418, 460]	43
O00444	[575, 602]	28
O75444	[29, 51]	23
P13798	[14, 33]	20
P17031	[150, 322]	173
P17031	[353, 532]	180
P36551	[116, 151]	36
Q08AI8	[93, 142]	50
Q09019	[117, 157]	41
Q155Q3	[147, 200]	54
Q5RL73	[161, 217]	57
Q70EL2	[170, 189]	20
Q7Z6M1	[339, 371]	33
Q8N8Z8	[64, 692]	629
Q8NHS4	[138, 173]	36
Q92870	[391, 430]	40
Q92870	[553, 574]	22
Q96EG3	[261, 523]	263
Q96JF6	[114, 735]	622
Q96JF6	[752, 795]	44
Q96KR6	[35, 53]	19
Q96QH8	[139, 158]	20
Q9H4D5	[216, 241]	26
Q9HA77	[518, 545]	28
Q9UHK0	[162, 215]	54
A8MUZ8	[117, 299]	183
O94769	[60, 172]	113
O94769	[315, 345]	31
O95631	[251, 489]	239
P17032	[91, 115]	25
P17032	[169, 553]	385
Q1EHB4	[464, 485]	22
Q2L4Q9	[529, 552]	24
Q496Y0	[338, 360]	23
Q6UW56	[3, 35]	33
Q6ZNE9	[509, 570]	62
Q7L0Y3	[62, 90]	29
Q7Z3D6	[50, 70]	21
Q7Z3V5	[72, 317]	246
Q7Z3V5	[468, 608]	141
Q86T24	[405, 433]	29
Q8N554	[173, 190]	18
Q8N554	[422, 476]	55
Q8N554	[503, 577]	75
Q8NC60	[140, 181]	42
Q8TCV5	[34, 138]	105
Q96JP5	[308, 467]	160
Q96JP5	[491, 541]	51
Q9BT17	[0, 19]	20
Q9NS98	[96, 113]	18
Q9NS98	[160, 179]	20
Q9NS98	[521, 587]	67
Q9NS98	[724, 764]	41
A6NJR5	[96, 122]	27
A8MVM7	[557, 584]	28
P21128	[9, 154]	146
Q14940	[562, 581]	20
Q14940	[597, 652]	56
Q16828	[143, 169]	27
Q7Z418	[197, 261]	65
Q8N7R0	[140, 227]	88
Q8WWR8	[463, 482]	20
Q92551	[20, 101]	82
Q96BN2	[229, 263]	35
Q9BYE2	[192, 224]	33
Q9BYG4	[101, 130]	30
Q9HBL6	[11, 52]	42
B7Z6K7	[48, 169]	122
B7Z6K7	[199, 854]	656
O00217	[98, 209]	112
O00327	[221, 314]	94
O75529	[2, 72]	71
O75529	[314, 335]	22
P01225	[0, 27]	28
P23497	[668, 717]	50
P40126	[10, 129]	120
Q13608	[138, 160]	23
Q13608	[648, 671]	24
Q3SYG4	[813, 831]	19
Q8IXF0	[20, 45]	26
Q8N635	[344, 367]	24
Q93015	[63, 95]	33
Q96B97	[90, 115]	26
Q9H2F5	[517, 553]	37
Q9HCK0	[318, 388]	71
Q9NUP7	[9, 94]	86
Q9UL40	[62, 264]	203
A0A1B0GTH9	[0, 42]	43
A0A7P0TAN4	[199, 640]	442
O00337	[614, 648]	35
O60260	[314, 464]	151
P06865	[513, 528]	16
P21754	[292, 335]	44
P28799	[12, 182]	171
P28799	[203, 340]	138
P28799	[437, 584]	148
P35414	[312, 332]	21
Q06587	[8, 109]	102
Q495A1	[214, 243]	30
Q6B0I6	[1, 21]	21
Q6GPH4	[0, 187]	188
Q6ZMV8	[110, 383]	274
Q6ZMV8	[397, 502]	106
Q92520	[44, 70]	27
Q96AX2	[203, 222]	20
Q96H40	[111, 180]	70
Q96H40	[199, 462]	264
Q96MC4	[0, 32]	33
Q96RS6	[380, 426]	47
Q9NTN9	[89, 117]	29
Q9NTN9	[513, 581]	69
Q9Y2G0	[0, 17]	18
Q9Y2G0	[801, 816]	16
Q9Y473	[237, 457]	221
A0A1W2PPM1	[92, 127]	36
A0A1W2PPM1	[262, 323]	62
A6NI47	[86, 124]	39
C9JN71	[102, 530]	429
O14836	[29, 114]	86
O60296	[634, 688]	55
P0DPK3	[19, 269]	251
P33402	[123, 149]	27
Q13398	[198, 563]	366
Q13474	[635, 667]	33
Q14393	[47, 285]	239
Q5T5J6	[543, 568]	26
Q6UX06	[82, 104]	23
Q8IZ83	[514, 535]	22
Q8N4W9	[228, 902]	675
Q8NAT2	[727, 762]	36
Q96LW9	[149, 177]	29
Q96LW9	[239, 404]	166
Q96NL0	[31, 56]	26
Q9H0D6	[251, 294]	44
Q9HCJ3	[612, 687]	76
Q9UBJ2	[55, 85]	31
A0A0A6YYL3	[22, 89]	68
O15146	[99, 123]	25
O95376	[124, 141]	18
O95376	[233, 348]	116
O95388	[39, 264]	226
P02765	[128, 155]	28
P13497	[304, 337]	34
P13497	[690, 787]	98
P54753	[262, 351]	90
Q15166	[33, 49]	17
Q5T3J3	[3, 26]	24
Q5U651	[409, 473]	65
Q5U651	[492, 524]	33
Q6H8Q1	[15, 30]	16
Q6H8Q1	[120, 163]	44
Q6H8Q1	[250, 275]	26
Q6PDB4	[105, 142]	38
Q6PDB4	[184, 575]	392
Q6ZTR7	[276, 303]	28
Q8NC67	[382, 433]	52
Q8NCS7	[186, 209]	24
Q8NDW4	[148, 179]	32
Q8NDW4	[216, 239]	24
Q8NDW4	[351, 575]	225
Q8NFJ8	[346, 380]	35
Q9UGI8	[7, 57]	51
Q9UP79	[116, 133]	18
Q9UP79	[421, 604]	184
Q9UPM6	[305, 362]	58
Q9Y2Q1	[54, 82]	29
Q9Y2Q1	[103, 561]	459
A0A8I5KTY6	[33, 268]	236
O14763	[82, 181]	100
O15205	[0, 20]	21
O15355	[5, 45]	41
O15355	[483, 521]	39
O95400	[224, 245]	22
O95841	[257, 280]	24
Q02108	[637, 671]	35
Q05048	[75, 104]	30
Q17RS7	[241, 329]	89
Q17RS7	[628, 662]	35
Q17RS7	[675, 706]	32
Q495Y8	[135, 159]	25
Q6A163	[6, 84]	79
Q6A163	[415, 490]	76
Q6FI81	[237, 306]	70
Q6NSI1	[5, 88]	84
Q8N587	[131, 159]	29
Q8N587	[230, 485]	256
Q8N967	[242, 259]	18
Q96MU6	[13, 35]	23
Q96MU6	[128, 728]	601
Q9BWX5	[162, 280]	119
Q9NZL4	[327, 358]	32
Q9UBT6	[576, 662]	87
Q9UBT6	[755, 812]	58
Q9ULC8	[225, 265]	41
Q9Y2I2	[299, 508]	210
Q9Y2W3	[357, 386]	30
O95886	[309, 344]	36
O95886	[452, 517]	66
O95965	[46, 493]	448
P49848	[442, 476]	35
P81408	[278, 361]	84
P81408	[506, 540]	35
P82673	[91, 121]	31
Q01201	[276, 320]	45
Q08752	[177, 193]	17
Q15785	[34, 75]	42
Q6ZMZ0	[118, 175]	58
Q6ZN55	[58, 103]	46
Q6ZN55	[121, 156]	36
Q6ZN55	[202, 234]	33
Q6ZN55	[303, 411]	109
Q6ZN55	[463, 680]	218
Q6ZN55	[739, 842]	104
Q86Y25	[202, 378]	177
Q86Y25	[405, 525]	121
Q8NF37	[495, 522]	28
Q8TD10	[67, 118]	52
Q96GZ6	[445, 477]	33
Q9BZR6	[23, 52]	30
Q9BZR6	[291, 315]	25
Q9H609	[27, 84]	58
Q9H609	[108, 169]	62
Q9Y272	[257, 280]	24
O00341	[480, 524]	45
O14649	[311, 333]	23
O43824	[88, 115]	28
P10074	[289, 584]	296
P17014	[103, 203]	101
P17014	[257, 445]	189
P17014	[458, 473]	16
P17014	[485, 612]	128
P17014	[624, 696]	73
P55822	[9, 45]	37
P57076	[71, 95]	25
Q08AE8	[601, 635]	35
Q08AE8	[687, 729]	43
Q7RTT9	[495, 529]	35
Q8NBP7	[51, 72]	22
Q8NBP7	[467, 691]	225
Q8TBC5	[408, 464]	57
Q96LX7	[10, 32]	23
Q96Q27	[504, 520]	17
Q99941	[637, 657]	21
Q9H511	[585, 618]	34
Q9NS73	[170, 222]	53
Q9Y5F7	[762, 781]	20
A6NDE4	[418, 458]	41
O43309	[263, 606]	344
P00747	[140, 357]	218
P22079	[687, 711]	25
P32239	[389, 412]	24
P42892	[92, 117]	26
P55809	[18, 36]	19
P55809	[502, 519]	18
P80370	[17, 287]	271
Q03403	[25, 128]	104
Q6P3R8	[519, 543]	25
Q6P3R8	[610, 647]	38
Q6UXH9	[15, 103]	89
Q7Z3F1	[610, 653]	44
Q8IWY8	[641, 848]	208
Q8N2W9	[398, 423]	26
Q8TCJ0	[0, 55]	56
Q96HU1	[444, 493]	50
Q96N77	[241, 346]	106
Q96N77	[366, 425]	60
Q9BQS2	[129, 147]	19
Q9H0R6	[0, 18]	19
Q9NWS1	[408, 470]	63
Q9UDY6	[245, 285]	41
Q9UHJ3	[365, 392]	28
Q9UHJ3	[596, 668]	73
Q9UHR6	[0, 68]	69
A6NHR8	[180, 231]	52
O43506	[418, 665]	248
P0CG32	[259, 274]	16
P0CG32	[344, 382]	39
P16389	[20, 35]	16
P36941	[40, 180]	141
P54278	[203, 225]	23
P54687	[0, 26]	27
Q6NUI2	[39, 60]	22
Q8NI29	[81, 117]	37
Q9H9E1	[66, 115]	50
O14920	[0, 23]	24
P09958	[575, 670]	96
P13639	[559, 619]	61
P16452	[397, 448]	52
P55072	[181, 206]	26
Q13137	[137, 158]	22
Q13137	[392, 445]	54
Q1X8D7	[396, 412]	17
Q1X8D7	[567, 588]	22
Q6UWF7	[280, 325]	46
Q7Z6J0	[127, 147]	21
Q7Z6J0	[818, 845]	28
Q8N1G4	[426, 482]	57
Q8N456	[207, 249]	43
Q8NAP8	[180, 208]	29
Q8NAP8	[339, 436]	98
Q8TAM2	[14, 41]	28
Q969N4	[0, 26]	27
Q96A47	[2, 30]	29
Q96AC1	[401, 428]	28
Q96NL3	[247, 587]	341
Q9BR26	[472, 527]	56
Q9BTN0	[31, 47]	17
Q9P107	[491, 524]	34
Q9Y215	[296, 314]	19
Q9Y215	[347, 454]	108
Q9Y6M9	[75, 109]	35
Q9Y6Q2	[218, 269]	52
Q07021	[57, 88]	32
Q7Z402	[465, 485]	21
Q7Z6M3	[13, 38]	26
Q7Z6M3	[316, 342]	27
Q86XS8	[251, 267]	17
Q86Y33	[144, 207]	64
Q8IUZ5	[2, 29]	28
Q8N9Y4	[307, 328]	22
Q8NB91	[426, 463]	38
Q8TB22	[234, 249]	16
Q8WY41	[127, 165]	39
Q92832	[259, 809]	551
Q96GX5	[212, 253]	42
Q96GX5	[331, 484]	154
Q9BTX7	[302, 341]	40
Q9HCU0	[24, 39]	16
Q9HCU0	[154, 344]	191
Q9NZQ9	[146, 178]	33
Q9UKD1	[167, 193]	27
Q9UKD1	[205, 230]	26
Q9Y2N7	[143, 223]	81
O00292	[239, 261]	23
O14786	[577, 633]	57
O95263	[104, 120]	17
O95263	[364, 389]	26
P04070	[84, 193]	110
P20591	[32, 50]	19
P48060	[9, 25]	17
P48060	[182, 216]	35
Q14574	[658, 684]	27
Q5T7N3	[744, 770]	27
Q6P3X8	[556, 591]	36
Q8IWD4	[85, 157]	73
Q8TDF5	[381, 431]	51
Q8WXD0	[37, 139]	103
Q96GX9	[0, 27]	28
Q96I82	[36, 172]	137
Q9H4F8	[30, 149]	120
Q9NZU0	[20, 38]	19
Q9P126	[85, 100]	16
Q9Y5G4	[767, 802]	36
O60688	[2, 36]	35
P78549	[278, 303]	26
Q15637	[250, 275]	26
Q53RE8	[165, 182]	18
Q5TA31	[0, 135]	136
Q5XUX1	[424, 443]	20
Q6NUN9	[507, 585]	79
Q6P1K8	[267, 394]	128
Q8IZE3	[418, 493]	76
Q8NAM6	[303, 421]	119
Q8TC41	[239, 265]	27
Q8TC41	[344, 474]	131
Q8TE02	[157, 204]	48
Q8TF50	[43, 78]	36
Q8TF50	[110, 161]	52
Q8TF50	[303, 409]	107
Q8TF50	[469, 552]	84
Q8TF50	[570, 593]	24
Q8TF50	[622, 658]	37
Q92581	[585, 618]	34
Q969Q5	[185, 202]	18
Q96CW5	[3, 19]	17
