Accession_number	Region	Region_length
Q9Y252	[658, 684]	27
O14792	[258, 276]	19
O43291	[66, 98]	33
O43291	[121, 196]	76
P01036	[84, 139]	56
P20155	[29, 83]	55
Q0VG06	[485, 512]	28
Q0VG06	[588, 702]	115
Q12918	[173, 224]	52
Q13115	[36, 64]	29
Q5VWM6	[446, 473]	28
Q6S9Z5	[159, 188]	30
Q6S9Z5	[280, 309]	30
Q8NER5	[15, 41]	27
Q8NER5	[63, 118]	56
Q8NHL6	[379, 410]	32
Q8TDY4	[341, 371]	31
Q8TDY4	[426, 452]	27
Q96SZ5	[172, 265]	94
Q9H6E5	[5, 45]	41
Q9UBS8	[307, 357]	51
A6NI73	[51, 85]	35
C9JVI0	[79, 131]	53
D6RBQ6	[79, 131]	53
O15528	[103, 125]	23
P07327	[92, 130]	39
P0C7U3	[108, 156]	49
P25398	[96, 124]	29
Q08357	[369, 449]	81
Q5VW22	[437, 492]	56
Q8WUX1	[231, 248]	18
Q96CS7	[33, 72]	40
Q9BWU0	[311, 347]	37
Q9H8J5	[39, 145]	107
Q9NQR9	[90, 116]	27
Q9NRR2	[181, 265]	85
Q9UKG1	[303, 389]	87
Q9UL18	[272, 341]	70
Q9UL18	[353, 368]	16
A0A1B0GTH6	[406, 512]	107
A0A5A2	[97, 113]	17
O00548	[31, 70]	40
O00755	[123, 141]	19
O00755	[195, 223]	29
O00755	[240, 348]	109
O43526	[520, 535]	16
O43866	[57, 157]	101
O43866	[169, 246]	78
O43866	[264, 346]	83
P01871	[65, 120]	56
P01871	[273, 336]	64
P13726	[219, 242]	24
P49407	[125, 149]	25
Q13117	[189, 212]	24
Q15139	[180, 199]	20
Q15139	[287, 328]	42
Q15910	[272, 338]	67
Q86XK2	[850, 903]	54
Q8IU81	[0, 40]	41
Q8IU81	[493, 583]	91
Q8N684	[375, 405]	31
Q96GW7	[847, 869]	23
Q9BYD5	[0, 74]	75
Q9UBX7	[166, 266]	101
A6NFC5	[56, 77]	22
A8MUK1	[79, 131]	53
O75534	[103, 124]	22
P22304	[154, 185]	32
P40855	[209, 241]	33
Q01973	[58, 84]	27
Q01973	[210, 253]	44
Q01973	[273, 394]	122
Q15116	[122, 139]	18
Q15661	[209, 229]	21
Q16671	[68, 123]	56
Q5UE93	[618, 650]	33
Q7RTY5	[200, 227]	28
Q86YW7	[24, 129]	106
Q8NBT3	[124, 145]	22
Q96SM3	[150, 172]	23
Q96T88	[480, 546]	67
Q9H8X2	[287, 315]	29
Q9NRX5	[3, 30]	28
Q9P244	[366, 394]	29
O75326	[552, 626]	75
O94956	[472, 507]	36
O95156	[178, 208]	31
P04216	[104, 123]	20
P09543	[405, 420]	16
P15289	[156, 181]	26
P15289	[402, 442]	41
P15289	[472, 505]	34
P48067	[225, 249]	25
Q13822	[776, 806]	31
Q16515	[318, 378]	61
Q7Z4I7	[0, 35]	36
Q7Z4I7	[117, 201]	85
Q9HBH9	[211, 234]	24
Q9HBH9	[299, 316]	18
O00748	[79, 95]	17
P01733	[93, 109]	17
P50151	[32, 63]	32
Q15283	[724, 753]	30
Q16790	[161, 183]	23
Q3YBR2	[240, 264]	25
Q6IPT4	[16, 43]	28
Q8WVN8	[35, 55]	21
Q8WYQ5	[649, 671]	23
Q96FL9	[516, 551]	36
Q99784	[52, 101]	50
Q99784	[220, 244]	25
Q9BZQ8	[103, 131]	29
Q9UHA3	[0, 44]	45
Q9UI42	[236, 281]	46
Q9Y5L4	[38, 82]	45
A8MT70	[109, 161]	53
C9JJH3	[80, 123]	44
O95800	[293, 311]	19
O95868	[12, 118]	107
P01034	[99, 123]	25
P01178	[9, 124]	116
P09603	[161, 189]	29
P30511	[107, 134]	28
P51693	[56, 215]	160
Q14953	[131, 211]	81
Q53RY4	[133, 156]	24
Q63HN1	[269, 285]	17
Q7RTS6	[211, 228]	18
Q8WWB7	[239, 259]	21
Q8WWB7	[286, 308]	23
Q93052	[397, 462]	66
Q93052	[532, 548]	17
Q93052	[568, 595]	28
Q93084	[484, 549]	66
Q93084	[559, 577]	19
Q9H0W7	[26, 101]	76
Q9P055	[0, 54]	55
O14867	[522, 549]	28
O43189	[90, 145]	56
O95644	[670, 705]	36
P01699	[27, 47]	21
P01699	[57, 88]	32
P05160	[39, 96]	58
P05160	[261, 353]	93
P14210	[55, 94]	40
P14210	[645, 680]	36
P30566	[285, 300]	16
P35030	[251, 271]	21
Q15057	[395, 427]	33
Q15437	[50, 73]	24
Q6NUS6	[90, 109]	20
Q7Z2T5	[502, 524]	23
Q7Z5L0	[140, 201]	62
Q8IVF6	[935, 991]	57
Q8WTQ7	[98, 144]	47
Q8WTU2	[110, 139]	30
Q8WTU2	[268, 306]	39
Q8WTU2	[378, 452]	75
Q8WTU2	[509, 568]	60
Q9BX93	[55, 134]	80
Q9BX93	[174, 194]	21
Q9ULV1	[117, 169]	53
A1L157	[183, 200]	18
O43240	[155, 181]	27
O43240	[222, 245]	24
O76031	[99, 119]	21
P01730	[143, 165]	23
P0C7I0	[80, 128]	49
P14618	[341, 366]	26
P49207	[46, 91]	46
P51861	[120, 161]	42
P56277	[0, 60]	61
Q5TEJ8	[344, 389]	46
Q6UYE1	[122, 158]	37
Q8TCX5	[284, 303]	20
Q96D21	[129, 152]	24
Q96HD1	[38, 69]	32
Q96LD1	[152, 186]	35
Q96LD1	[209, 298]	90
Q9BU40	[246, 360]	115
Q9HC78	[571, 597]	27
Q9HC78	[671, 687]	17
Q9HC78	[705, 740]	36
Q9NR21	[44, 75]	32
Q9UI36	[253, 278]	26
A2RUB1	[863, 887]	25
A3QJZ6	[448, 478]	31
A6NH00	[290, 311]	22
A6NKQ9	[52, 71]	20
A6NKQ9	[121, 156]	36
O15117	[503, 534]	32
O15117	[766, 782]	17
P02787	[20, 43]	24
P02787	[501, 520]	20
P02787	[590, 646]	57
P10589	[79, 154]	76
P54764	[351, 391]	41
Q5T2Q4	[0, 137]	138
Q6P5X7	[20, 70]	51
Q8IWU6	[609, 646]	38
Q8N302	[226, 258]	33
Q96HD9	[42, 72]	31
Q96LA6	[258, 294]	37
Q9UHF5	[83, 142]	60
Q9UK28	[60, 142]	83
Q9UNK4	[38, 107]	70
Q9Y210	[249, 277]	29
O95757	[759, 783]	25
P04198	[106, 130]	25
P14415	[118, 168]	51
P28702	[195, 276]	82
Q13077	[372, 415]	44
Q2VIR3	[91, 117]	27
Q5TYX0	[447, 475]	29
Q6NZ36	[149, 178]	30
Q6URK8	[33, 81]	49
Q6ZUB0	[92, 148]	57
Q7Z4Q2	[44, 116]	73
Q8WWN9	[31, 57]	27
Q92484	[59, 74]	16
Q96GX1	[170, 200]	31
Q96LA5	[259, 280]	22
Q96LA5	[349, 389]	41
Q99963	[285, 316]	32
Q9UJW2	[259, 319]	61
Q9UJW2	[339, 361]	23
Q9Y698	[39, 83]	45
O94929	[103, 169]	67
O94929	[203, 272]	70
O94929	[289, 348]	60
O95704	[138, 161]	24
P23759	[44, 97]	54
P37088	[371, 409]	39
P43652	[75, 133]	59
P43652	[259, 353]	95
P43652	[483, 537]	55
P43652	[572, 595]	24
P81274	[484, 509]	26
P81274	[585, 612]	28
Q10472	[519, 558]	40
Q15834	[69, 98]	30
Q3LI59	[0, 42]	43
Q8N9V2	[34, 64]	31
Q8NEB7	[98, 134]	37
Q8TE12	[116, 151]	36
Q96CA5	[247, 297]	51
Q96HI0	[174, 233]	60
Q99988	[201, 307]	107
Q9BYV6	[7, 91]	85
Q9BYV6	[122, 164]	43
Q9UHB9	[547, 579]	33
A0A075B6H9	[95, 118]	24
O43597	[166, 302]	137
P04733	[0, 60]	61
P09093	[207, 226]	20
P22692	[18, 117]	100
P22692	[171, 257]	87
Q6X4U4	[70, 177]	108
Q8N806	[48, 140]	93
Q8WTQ4	[233, 257]	25
Q92529	[198, 213]	16
Q96LL4	[181, 201]	21
Q9H013	[101, 121]	21
Q9NP50	[1, 70]	70
Q9NP50	[185, 200]	16
P00325	[91, 120]	30
P02790	[223, 238]	16
P16871	[30, 54]	25
P26010	[32, 94]	63
P51689	[490, 535]	46
P51784	[690, 716]	27
P60484	[285, 312]	28
P78334	[433, 474]	42
Q17RN3	[89, 109]	21
Q17RN3	[139, 158]	20
Q17RN3	[292, 315]	24
Q5VTE6	[37, 168]	132
Q5VZB9	[84, 135]	52
Q96AT9	[0, 18]	19
Q96EG1	[159, 195]	37
Q96EG1	[500, 522]	23
Q99424	[405, 421]	17
Q9BRQ0	[324, 393]	70
Q9H9P5	[629, 679]	51
Q9UHC7	[361, 401]	41
Q9Y282	[118, 195]	78
A0A075B6N4	[89, 105]	17
O94806	[189, 211]	23
O94806	[256, 329]	74
P05231	[65, 102]	38
P18433	[723, 738]	16
P55103	[309, 351]	43
P68366	[27, 54]	28
Q0P6D6	[876, 904]	29
Q15560	[125, 222]	98
Q15560	[245, 298]	54
Q8NAG6	[45, 69]	25
Q8NHY6	[249, 284]	36
Q8WXE1	[319, 345]	27
Q8WXE1	[385, 412]	28
Q8WXE1	[761, 781]	21
Q9H461	[97, 151]	55
Q9NYK6	[5, 56]	52
Q9NYK6	[116, 162]	47
Q9P1T7	[158, 245]	88
A6NL88	[75, 132]	58
P19875	[48, 93]	46
P20749	[327, 343]	17
P47944	[0, 61]	62
P48509	[146, 201]	56
P56705	[195, 241]	47
P56705	[264, 345]	82
Q01974	[233, 328]	96
Q01974	[361, 398]	38
Q5BN46	[89, 114]	26
Q86V20	[418, 446]	29
Q8N812	[24, 66]	43
Q8TAG5	[109, 141]	33
Q8TE54	[531, 567]	37
Q8WWP7	[50, 103]	54
Q9NRF2	[295, 371]	77
Q9Y3T6	[61, 77]	17
Q9Y6G9	[48, 67]	20
A0A2R8Y4M4	[26, 82]	57
A0AUZ9	[893, 929]	37
O00253	[80, 131]	52
O15198	[89, 139]	51
P08311	[112, 157]	46
P08311	[174, 233]	60
P09341	[32, 92]	61
P09544	[129, 150]	22
P09544	[278, 357]	80
P16870	[287, 327]	41
P34096	[48, 146]	99
P49862	[125, 240]	116
P80075	[24, 72]	49
Q01151	[23, 53]	31
Q02241	[189, 208]	20
Q02833	[58, 84]	27
Q15042	[645, 704]	60
Q16594	[68, 101]	34
Q3V5L5	[656, 791]	136
Q6ZWE6	[675, 760]	86
Q7LGA3	[189, 208]	20
Q8N5U0	[68, 118]	51
Q969H9	[71, 102]	32
Q96LC7	[306, 336]	31
Q9NRU3	[711, 726]	16
Q9NRU3	[761, 789]	29
A6NFH5	[109, 139]	31
O15165	[0, 55]	56
P0CW18	[215, 314]	100
P13224	[132, 153]	22
P56373	[102, 128]	27
Q11130	[63, 78]	16
Q14831	[377, 401]	25
Q14831	[514, 585]	72
Q7L0R7	[402, 431]	30
Q7Z3Y9	[75, 92]	18
Q8N3C7	[524, 548]	25
Q8N7H5	[22, 65]	44
Q8N7H5	[190, 208]	19
Q8NF86	[152, 182]	31
Q8NF86	[209, 234]	26
Q8TC05	[350, 371]	22
Q8TE76	[414, 474]	61
Q96KX2	[43, 59]	17
Q99502	[378, 395]	18
Q9BYJ0	[35, 118]	84
Q9GZT5	[146, 168]	23
Q9GZT5	[230, 296]	67
Q9GZT5	[359, 410]	52
Q9H3R1	[810, 836]	27
Q9Y6U7	[312, 335]	24
Q9Y6U7	[351, 376]	26
A8MUP6	[92, 112]	21
O14905	[131, 156]	26
O14905	[180, 246]	67
O14905	[281, 356]	76
O15547	[126, 164]	39
O60243	[116, 133]	18
O60243	[206, 234]	29
P36551	[162, 207]	46
P62736	[9, 49]	41
Q0WX57	[79, 131]	53
Q6UXV1	[149, 169]	21
Q6ZVC0	[572, 647]	76
Q70EL2	[578, 661]	84
Q9H4D5	[264, 332]	69
Q9NR50	[390, 433]	44
Q9NXF8	[119, 168]	50
O95631	[43, 116]	74
O95631	[184, 216]	33
P02679	[21, 41]	21
P02679	[151, 188]	38
P08833	[27, 89]	63
P08833	[198, 258]	61
P58215	[112, 159]	48
P58215	[263, 288]	26
P58215	[341, 417]	77
Q2L4Q9	[140, 326]	187
Q2L4Q9	[437, 485]	49
Q496Y0	[146, 204]	59
Q496Y0	[457, 522]	66
Q5T871	[19, 54]	36
Q6UW56	[146, 202]	57
Q7Z3D6	[138, 280]	143
Q9BQT9	[101, 125]	25
Q9BQT9	[673, 722]	50
Q9H8W4	[138, 228]	91
Q9UBU7	[280, 302]	23
A8MVM7	[148, 176]	29
A8MVM7	[308, 377]	70
A8MVM7	[405, 447]	43
O60262	[20, 55]	36
P21912	[88, 119]	32
P36575	[128, 148]	21
P36952	[179, 195]	17
Q0ZGT2	[651, 674]	24
Q13324	[4, 100]	97
Q7Z5A4	[259, 277]	19
Q8IV63	[0, 34]	35
Q8IYB8	[249, 278]	30
Q8TC76	[266, 285]	20
Q8WV99	[0, 73]	74
Q8WV99	[88, 141]	54
Q8WWR8	[218, 280]	63
Q92551	[227, 259]	33
Q9BYE2	[498, 515]	18
Q9UQ72	[298, 334]	37
Q9Y258	[25, 79]	55
A0A578	[90, 113]	24
O75925	[126, 168]	43
O75925	[206, 239]	34
P01225	[70, 128]	59
P04075	[121, 138]	18
P23497	[617, 658]	42
P27216	[13, 35]	23
P31997	[281, 320]	40
P42229	[372, 402]	31
Q13490	[88, 124]	37
Q13490	[589, 614]	26
Q2PZI1	[619, 654]	36
Q3SYG4	[11, 32]	22
Q5T8I3	[24, 62]	39
Q6PEX3	[17, 171]	155
Q8N5Y8	[217, 233]	17
Q96AX9	[823, 877]	55
Q96AX9	[916, 954]	39
Q9C035	[0, 82]	83
Q9H772	[68, 164]	97
Q9UKR8	[147, 199]	53
Q9Y5G0	[719, 798]	80
Q9Y5X4	[36, 119]	84
A0A1B0GTH9	[69, 107]	39
O15498	[177, 197]	21
O43567	[216, 285]	70
O60260	[153, 207]	55
P28799	[359, 422]	64
P42677	[33, 76]	44
P60201	[125, 140]	16
Q06587	[267, 302]	36
Q5VYV0	[66, 108]	43
Q6GPH4	[255, 300]	46
Q6ZVZ8	[215, 336]	122
Q96FT7	[280, 388]	109
Q96MC4	[48, 69]	22
Q96MC4	[314, 335]	22
Q96NL8	[102, 119]	18
Q96PD4	[96, 118]	23
Q9NTN9	[367, 388]	22
O60296	[512, 553]	42
O60711	[128, 201]	74
O60826	[201, 225]	25
Q01740	[12, 41]	30
Q15784	[189, 226]	38
Q15784	[260, 320]	61
Q53F39	[210, 256]	47
Q6UX06	[237, 254]	18
Q6ZMV5	[479, 500]	22
Q8IZ83	[42, 69]	28
Q8WXF3	[106, 141]	36
Q92629	[195, 224]	30
Q92629	[262, 288]	27
Q96P09	[204, 235]	32
Q9H0D6	[14, 42]	29
Q9H2A7	[102, 119]	18
Q9H9L3	[175, 200]	26
Q9HCC8	[219, 253]	35
Q9NPG8	[145, 171]	27
Q9NRA1	[275, 344]	70
Q9P2E5	[371, 405]	35
Q9P2E5	[665, 680]	16
Q9UBF6	[39, 96]	58
Q9Y2J0	[82, 147]	66
Q9Y2J0	[407, 439]	33
Q9Y2X0	[743, 843]	101
Q9Y5R6	[77, 114]	38
O15146	[424, 455]	32
O15146	[680, 696]	17
O95376	[166, 199]	34
O95388	[333, 363]	31
P00995	[21, 78]	58
P02765	[179, 254]	76
P0C672	[159, 186]	28
P13497	[546, 599]	54
P54753	[365, 400]	36
Q02643	[0, 111]	112
Q5JRM2	[336, 356]	21
Q5JTZ5	[78, 99]	22
Q5T3J3	[593, 618]	26
Q5U651	[183, 221]	39
Q6Q8B3	[191, 220]	30
Q6X784	[275, 326]	52
Q86VE9	[338, 372]	35
Q8IVJ1	[375, 401]	27
Q8NC67	[301, 335]	35
Q8NCS7	[411, 426]	16
Q96HF1	[104, 192]	89
Q9H334	[305, 332]	28
Q9H4B4	[49, 100]	52
Q9HC96	[343, 360]	18
Q9UGC7	[260, 277]	18
Q9UGI8	[226, 255]	30
Q9UGI8	[392, 408]	17
Q9UP79	[323, 356]	34
Q9UP79	[367, 386]	20
Q9UP79	[651, 698]	48
Q9UP79	[840, 867]	28
Q9UPM6	[98, 121]	24
O00213	[363, 411]	49
O00213	[655, 672]	18
O15355	[351, 369]	19
O75689	[8, 26]	19
P04628	[75, 117]	43
P04628	[129, 160]	32
P04628	[210, 235]	26
P04628	[249, 369]	121
P31512	[5, 41]	37
P51793	[406, 421]	16
P58062	[28, 84]	57
Q05048	[121, 144]	24
Q05048	[411, 430]	20
Q13133	[91, 174]	84
Q7LDG7	[518, 555]	38
Q86X45	[361, 388]	28
Q8N967	[27, 62]	36
Q8WY36	[81, 101]	21
Q9NQT4	[22, 49]	28
Q9NR71	[347, 392]	46
Q9NZL4	[79, 130]	52
Q9UBT6	[312, 334]	23
Q9UKI3	[83, 122]	40
Q9ULC8	[100, 139]	40
Q9Y2I2	[57, 104]	48
A0A0B4J240	[93, 113]	21
O60941	[243, 284]	42
O95232	[15, 58]	44
P10275	[518, 636]	119
P42226	[337, 360]	24
P81408	[118, 156]	39
P81534	[28, 57]	30
Q01201	[115, 155]	41
Q01201	[183, 230]	48
Q13939	[539, 587]	49
Q5H913	[157, 172]	16
Q6B9Z1	[65, 119]	55
Q6UWE0	[667, 722]	56
Q6ZMZ0	[195, 264]	70
Q6ZMZ0	[285, 315]	31
Q86U70	[256, 282]	27
Q8TCZ2	[206, 243]	38
Q99661	[528, 613]	86
Q9UHD1	[13, 64]	52
Q9UHD1	[153, 171]	19
O43609	[168, 302]	135
O75603	[66, 160]	95
P01599	[30, 57]	28
P07288	[192, 247]	56
Q08708	[34, 74]	41
Q08AE8	[60, 101]	42
Q52LD8	[159, 182]	24
Q6P988	[417, 478]	62
Q86W47	[56, 136]	81
Q8N6S4	[429, 449]	21
Q8NBP7	[213, 245]	33
Q96LX7	[431, 472]	42
Q9H0A6	[113, 182]	70
Q9H0A6	[281, 361]	81
Q9H2Y9	[541, 622]	82
Q9UGN4	[24, 40]	17
A0AAG2TU59	[0, 40]	41
K9M1U5	[28, 43]	16
O75676	[400, 435]	36
P00747	[29, 63]	35
P00747	[401, 460]	60
P00747	[515, 588]	74
P00747	[740, 763]	24
P00973	[49, 65]	17
P22079	[103, 181]	79
P22079	[231, 293]	63
P22079	[304, 371]	68
P27815	[221, 249]	29
P37108	[24, 75]	52
P42892	[726, 760]	35
Q13111	[799, 840]	42
Q17RY6	[34, 65]	32
Q6UXH9	[238, 300]	63
Q6UXH9	[317, 358]	42
Q6UXH9	[377, 446]	70
Q6UXH9	[629, 660]	32
Q6ZVN7	[95, 127]	33
Q7Z6J4	[448, 500]	53
Q8IWY8	[466, 492]	27
Q8N2W9	[204, 231]	28
Q8NA58	[327, 344]	18
Q9UDY6	[2, 76]	75
Q9UDY6	[93, 121]	29
A0A1B0GX31	[93, 114]	22
A6NKU9	[484, 505]	22
O43610	[141, 269]	129
O75317	[166, 245]	80
P22681	[375, 436]	62
P28068	[91, 116]	26
P34130	[90, 146]	57
P34130	[160, 178]	19
P39877	[43, 89]	47
P41222	[49, 74]	26
P49591	[50, 68]	19
Q02156	[272, 309]	38
Q13562	[166, 198]	33
Q5JPI3	[0, 26]	27
Q5TF58	[459, 479]	21
Q6NUI2	[634, 652]	19
Q7Z6J8	[180, 219]	40
Q8NHW4	[26, 53]	28
Q8WXI9	[405, 462]	58
Q96DY7	[627, 692]	66
Q9BZP6	[429, 474]	46
Q9H063	[11, 58]	48
Q9H4K7	[83, 103]	21
Q9UKP3	[0, 65]	66
Q9UKP3	[158, 207]	50
Q9UKR0	[122, 143]	22
Q9UKR0	[172, 225]	54
D6RJB6	[79, 131]	53
O60383	[371, 398]	28
O60383	[418, 434]	17
P09958	[179, 203]	25
P09958	[338, 371]	34
P0C7P4	[60, 79]	20
P0DN87	[21, 41]	21
P0DN87	[92, 126]	35
Q15018	[0, 21]	22
Q52MB2	[62, 95]	34
Q5SW24	[240, 256]	17
Q7Z6J0	[0, 67]	68
Q8IUG1	[0, 82]	83
Q8IUG1	[110, 166]	57
Q8WYQ3	[101, 141]	41
Q96A47	[61, 77]	17
Q96A47	[114, 148]	35
Q96FV3	[170, 203]	34
Q96MH7	[154, 238]	85
Q96NL3	[191, 233]	43
Q9BTN0	[294, 351]	58
Q9Y4R8	[506, 523]	18
Q9Y6Q2	[677, 734]	58
A0A1B0GX78	[93, 109]	17
A6NN90	[259, 285]	27
O43583	[22, 66]	45
Q07021	[181, 200]	20
Q12800	[221, 239]	19
Q7Z6M3	[99, 118]	20
Q8N7C7	[289, 304]	16
Q8NB91	[547, 575]	29
Q8WY41	[235, 267]	33
Q8WZ73	[33, 97]	65
Q8WZ73	[304, 356]	53
Q92876	[122, 145]	24
Q92876	[170, 232]	63
Q9BUN1	[200, 276]	77
Q9C0B1	[162, 187]	26
Q9C0B1	[339, 357]	19
Q9C0B1	[454, 493]	40
Q9H479	[133, 151]	19
Q9HCU0	[77, 143]	67
Q9NXW2	[350, 374]	25
O00292	[286, 340]	55
O14786	[277, 308]	32
O15303	[511, 571]	61
O60477	[254, 276]	23
O60477	[402, 476]	75
O95263	[745, 766]	22
O95715	[50, 90]	41
P19320	[56, 84]	29
P19320	[480, 497]	18
P22736	[262, 338]	77
P50895	[118, 151]	34
P50895	[168, 186]	19
P56703	[131, 167]	37
P56703	[186, 228]	43
P56703	[271, 354]	84
Q14574	[797, 895]	99
Q15428	[62, 84]	23
Q16549	[218, 238]	21
Q8NB12	[60, 86]	27
Q8TDF5	[311, 331]	21
Q8TDQ1	[187, 206]	20
Q8TDQ1	[244, 261]	18
Q96GX9	[79, 94]	16
Q96L08	[64, 82]	19
Q96N03	[115, 160]	46
Q9H4F8	[216, 299]	84
Q9H4F8	[378, 433]	56
Q9NRG9	[364, 386]	23
Q9UBS5	[141, 167]	27
Q9UEW3	[493, 519]	27
A0A1W2PQJ5	[11, 27]	17
A0A1W2PQJ5	[88, 174]	87
O43707	[881, 910]	30
O95628	[5, 68]	64
P11387	[490, 507]	18
P47224	[16, 42]	27
P55036	[0, 23]	24
P80098	[24, 69]	46
Q15797	[62, 135]	74
Q53RE8	[124, 139]	16
Q6IN85	[87, 105]	19
Q6NUN9	[449, 472]	24
Q6UWN5	[62, 219]	158
Q7Z7F0	[99, 131]	33
Q8NB16	[436, 458]	23
Q8NBI3	[270, 348]	79
Q92994	[0, 38]	39
Q96L15	[28, 51]	24
Q96SJ8	[169, 189]	21
Q9C0B6	[284, 315]	32
Q9C0B6	[425, 496]	72
Q9H981	[136, 162]	27
Q9H981	[276, 300]	25
Q9UI47	[202, 267]	66
Q9Y232	[88, 113]	26
A0A0K0K1C0	[99, 114]	16
A0A1B0GTS1	[143, 183]	41
A0A804HLA8	[17, 55]	39
A8MPP1	[225, 298]	74
O60294	[129, 148]	20
O95299	[98, 116]	19
P07478	[123, 218]	96
P35625	[18, 35]	18
P43627	[166, 209]	44
P49765	[64, 126]	63
Q14117	[317, 344]	28
Q14184	[121, 169]	49
Q5MNZ6	[18, 40]	23
Q7Z3Z2	[48, 72]	25
Q86UQ0	[71, 97]	27
Q8IVL5	[78, 118]	41
Q9BXJ7	[194, 250]	57
Q9H2S5	[314, 333]	20
Q9H3U1	[25, 76]	52
Q9H714	[270, 336]	67
Q9H714	[598, 658]	61
Q9HBQ8	[23, 59]	37
Q9Y4K3	[53, 116]	64
A6NFA0	[119, 138]	20
O00139	[493, 579]	87
O76095	[48, 102]	55
P41235	[48, 132]	85
P61812	[369, 390]	22
Q14451	[102, 129]	28
Q5M9Q1	[333, 350]	18
Q6UXU4	[102, 127]	26
Q7Z699	[326, 440]	115
Q7Z6J6	[308, 329]	22
Q7Z7L1	[121, 172]	52
Q86UA6	[112, 215]	104
Q8IXT1	[13, 55]	43
Q8N4S0	[412, 435]	24
Q8N5L8	[64, 79]	16
Q92785	[6, 59]	54
Q96FE7	[22, 107]	86
Q96P64	[439, 474]	36
Q9H0F5	[482, 514]	33
Q9HA90	[131, 172]	42
Q9HA90	[576, 597]	22
Q9Y4K0	[256, 325]	70
Q9Y4K0	[370, 436]	67
Q9Y4K0	[519, 593]	75
Q9Y615	[92, 110]	19
Q9Y615	[356, 391]	36
P06734	[245, 290]	46
P0DJG4	[196, 269]	74
P0DJG4	[331, 361]	31
P0DJG4	[428, 453]	26
P21291	[0, 74]	75
P21291	[109, 188]	80
P21980	[0, 30]	31
P30307	[235, 258]	24
P55000	[9, 102]	94
Q14520	[230, 309]	80
Q14520	[489, 515]	27
Q86T75	[633, 684]	52
Q86T75	[702, 747]	46
Q8N6T0	[380, 396]	17
Q8NCL9	[251, 273]	23
Q8NCL9	[382, 397]	16
Q8NE62	[186, 205]	20
Q8NE62	[474, 550]	77
Q8WX77	[37, 138]	102
Q8WXH2	[0, 34]	35
Q96H79	[91, 129]	39
Q9BXC9	[684, 706]	23
Q9UHH9	[221, 251]	31
Q9Y678	[618, 652]	35
Q9Y678	[723, 746]	24
D3W0D1	[175, 204]	30
O14511	[216, 308]	93
O75312	[248, 309]	62
P00738	[310, 326]	17
P13500	[25, 57]	33
P18084	[18, 87]	70
P19525	[115, 152]	38
