Accession_number	Region	Domain
P50151	[32, 63]	Transducin (heterotrimeric G protein), gamma chain
Q13888	[326, 394]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q15283	[724, 745]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q16790	[161, 183]	Alpha carbonic anhydrase
Q3YBR2	[240, 264]	-
Q8TEA1	[394, 424]	Vaccinia Virus protein VP39
Q8WVN8	[35, 55]	Ubiquitin Conjugating Enzyme
Q8WYQ5	[649, 671]	-
Q96FL9	[516, 551]	-
Q96LM9	[43, 58]	Glycosyl transferase family 29
Q96P44	[404, 429]	-
Q96P44	[791, 805]	6-Phosphogluconate Dehydrogenase, domain 3
Q9BZR9	[88, 183]	Classic Zinc Finger
Q9NSD7	[189, 211]	Rhodopsin 7-helix transmembrane proteins
Q9UHA3	[1, 44]	Ribosomal protein L24e
Q9UI42	[236, 281]	Zn peptidases
Q9Y5L4	[38, 82]	Mitochondrial import inner membrane translocase subunit tim13 like domains
C9JJH3	[80, 123]	Cysteine proteinases
O43187	[458, 503]	Transferase(Phosphotransferase) domain 1
O43572	[102, 118]	Regulator of G-protein Signalling 4, domain 2
O75094	[33, 60]	Ribonuclease Inhibitor
O75094	[276, 303]	Ribonuclease Inhibitor
O75094	[457, 494]	Ribonuclease Inhibitor
O75094	[691, 718]	Ribonuclease Inhibitor
O95800	[293, 311]	Rhodopsin 7-helix transmembrane proteins
P01034	[99, 123]	-
P01178	[38, 124]	Neurohypophysial hormone domain
P09603	[161, 179]	-
P30511	[107, 134]	MHC class I-like antigen recognition-like
P30511	[281, 296]	Immunoglobulins
P51693	[56, 146]	Amyloidogenic glycoprotein, heparin-binding domain
Q13129	[1172, 1197]	Classic Zinc Finger
Q14573	[39, 71]	-
Q14573	[2401, 2456]	-
Q14573	[2470, 2485]	-
Q14953	[131, 211]	Immunoglobulins
Q5T1R4	[212, 244]	Classic Zinc Finger
Q93052	[413, 462]	Cysteine Rich Protein
Q93052	[535, 548]	Cysteine Rich Protein
Q93052	[568, 595]	Cysteine Rich Protein
Q93084	[326, 353]	Calcium-transporting ATPase, transmembrane domain
Q93084	[484, 549]	Calcium-transporting ATPase, transmembrane domain
Q93084	[559, 577]	Calcium-transporting ATPase, transmembrane domain
Q93084	[655, 678]	Calcium-transporting ATPase, transmembrane domain
Q96F81	[1130, 1138]	Multidrug efflux transporter AcrB transmembrane domain
Q9BY15	[23, 71]	Laminin
Q9BY15	[188, 208]	-
Q9H0W7	[26, 72]	THAP domain
O14867	[522, 549]	Transcription factor, Skn-1-like, DNA-binding domain
O43189	[90, 142]	Zinc/RING finger domain, C3HC4 (zinc finger)
O95644	[670, 696]	Immunoglobulins
P01699	[27, 47]	Immunoglobulins
P01699	[57, 88]	Immunoglobulins
P05023	[348, 374]	Calcium-transporting ATPase, transmembrane domain
P05160	[39, 87]	Complement Module, domain 1
P05160	[114, 148]	Complement Module, domain 1
P05160	[273, 329]	Complement Module, domain 1
P05160	[507, 518]	Complement Module, domain 1
P08648	[864, 881]	ntegrin, alpha v. Chain A, domain 4
P08648	[906, 933]	ntegrin, alpha v. Chain A, domain 4
P14210	[55, 94]	Hepatocyte Growth Factor
P14210	[645, 680]	Trypsin-like serine proteases
P30566	[285, 300]	Fumarase/aspartase (Central domain)
P31267	[137, 162]	Homeodomain-like
P35030	[251, 271]	Trypsin-like serine proteases
Q15057	[395, 427]	Arf GTPase activating protein
Q15057	[698, 713]	Ankyrin repeat-containing domain
Q15437	[55, 73]	Zn-finger domain of Sec23/24
Q16760	[178, 206]	-
Q16760	[237, 260]	-
Q7Z2T5	[502, 524]	Vaccinia Virus protein VP39
Q7Z5L0	[140, 201]	Vitelline membrane outer layer protein I (VOMI)
Q8WTQ7	[98, 144]	Regulator of G-protein Signalling 4, domain 2
Q8WTU2	[110, 139]	SRCR-like domain
Q8WTU2	[268, 291]	SRCR-like domain
Q8WTU2	[378, 448]	SRCR-like domain
Q8WTU2	[509, 568]	SRCR-like domain
Q96EY4	[149, 169]	Translation machinery-associated protein 16-like
Q9BX93	[70, 134]	Phospholipase A2 domain
Q9ULV1	[117, 160]	Frizzled cysteine-rich domain
A1L157	[183, 200]	Tetraspanin
O43240	[155, 181]	Trypsin-like serine proteases
O43240	[222, 245]	Trypsin-like serine proteases
O94889	[224, 258]	-
P01730	[143, 165]	Immunoglobulins
P08571	[26, 41]	Ribonuclease Inhibitor
P08571	[311, 334]	Ribonuclease Inhibitor
P0C7I0	[80, 128]	Cysteine proteinases
P14618	[341, 366]	Phosphoenolpyruvate-binding domains
P38567	[429, 457]	Aldolase class I
P49207	[46, 91]	-
P56277	[1, 60]	CytochromE C oxidase copper chaperone
Q07864	[642, 670]	Palm domain of DNA polymerase
Q8TCX5	[284, 303]	alix/aip1 like domains
Q96D21	[129, 152]	P-loop containing nucleotide triphosphate hydrolases
Q96HD1	[151, 277]	Plasmodium vivax P25 domain
Q9H582	[403, 485]	Classic Zinc Finger
Q9HC78	[78, 94]	Potassium Channel Kv1.1; Chain A
Q9HC78	[571, 597]	Classic Zinc Finger
Q9HC78	[671, 686]	Classic Zinc Finger
Q9NR21	[44, 75]	-
Q9NSK0	[432, 497]	Tetratricopeptide repeat domain
Q9UI36	[253, 278]	Ski
A6NH00	[290, 311]	Rhodopsin 7-helix transmembrane proteins
A6NKQ9	[52, 71]	Cystine-knot cytokines
A6NKQ9	[121, 156]	Cystine-knot cytokines
O15117	[503, 534]	SH3 Domains
O15305	[8, 18]	HAD superfamily/HAD-like
P02787	[25, 43]	Periplasmic binding protein-like II
P02787	[501, 520]	Periplasmic binding protein-like II
P02787	[590, 646]	Periplasmic binding protein-like II
P10589	[79, 154]	Erythroid Transcription Factor GATA-1, subunit A
P54764	[264, 327]	Tumor Necrosis Factor Receptor, subunit A, domain 2
P54764	[351, 391]	Immunoglobulins
Q13214	[518, 582]	ligand-binding face of the semaphorins, domain 2
Q5JR12	[105, 138]	PPM-type phosphatase domain
Q7Z5K2	[1003, 1023]	Leucine-rich Repeat Variant
Q8IWU6	[430, 482]	Alkaline Phosphatase, subunit A
Q96HD9	[42, 72]	Zn peptidases
Q96K80	[37, 111]	-
Q96LA6	[258, 294]	Immunoglobulins
Q96NW7	[1436, 1449]	-
Q9C0G0	[211, 278]	Classic Zinc Finger
Q9C0G0	[703, 778]	Classic Zinc Finger
Q9C0G0	[851, 910]	Classic Zinc Finger
Q9C0G0	[1016, 1071]	Classic Zinc Finger
Q9C0G0	[1390, 1428]	Classic Zinc Finger
Q9C0G0	[1441, 1472]	Classic Zinc Finger
Q9C0G0	[1525, 1560]	Classic Zinc Finger
Q9H7J1	[143, 171]	Carbohydrate binding type-21 domain
Q9NR99	[245, 278]	Ribonuclease Inhibitor
Q9NR99	[490, 508]	Immunoglobulins
Q9NS68	[35, 116]	Tumor Necrosis Factor Receptor, subunit A, domain 2
Q9UHF5	[83, 142]	Cystine-knot cytokines
Q9UNK4	[38, 107]	Phospholipase A2 domain
Q9Y210	[87, 102]	Ankyrin repeat-containing domain
Q9Y210	[249, 277]	Ankyrin repeat-containing domain
O95757	[759, 783]	-
P14415	[118, 168]	Na, k-atpase alpha subunit.
P28702	[199, 276]	Erythroid Transcription Factor GATA-1, subunit A
Q07912	[450, 480]	Cdc42-like binding domain
Q07912	[963, 993]	DNA helicase RuvA subunit, C-terminal domain
Q13077	[372, 415]	Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A
Q2VIR3	[91, 117]	P-loop containing nucleotide triphosphate hydrolases
Q5TB30	[565, 587]	Rho GTPase activation protein
Q5VUG0	[490, 511]	-
Q7Z4Q2	[44, 116]	Leucine-rich Repeat Variant
Q7Z4Q2	[367, 409]	Leucine-rich Repeat Variant
Q86UZ6	[444, 489]	Classic Zinc Finger
Q86VK4	[216, 226]	Classic Zinc Finger
Q8IUG5	[1062, 1085]	Myosin VI head, motor domain, U50 subdomain
Q8IUG5	[1130, 1152]	Myosin VI head, motor domain, U50 subdomain
Q8WWN9	[38, 57]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q96LA5	[259, 280]	Immunoglobulins
Q96LA5	[349, 389]	Immunoglobulins
Q96PZ7	[209, 226]	Spermadhesin, CUB domain
Q96PZ7	[346, 387]	Complement Module, domain 1
Q96PZ7	[407, 422]	Spermadhesin, CUB domain
Q96PZ7	[929, 943]	Spermadhesin, CUB domain
Q96PZ7	[1104, 1120]	Spermadhesin, CUB domain
Q96PZ7	[2493, 2556]	Complement Module, domain 1
Q96PZ7	[2771, 2794]	Complement Module, domain 1
Q96PZ7	[2917, 2974]	Complement Module, domain 1
Q96RT1	[15, 32]	Ribonuclease Inhibitor
Q99963	[285, 316]	SH3 Domains
Q9HCM9	[136, 167]	Classic Zinc Finger
Q9HCX3	[49, 68]	-
Q9NY15	[1830, 1867]	FAS1 domain
Q9UJW2	[259, 319]	Cysteine proteinases
Q9UJW2	[339, 361]	Cysteine proteinases
Q9Y698	[39, 83]	-
O94929	[7, 25]	Cysteine Rich Protein
O94929	[103, 138]	Cysteine Rich Protein
O94929	[209, 272]	Cysteine Rich Protein
O95704	[138, 161]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
P22459	[162, 179]	Potassium Channel Kv1.1; Chain A
P22897	[306, 333]	Mannose-Binding Protein A, subunit A
P22897	[643, 663]	Mannose-Binding Protein A, subunit A
P22897	[1067, 1084]	Mannose-Binding Protein A, subunit A
P23759	[44, 97]	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
P37088	[371, 409]	Acid-sensing ion channels like domains
P43652	[75, 130]	-
P43652	[259, 320]	-
P43652	[483, 515]	-
P43652	[572, 594]	-
P81274	[484, 509]	Tetratricopeptide repeat domain
P81274	[585, 612]	Tetratricopeptide repeat domain
Q10472	[519, 558]	-
Q13615	[1105, 1184]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q14839	[362, 420]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q14839	[442, 501]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q8N9V2	[34, 64]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q8N9V2	[444, 467]	-
Q8TE12	[116, 151]	Cysteine Rich Protein
Q96CA5	[247, 297]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q99988	[201, 307]	Cystine-knot cytokines
Q9BYV6	[7, 91]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9BYV6	[122, 162]	Classic Zinc Finger
Q9GZR1	[778, 805]	Adenoviral Proteinase; Chain A
Q9P241	[207, 261]	Calcium-transporting ATPase, cytoplasmic transduction domain A
Q9P241	[446, 467]	Calcium-transporting ATPase, cytoplasmic domain N
Q9Y6L7	[348, 366]	Spermadhesin, CUB domain
Q9Y6L7	[584, 609]	Laminin
Q9Y6L7	[771, 838]	Spermadhesin, CUB domain
A0A075B6H9	[95, 118]	Immunoglobulins
O75445	[315, 336]	Galactose-binding domain-like
O75445	[1230, 1238]	Immunoglobulins
O75445	[2031, 2049]	Immunoglobulins
O75445	[2221, 2237]	Immunoglobulins
O75445	[3663, 3678]	Immunoglobulins
O75445	[4330, 4353]	Immunoglobulins
O75445	[4801, 4823]	Immunoglobulins
O94844	[242, 257]	Potassium Channel Kv1.1; Chain A
P04733	[1, 60]	Metallothionein Isoform II
P09093	[207, 226]	Trypsin-like serine proteases
P18858	[873, 898]	Nucleic acid-binding proteins
P22692	[31, 103]	-
P22692	[172, 253]	Thyroglobulin type-1
Q6X4U4	[70, 167]	Cystine-knot cytokines
Q75N03	[128, 164]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q86YS6	[189, 203]	P-loop containing nucleotide triphosphate hydrolases
Q8TC27	[619, 657]	Galactose-binding domain-like
Q8WYQ9	[108, 131]	Phox-like domain
Q92529	[198, 213]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q9HBT6	[585, 606]	Cadherins
Q9NQX0	[191, 252]	SET domain
Q9NWH9	[391, 440]	-
P00325	[91, 120]	Medium-chain alcohol dehydrogenases, catalytic domain
P02790	[223, 236]	Hemopexin-like domain
P02790	[425, 461]	Hemopexin-like domain
P16871	[36, 54]	-
P26010	[42, 94]	ligand-binding face of the semaphorins, domain 2
P51689	[490, 535]	-
P51784	[690, 716]	Cysteine proteinases
P60484	[285, 312]	-
P78334	[433, 474]	Neurotransmitter-gated ion-channel transmembrane domain
Q14168	[320, 344]	SH3 Domains
Q5T7W0	[148, 218]	Classic Zinc Finger
Q5VZB9	[91, 135]	DM DNA-binding domain
Q96AT9	[1, 18]	Aldolase class I
Q96EG1	[159, 195]	Alkaline Phosphatase, subunit A
Q99424	[405, 421]	Butyryl-CoA Dehydrogenase, subunit A, domain 3
Q9BRQ0	[324, 389]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9BWF3	[154, 183]	Zinc finger, CCHC-type
Q9H9P5	[629, 679]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9NRY4	[4, 60]	P-loop containing nucleotide triphosphate hydrolases
Q9NYJ7	[199, 249]	Laminin
Q9UHC7	[52, 85]	Zinc finger, CCCH-type
Q9UHC7	[257, 343]	Zinc/RING finger domain, C3HC4 (zinc finger)
A0A075B6N4	[89, 105]	Immunoglobulins
O00507	[1722, 1738]	Cysteine proteinases
O00507	[1900, 1919]	Cysteine proteinases
O15156	[143, 166]	Potassium Channel Kv1.1; Chain A
O15287	[336, 352]	Tetratricopeptide repeat domain
O94806	[189, 211]	-
O94806	[270, 326]	-
P05231	[65, 102]	-
