Accession_number	Region	Domain
A5YM72	[217, 266]	No_Gene3D_overlap
A5YM72	[783, 802]	No_Gene3D_overlap
A8MWY0	[54, 142]	No_Gene3D_overlap
A8MWY0	[285, 437]	Tumor Necrosis Factor Receptor, subunit A, domain 2
A8MWY0	[457, 476]	No_Gene3D_overlap
O14512	[367, 387]	SH2 domain
O43766	[69, 84]	No_Gene3D_overlap
O75078	[140, 212]	No_Gene3D_overlap
O75078	[420, 592]	Collagenase (Catalytic Domain)
P10912	[606, 627]	No_Gene3D_overlap
P17081	[185, 204]	P-loop containing nucleotide triphosphate hydrolases
P43268	[265, 330]	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
P98164	[20, 376]	Low-density Lipoprotein Receptor
P98164	[967, 1425]	Laminin
P98164	[2625, 3199]	TolB, C-terminal domain
P98164	[3464, 4056]	TolB, C-terminal domain
P98164	[4336, 4425]	TolB, C-terminal domain
Q14865	[225, 250]	No_Gene3D_overlap
Q14865	[616, 660]	No_Gene3D_overlap
Q5H8A4	[602, 629]	No_Gene3D_overlap
Q86YH2	[290, 485]	Classic Zinc Finger
Q8TEB1	[130, 147]	No_Gene3D_overlap
Q96A70	[428, 456]	No_Gene3D_overlap
Q9BV97	[173, 285]	Classic Zinc Finger
Q9BV97	[313, 329]	No_Gene3D_overlap
Q9Y2H8	[131, 270]	Classic Zinc Finger
Q9Y2H8	[397, 682]	Classic Zinc Finger
Q9Y5Y6	[449, 624]	Low-density Lipoprotein Receptor
A2VDJ0	[1246, 1277]	No_Gene3D_overlap
A2VDJ0	[1559, 1608]	No_Gene3D_overlap
A6NCL7	[318, 343]	No_Gene3D_overlap
O60353	[508, 529]	Rhodopsin 7-helix transmembrane proteins
P26022	[35, 58]	No_Gene3D_overlap
P36269	[36, 54]	No_Gene3D_overlap
P78386	[3, 126]	No_Gene3D_overlap
Q07954	[23, 200]	Low-density Lipoprotein Receptor
Q07954	[792, 1254]	Low-density Lipoprotein Receptor
Q07954	[2468, 3023]	Low-density Lipoprotein Receptor
Q07954	[3286, 3866]	Low-density Lipoprotein Receptor
Q07954	[4146, 4407]	Laminin
Q13535	[508, 524]	No_Gene3D_overlap
Q15366	[217, 238]	No_Gene3D_overlap
Q5VV67	[299, 322]	No_Gene3D_overlap
Q6PK81	[183, 440]	Classic Zinc Finger
Q6ZVN8	[21, 48]	No_Gene3D_overlap
Q6ZVN8	[77, 125]	No_Gene3D_overlap
Q6ZVN8	[143, 169]	No_Gene3D_overlap
Q6ZVN8	[317, 343]	Mog1/PsbP, alpha/beta/alpha sandwich
Q76I76	[1253, 1297]	No_Gene3D_overlap
Q7RTV3	[13, 28]	No_Gene3D_overlap
Q7RTV3	[157, 253]	Classic Zinc Finger
Q8IZ73	[487, 508]	No_Gene3D_overlap
Q8N7R7	[115, 133]	Cyclin-like
Q8NEC7	[351, 366]	No_Gene3D_overlap
Q8NEC7	[573, 627]	Vaccinia Virus protein VP39
Q8NG08	[49, 73]	No_Gene3D_overlap
Q8NG08	[741, 798]	No_Gene3D_overlap
Q9H5I1	[0, 25]	No_Gene3D_overlap
Q9H5I1	[375, 409]	No_Gene3D_overlap
Q9H9G7	[354, 371]	paz domain
Q9HCU4	[38, 143]	No_Gene3D_overlap
Q9HCU4	[1227, 1368]	Laminin
Q9HCU4	[1785, 2019]	-
Q9P2D3	[1685, 1702]	No_Gene3D_overlap
Q9UH90	[5, 146]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9UH90	[661, 696]	No_Gene3D_overlap
Q9Y5H2	[775, 811]	No_Gene3D_overlap
A0ABB0MV19	[554, 581]	Sodium/glucose cotransporter
A0ABB0MV19	[593, 611]	No_Gene3D_overlap
A8MQ14	[76, 99]	No_Gene3D_overlap
A8MQ14	[211, 1089]	Classic Zinc Finger
O43155	[23, 44]	Ribonuclease Inhibitor
O43155	[621, 652]	No_Gene3D_overlap
O60242	[215, 245]	No_Gene3D_overlap
O60242	[296, 556]	Thrombospondin type-1 (TSP1) repeat
O60242	[1162, 1225]	Rhodopsin 7-helix transmembrane proteins
O94911	[950, 976]	No_Gene3D_overlap
P02748	[34, 192]	Thrombospondin type-1 (TSP1) repeat
P02748	[240, 262]	No_Gene3D_overlap
P15391	[147, 203]	Immunoglobulins
Q06730	[157, 183]	No_Gene3D_overlap
Q06730	[212, 778]	Classic Zinc Finger
Q06732	[163, 188]	No_Gene3D_overlap
Q06732	[205, 777]	Classic Zinc Finger
Q0VGE8	[157, 176]	No_Gene3D_overlap
Q0VGE8	[191, 650]	Classic Zinc Finger
Q13115	[142, 195]	Protein tyrosine phosphatase superfamily
Q2QGD7	[176, 449]	Classic Zinc Finger
Q5VWM6	[446, 473]	No_Gene3D_overlap
Q6ZMQ8	[487, 542]	No_Gene3D_overlap
Q86X10	[442, 475]	No_Gene3D_overlap
Q86X10	[500, 525]	No_Gene3D_overlap
Q8TDY4	[687, 713]	No_Gene3D_overlap
Q8TER0	[271, 920]	Laminin
Q8TER0	[1308, 1396]	Laminin
Q96CM8	[54, 82]	No_Gene3D_overlap
Q96SZ5	[1, 17]	No_Gene3D_overlap
Q9BRP4	[0, 46]	No_Gene3D_overlap
Q9H6E5	[5, 45]	No_Gene3D_overlap
Q9H6E5	[595, 618]	No_Gene3D_overlap
Q9HBE5	[288, 321]	No_Gene3D_overlap
Q9HBE5	[364, 397]	No_Gene3D_overlap
Q9NRE2	[137, 156]	No_Gene3D_overlap
Q9NRE2	[357, 421]	No_Gene3D_overlap
Q9NTG1	[191, 226]	No_Gene3D_overlap
Q9NTG1	[1039, 1054]	No_Gene3D_overlap
Q9NTG1	[1805, 1826]	No_Gene3D_overlap
P56715	[1237, 1321]	No_Gene3D_overlap
P56715	[2090, 2117]	No_Gene3D_overlap
Q5VW22	[94, 115]	No_Gene3D_overlap
Q8N9Z9	[52, 91]	No_Gene3D_overlap
Q9P2L0	[1139, 1180]	No_Gene3D_overlap
Q9UL18	[353, 368]	No_Gene3D_overlap
Q9UMS6	[89, 139]	-
O00548	[182, 527]	Laminin
O00755	[123, 141]	No_Gene3D_overlap
O00755	[195, 223]	No_Gene3D_overlap
O15537	[26, 86]	Galactose-binding domain-like
O75095	[107, 456]	Laminin
O75095	[502, 1504]	Tie2 ligand-binding domain superfamily
P57682	[259, 344]	Classic Zinc Finger
Q13117	[189, 212]	No_Gene3D_overlap
Q14584	[80, 547]	Classic Zinc Finger
Q15910	[69, 94]	No_Gene3D_overlap
Q15910	[272, 338]	No_Gene3D_overlap
Q2KHN1	[6, 168]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q68CJ9	[134, 235]	No_Gene3D_overlap
Q6ZMP0	[287, 341]	No_Gene3D_overlap
Q6ZMP0	[368, 414]	-
Q6ZMP0	[627, 1017]	Thrombospondin type-1 (TSP1) repeat
Q6ZWJ8	[77, 664]	Complement Module, domain 1
Q6ZWJ8	[683, 1221]	Complement Module, domain 1
Q6ZWJ8	[1337, 1546]	No_Gene3D_overlap
Q86UE6	[21, 48]	Ribonuclease Inhibitor
Q86UE6	[501, 521]	No_Gene3D_overlap
Q8IU81	[0, 40]	No_Gene3D_overlap
Q8N684	[375, 405]	No_Gene3D_overlap
Q8NDT2	[299, 327]	-
Q9Y2G3	[388, 429]	No_Gene3D_overlap
Q9Y2G3	[496, 520]	Calcium-transporting ATPase, cytoplasmic domain N
Q9Y2G3	[1098, 1156]	No_Gene3D_overlap
O75486	[264, 287]	No_Gene3D_overlap
O75534	[103, 124]	No_Gene3D_overlap
O95069	[372, 422]	No_Gene3D_overlap
Q08999	[399, 427]	Cyclin-like
Q16671	[13, 33]	No_Gene3D_overlap
Q38SD2	[1151, 1206]	No_Gene3D_overlap
Q4KMG0	[1102, 1132]	No_Gene3D_overlap
Q5D0E6	[261, 282]	No_Gene3D_overlap
Q5W111	[0, 18]	No_Gene3D_overlap
Q92608	[1395, 1415]	No_Gene3D_overlap
Q96BZ4	[85, 110]	No_Gene3D_overlap
Q96BZ4	[488, 505]	No_Gene3D_overlap
Q9BTC0	[386, 431]	No_Gene3D_overlap
Q9H8X2	[287, 315]	No_Gene3D_overlap
Q9HC10	[766, 795]	No_Gene3D_overlap
Q9HC10	[1245, 1290]	No_Gene3D_overlap
Q9ULH4	[0, 21]	Ribonuclease Inhibitor
A6NCL1	[0, 30]	No_Gene3D_overlap
A6NCL1	[271, 304]	No_Gene3D_overlap
O15244	[45, 125]	MFS general substrate transporter like domains
O75460	[329, 346]	No_Gene3D_overlap
O94956	[472, 507]	MFS general substrate transporter like domains
P07204	[171, 477]	Laminin
P09543	[405, 420]	No_Gene3D_overlap
P0CH99	[122, 299]	Classic Zinc Finger
P15289	[472, 505]	No_Gene3D_overlap
P51816	[1100, 1116]	No_Gene3D_overlap
P51816	[1226, 1251]	No_Gene3D_overlap
P55196	[917, 950]	No_Gene3D_overlap
P55196	[963, 984]	No_Gene3D_overlap
Q13822	[46, 162]	-
Q14314	[27, 63]	No_Gene3D_overlap
Q14314	[87, 105]	No_Gene3D_overlap
Q14314	[180, 202]	Gamma Fibrinogen, chain A, domain 1
Q5K651	[146, 171]	No_Gene3D_overlap
Q6ZN32	[203, 245]	No_Gene3D_overlap
Q6ZN32	[281, 308]	No_Gene3D_overlap
Q86WG5	[1623, 1642]	No_Gene3D_overlap
Q8TBP0	[362, 384]	No_Gene3D_overlap
Q8TBP0	[697, 725]	No_Gene3D_overlap
Q9HBH9	[358, 402]	Transferase(Phosphotransferase) domain 1
Q9UL17	[328, 357]	No_Gene3D_overlap
O15050	[769, 786]	No_Gene3D_overlap
O15050	[2696, 2760]	No_Gene3D_overlap
P00519	[0, 37]	No_Gene3D_overlap
P16471	[593, 620]	No_Gene3D_overlap
Q00532	[297, 355]	No_Gene3D_overlap
Q03923	[90, 589]	Classic Zinc Finger
Q3YBR2	[171, 186]	-
Q3YBR2	[317, 342]	No_Gene3D_overlap
Q60I27	[566, 656]	Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain
Q6IPT4	[16, 43]	No_Gene3D_overlap
Q8N8U9	[6, 62]	-
Q8N8U9	[527, 684]	Laminin
Q8WYQ5	[72, 111]	No_Gene3D_overlap
Q8WYQ5	[143, 164]	No_Gene3D_overlap
Q96LM9	[8, 25]	No_Gene3D_overlap
Q96N67	[65, 111]	No_Gene3D_overlap
Q96N67	[1264, 1279]	No_Gene3D_overlap
Q9BZR9	[461, 488]	No_Gene3D_overlap
Q9HCL3	[163, 532]	Classic Zinc Finger
Q9UJX5	[544, 560]	No_Gene3D_overlap
O43307	[71, 101]	Dbl homology (DH) domain
O75094	[880, 1144]	Laminin
O75094	[1291, 1522]	-
O75820	[135, 625]	Classic Zinc Finger
P0C7V9	[0, 29]	No_Gene3D_overlap
P11926	[428, 460]	No_Gene3D_overlap
Q01538	[578, 602]	No_Gene3D_overlap
Q01538	[618, 643]	No_Gene3D_overlap
Q01538	[778, 857]	-
Q13129	[477, 506]	No_Gene3D_overlap
Q13129	[650, 738]	Classic Zinc Finger
Q13129	[930, 987]	No_Gene3D_overlap
Q13129	[1039, 1066]	No_Gene3D_overlap
Q13129	[1301, 1497]	Classic Zinc Finger
Q13129	[1520, 1602]	No_Gene3D_overlap
Q14573	[1552, 1574]	No_Gene3D_overlap
Q14573	[2128, 2157]	No_Gene3D_overlap
Q5T1R4	[635, 674]	No_Gene3D_overlap
Q5T1R4	[1614, 1640]	No_Gene3D_overlap
Q5T1R4	[1732, 1818]	Classic Zinc Finger
Q5TIA1	[1249, 1271]	No_Gene3D_overlap
Q6NSW7	[213, 300]	No_Gene3D_overlap
Q6ZP01	[321, 483]	No_Gene3D_overlap
Q6ZP01	[549, 587]	No_Gene3D_overlap
Q8NB50	[136, 347]	Classic Zinc Finger
Q8NB50	[358, 876]	Classic Zinc Finger
Q8WWW0	[117, 218]	-
Q96CX6	[324, 341]	No_Gene3D_overlap
Q96F81	[68, 159]	No_Gene3D_overlap
Q96F81	[324, 353]	No_Gene3D_overlap
Q96F81	[1250, 1323]	No_Gene3D_overlap
Q96F81	[1365, 1418]	No_Gene3D_overlap
Q96F81	[1459, 1523]	No_Gene3D_overlap
Q9BQ31	[420, 436]	No_Gene3D_overlap
Q9BXK1	[128, 207]	Classic Zinc Finger
Q9C0C7	[287, 318]	No_Gene3D_overlap
Q9P0L9	[59, 87]	No_Gene3D_overlap
Q9P2J9	[61, 76]	PPM-type phosphatase domain
Q9UNQ0	[585, 620]	No_Gene3D_overlap
O14867	[130, 181]	Potassium Channel Kv1.1; Chain A
O14867	[456, 476]	No_Gene3D_overlap
P14210	[109, 453]	Plasminogen Kringle 4
P35030	[47, 86]	No_Gene3D_overlap
P43694	[203, 310]	Erythroid Transcription Factor GATA-1, subunit A
P50851	[1461, 1477]	No_Gene3D_overlap
P50851	[1678, 1703]	No_Gene3D_overlap
P50851	[2011, 2029]	No_Gene3D_overlap
Q16760	[953, 977]	No_Gene3D_overlap
Q3SXZ3	[89, 476]	Classic Zinc Finger
Q7Z2T5	[120, 144]	No_Gene3D_overlap
Q7Z2T5	[154, 251]	Vaccinia Virus protein VP39
Q86YR6	[23, 124]	No_Gene3D_overlap
Q8IVF6	[935, 991]	No_Gene3D_overlap
Q8WTQ7	[533, 550]	No_Gene3D_overlap
Q96PT3	[11, 38]	No_Gene3D_overlap
Q9BX93	[174, 194]	Phospholipase A2 domain
O15056	[17, 38]	No_Gene3D_overlap
O76015	[30, 122]	No_Gene3D_overlap
O76015	[407, 455]	-
O76031	[99, 119]	No_Gene3D_overlap
P35713	[321, 383]	No_Gene3D_overlap
P35789	[106, 618]	Classic Zinc Finger
Q07864	[2157, 2185]	No_Gene3D_overlap
Q304Z4	[322, 353]	No_Gene3D_overlap
Q6IQ55	[438, 514]	No_Gene3D_overlap
Q6ZS27	[13, 89]	No_Gene3D_overlap
Q6ZS27	[197, 425]	Classic Zinc Finger
Q8NE63	[374, 394]	No_Gene3D_overlap
Q96HD1	[38, 69]	No_Gene3D_overlap
Q9BU40	[27, 192]	-
Q9BU40	[246, 360]	Complement Module, domain 1
Q9BV87	[255, 364]	No_Gene3D_overlap
Q9H1A4	[982, 999]	No_Gene3D_overlap
Q9H582	[943, 1019]	No_Gene3D_overlap
Q9H9S0	[213, 300]	No_Gene3D_overlap
Q9HC78	[233, 258]	No_Gene3D_overlap
Q9HC78	[705, 740]	No_Gene3D_overlap
Q9NYL9	[145, 186]	Ribonuclease Inhibitor
Q9UET6	[207, 245]	No_Gene3D_overlap
A3QJZ6	[122, 153]	No_Gene3D_overlap
A3QJZ6	[448, 478]	No_Gene3D_overlap
O00161	[69, 95]	-
O15117	[766, 782]	SH3 Domains
O15194	[33, 62]	No_Gene3D_overlap
O60381	[180, 208]	No_Gene3D_overlap
P02787	[678, 697]	Periplasmic binding protein-like II
P26599	[10, 33]	No_Gene3D_overlap
Q12791	[675, 750]	No_Gene3D_overlap
Q15928	[101, 473]	Classic Zinc Finger
Q5T2Q4	[0, 137]	No_Gene3D_overlap
Q6ZQQ6	[1240, 1261]	No_Gene3D_overlap
Q7Z5K2	[268, 306]	No_Gene3D_overlap
Q8IWU6	[609, 646]	No_Gene3D_overlap
Q8IWU6	[734, 765]	No_Gene3D_overlap
Q8IWU6	[834, 853]	No_Gene3D_overlap
Q8N302	[226, 258]	No_Gene3D_overlap
Q8N302	[515, 554]	-
Q8NF50	[94, 115]	No_Gene3D_overlap
Q8NF50	[131, 162]	No_Gene3D_overlap
Q8NF50	[180, 218]	No_Gene3D_overlap
Q8NF50	[881, 898]	No_Gene3D_overlap
Q96NW7	[469, 523]	No_Gene3D_overlap
Q9C0G0	[464, 494]	No_Gene3D_overlap
Q9C0G0	[518, 642]	Classic Zinc Finger
Q9C0G0	[1672, 1833]	Classic Zinc Finger
Q9NS68	[209, 269]	No_Gene3D_overlap
P04198	[106, 130]	No_Gene3D_overlap
P0CI00	[119, 299]	Classic Zinc Finger
Q13077	[19, 65]	No_Gene3D_overlap
Q13077	[103, 184]	-
Q5TB30	[351, 393]	No_Gene3D_overlap
Q5TYX0	[447, 475]	No_Gene3D_overlap
Q5VUG0	[625, 671]	SLED domain
Q6S8J7	[16, 54]	No_Gene3D_overlap
Q6T4R5	[780, 835]	No_Gene3D_overlap
Q86VK4	[266, 357]	Classic Zinc Finger
Q86Z14	[963, 999]	Glycosidases
Q8N1L9	[63, 101]	-
Q8N5S9	[103, 124]	Phosphorylase Kinase; domain 1
Q92484	[59, 74]	No_Gene3D_overlap
Q96B67	[316, 345]	No_Gene3D_overlap
Q96CM4	[175, 190]	No_Gene3D_overlap
Q9BU19	[23, 38]	No_Gene3D_overlap
Q9BU19	[57, 120]	No_Gene3D_overlap
Q9BU19	[320, 465]	Classic Zinc Finger
Q9GZU7	[32, 82]	HAD superfamily/HAD-like
Q9HCX3	[112, 641]	Classic Zinc Finger
Q9NY15	[18, 359]	Tie2 ligand-binding domain superfamily
Q9NY15	[658, 687]	No_Gene3D_overlap
Q9NY15	[705, 997]	FAS1 domain
Q9NY15	[1258, 1583]	Laminin
Q9NY15	[1934, 2242]	Laminin
Q9UJW2	[47, 152]	Cysteine proteinases
H3BUK9	[22, 89]	No_Gene3D_overlap
O14901	[6, 53]	No_Gene3D_overlap
O14901	[208, 257]	No_Gene3D_overlap
O14901	[351, 481]	Classic Zinc Finger
O94929	[289, 348]	No_Gene3D_overlap
O95704	[252, 272]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
P08F94	[1870, 1901]	No_Gene3D_overlap
P08F94	[3295, 3333]	No_Gene3D_overlap
P08F94	[3992, 4029]	No_Gene3D_overlap
P35913	[0, 58]	-
Q13615	[321, 340]	No_Gene3D_overlap
Q5JTJ3	[2, 49]	Cytochrome c oxidase, subunit VIb
Q68DI1	[140, 159]	No_Gene3D_overlap
Q68DI1	[175, 517]	Classic Zinc Finger
Q6UWB1	[37, 52]	No_Gene3D_overlap
Q8N9V2	[247, 267]	No_Gene3D_overlap
Q969M2	[250, 288]	No_Gene3D_overlap
Q96HI0	[174, 233]	No_Gene3D_overlap
Q96JB3	[504, 614]	Classic Zinc Finger
Q9GZR1	[218, 247]	No_Gene3D_overlap
Q9GZR1	[958, 982]	-
Q9H158	[792, 822]	No_Gene3D_overlap
Q9P241	[706, 726]	Calcium-transporting ATPase, cytoplasmic domain N
Q9UHB9	[547, 579]	No_Gene3D_overlap
O14544	[327, 362]	No_Gene3D_overlap
O14639	[44, 109]	Cysteine Rich Protein
O14639	[179, 342]	Cysteine Rich Protein
O15541	[191, 318]	Zinc/RING finger domain, C3HC4 (zinc finger)
O75445	[45, 138]	-
O75445	[513, 1069]	Laminin
O75445	[3159, 3456]	Immunoglobulins
P22692	[131, 148]	No_Gene3D_overlap
P82675	[21, 43]	No_Gene3D_overlap
P82675	[62, 86]	No_Gene3D_overlap
Q14289	[350, 412]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q68D06	[369, 390]	No_Gene3D_overlap
Q8N806	[48, 140]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q8TC27	[329, 541]	Disintegrin domain
Q8WYP3	[227, 283]	No_Gene3D_overlap
Q8WYQ9	[778, 818]	No_Gene3D_overlap
Q9H013	[101, 121]	No_Gene3D_overlap
Q9H013	[160, 191]	No_Gene3D_overlap
Q9H013	[335, 681]	Disintegrin domain
Q9H093	[336, 351]	Transferase(Phosphotransferase) domain 1
Q9H093	[598, 627]	No_Gene3D_overlap
Q9NQX0	[385, 416]	No_Gene3D_overlap
Q9NQX0	[484, 582]	Classic Zinc Finger
A4D2B8	[1, 29]	No_Gene3D_overlap
A4D2B8	[369, 404]	Histidine kinase-like ATPase, C-terminal domain
A6NKG5	[523, 559]	Acid Proteases
B1AJZ9	[554, 583]	No_Gene3D_overlap
B1AJZ9	[1207, 1232]	No_Gene3D_overlap
P16871	[273, 327]	No_Gene3D_overlap
P21453	[324, 340]	Rhodopsin 7-helix transmembrane proteins
P26010	[469, 680]	ntegrin, alpha v. Chain A, domain 3
P51784	[20, 47]	No_Gene3D_overlap
P98168	[285, 584]	Classic Zinc Finger
Q147U1	[169, 297]	Classic Zinc Finger
Q147U1	[380, 532]	Classic Zinc Finger
Q587J7	[256, 311]	No_Gene3D_overlap
Q587J7	[357, 376]	No_Gene3D_overlap
Q5T7W0	[245, 280]	No_Gene3D_overlap
Q5TYW1	[115, 178]	No_Gene3D_overlap
Q5TYW1	[193, 329]	Classic Zinc Finger
Q5TYW1	[340, 1058]	Classic Zinc Finger
Q5VTE6	[37, 168]	Endonuclease/exonuclease/phosphatase
Q86YV5	[0, 44]	No_Gene3D_overlap
Q86YV5	[984, 999]	No_Gene3D_overlap
Q86YV5	[1053, 1070]	No_Gene3D_overlap
Q96EG1	[500, 522]	No_Gene3D_overlap
Q96NH3	[70, 96]	No_Gene3D_overlap
Q96NH3	[158, 227]	No_Gene3D_overlap
Q9H9P5	[27, 160]	No_Gene3D_overlap
Q9H9P5	[184, 324]	No_Gene3D_overlap
Q9NRY4	[946, 966]	No_Gene3D_overlap
Q9NYJ7	[265, 468]	Laminin
Q9NZC4	[152, 182]	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
Q9UBN6	[88, 175]	Tumor Necrosis Factor Receptor, subunit A, domain 2
Q9UHC7	[361, 401]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9UKT9	[97, 272]	Classic Zinc Finger
O00507	[2134, 2149]	No_Gene3D_overlap
O15156	[341, 465]	Classic Zinc Finger
O94806	[542, 557]	Phosphorylase Kinase; domain 1
P10070	[398, 444]	Classic Zinc Finger
P10070	[498, 582]	Classic Zinc Finger
P29597	[287, 321]	No_Gene3D_overlap
P52746	[155, 407]	Classic Zinc Finger
P52746	[474, 604]	Classic Zinc Finger
P52746	[1023, 1049]	No_Gene3D_overlap
P52746	[1167, 1302]	Classic Zinc Finger
P52746	[1325, 1405]	Classic Zinc Finger
P52746	[1417, 1638]	Classic Zinc Finger
Q01954	[30, 71]	No_Gene3D_overlap
Q01954	[198, 213]	No_Gene3D_overlap
Q5JVG2	[167, 811]	Classic Zinc Finger
Q6ZN11	[112, 399]	Classic Zinc Finger
Q7RTS3	[44, 70]	No_Gene3D_overlap
Q8IXQ8	[243, 263]	No_Gene3D_overlap
Q8N103	[26, 50]	No_Gene3D_overlap
Q8N1G1	[945, 1035]	No_Gene3D_overlap
Q8N8U3	[370, 394]	No_Gene3D_overlap
Q8NHY6	[249, 284]	No_Gene3D_overlap
Q8NHY6	[377, 832]	Classic Zinc Finger
Q8TB24	[37, 52]	No_Gene3D_overlap
Q8TB24	[205, 246]	No_Gene3D_overlap
Q92800	[284, 364]	No_Gene3D_overlap
Q96JM3	[757, 798]	Classic Zinc Finger
Q9C040	[28, 167]	Classic Zinc Finger
O94851	[504, 523]	Calponin-like domain
P51587	[130, 173]	No_Gene3D_overlap
P51587	[472, 505]	No_Gene3D_overlap
P51587	[612, 630]	No_Gene3D_overlap
P51587	[1038, 1064]	No_Gene3D_overlap
P51587	[1134, 1163]	No_Gene3D_overlap
P51587	[1265, 1318]	No_Gene3D_overlap
P51587	[1351, 1395]	No_Gene3D_overlap
P51587	[1566, 1644]	No_Gene3D_overlap
