accession	start	end	domain
A0AAG2SWI5	329	410	Immunoglobulins
A0AAG2SWI5	777	894	Immunoglobulins
A0AAG2SWI5	107	204	-
A0AAG2SWI5	436	542	-
A0AAG2SWI5	205	325	-
Q5VUJ9	144	220	EF-hand
Q8IZK6	407	547	-
A8TX70	1744	1914	von Willebrand factor, type A domain
A8TX70	28	220	von Willebrand factor, type A domain
A8TX70	234	428	von Willebrand factor, type A domain
A8TX70	439	624	von Willebrand factor, type A domain
A8TX70	625	811	von Willebrand factor, type A domain
A8TX70	813	1000	von Willebrand factor, type A domain
A8TX70	1002	1197	von Willebrand factor, type A domain
A8TX70	1955	2144	von Willebrand factor, type A domain
A8TX70	2284	2479	von Willebrand factor, type A domain
Q16821	98	235	Carbohydrate binding type-21 domain
O95965	134	181	Laminin
O95965	405	451	Laminin
O95965	43	90	Laminin
O95965	223	270	Laminin
O95965	182	217	Laminin
O95965	271	311	Laminin
O95965	365	399	Laminin
O95965	452	486	Laminin
O95965	319	364	Laminin
O95965	91	130	Laminin
A2A288	88	250	-
Q93098	267	334	-
O43169	16	107	Cytochrome b5-like heme/steroid binding domain
Q12797	563	758	B-lactam Antibiotic, Isopenicillin N Synthase; Chain
Q12797	428	556	Tetratricopeptide repeat domain
Q12797	325	421	Tetratricopeptide repeat domain
O14975	54	480	N-terminal domain of ligase-like
O14975	483	582	-
Q5JYT7	723	1052	-
P02748	477	544	Laminin
P02748	40	89	Thrombospondin type-1 (TSP1) repeat
P02748	103	139	Low-density Lipoprotein Receptor
Q8NG08	426	673	P-loop containing nucleotide triphosphate hydrolases
Q8NG08	834	941	P-loop containing nucleotide triphosphate hydrolases
Q5VT97	664	796	C2 domain
Q5VT97	800	1026	Rho GTPase activation protein
Q8TCB6	23	317	Rhodopsin 7-helix transmembrane proteins
Q9BVP2	131	312	P-loop containing nucleotide triphosphate hydrolases
Q9BXP8	1523	1591	Complement Module, domain 1
Q9BXP8	629	836	Collagenase (Catalytic Domain)
Q9BXP8	1458	1522	Complement Module, domain 1
Q9BXP8	280	467	-
Q99952	2	299	Protein tyrosine phosphatase superfamily
P67936	202	248	-
P67936	52	195	-
O14986	23	190	Phosphatidylinositol Phosphate Kinase II Beta
O14986	191	411	2-Layer Sandwich
Q9HAY2	155	285	MAGE homology domain, winged helix WH2 motif
Q9HAY2	57	154	MAGE homology domain, winged helix WH1 motif
P22748	19	284	Alpha carbonic anhydrase
Q8TCW9	46	373	Rhodopsin 7-helix transmembrane proteins
Q8NGH5	27	318	Rhodopsin 7-helix transmembrane proteins
Q9NP87	20	124	BRCT domain
Q9NP87	289	424	Beta Polymerase, domain 2
Q9NP87	131	231	DNA polymerase beta, N-terminal domain-like
Q9NP87	232	288	5' to 3' exonuclease, C-terminal subdomain
Q9NP87	425	494	DNA polymerase, thumb domain
Q9NQB0	348	433	High mobility group box domain
Q9NQB0	1	62	TCF3-CBD (Catenin binding domain)
Q6ZWK6	55	165	SEA domain
Q6ZWK6	206	426	Trypsin-like serine proteases
Q6ZWK6	219	432	Trypsin-like serine proteases
Q5VXJ0	21	395	alpha/beta hydrolase
P29322	933	1000	Transcription Factor, Ets-1
P29322	264	328	Tumor Necrosis Factor Receptor, subunit A, domain 2
P29322	716	909	Transferase(Phosphotransferase) domain 1
P29322	207	261	ephrin a2 ectodomain
P29322	609	715	Phosphorylase Kinase; domain 1
P29322	29	206	Galactose-binding domain-like
P29322	329	437	Immunoglobulins
P29322	445	532	Immunoglobulins
O60609	245	348	GDNF binding domain
Q1RMZ1	144	348	Vaccinia Virus protein VP39
P24592	64	113	-
P24592	151	221	Thyroglobulin type-1
Q86V81	100	241	-
Q5VWM3	180	419	Ribonuclease Inhibitor
Q2M3X9	212	248	Classic Zinc Finger
Q2M3X9	411	437	Classic Zinc Finger
Q2M3X9	495	521	Classic Zinc Finger
Q2M3X9	277	304	Classic Zinc Finger
Q2M3X9	305	357	Classic Zinc Finger
Q2M3X9	377	410	Classic Zinc Finger
Q2M3X9	466	494	Classic Zinc Finger
Q2M3X9	550	580	Classic Zinc Finger
Q2M3X9	249	276	Classic Zinc Finger
Q2M3X9	522	549	Classic Zinc Finger
Q2M3X9	2	56	-
Q2M3X9	438	465	Classic Zinc Finger
Q96F44	280	463	-
Q96F44	2	80	Zinc/RING finger domain, C3HC4 (zinc finger)
Q96F44	81	153	Classic Zinc Finger
Q9BVH7	34	317	Glycosyl transferase family 29
Q9BPW5	33	204	P-loop containing nucleotide triphosphate hydrolases
Q7Z401	758	859	Tetratricopeptide repeat domain
Q7Z401	389	579	-
Q7Z401	42	205	-
Q96MF2	218	308	SH3 Domains
Q96MF2	87	144	-
Q9NSB8	1	115	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q9NSB8	284	352	-
Q9Y6B6	1	198	P-loop containing nucleotide triphosphate hydrolases
O94817	50	140	Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1
O60294	452	681	Kelch-type beta propeller
O60294	3	323	Vaccinia Virus protein VP39
M0QZC1	58	132	Zinc/RING finger domain, C3HC4 (zinc finger)
A0A0B4J2A2	1	164	Cyclophilin-like
P60893	4	363	Rhodopsin 7-helix transmembrane proteins
Q12959	214	315	-
Q12959	4	54	Helix hairpin bin
Q12959	585	899	SH3 Domains
Q12959	460	581	-
Q12959	743	803	Guanylate Kinase phosphate binding domain
Q12959	316	414	-
Q12959	712	893	P-loop containing nucleotide triphosphate hydrolases
O95359	2899	2947	-
Q5H9M0	463	519	-
Q5H9M0	395	462	-
Q8N7X4	280	401	MAGE homology domain, winged helix WH2 motif
Q8N7X4	166	276	MAGE homology domain, winged helix WH1 motif
P24557	28	533	Cytochrome P450
P08709	61	107	Coagulation Factor IX
P08709	225	447	Trypsin-like serine proteases
P08709	108	148	Laminin
P08709	150	212	Laminin
P08709	214	441	Trypsin-like serine proteases
Q9GZZ1	1	165	-
Q96BA8	292	339	-
Q9HBT6	60	158	Cadherins
Q9HBT6	159	267	Cadherins
Q9HBT6	386	492	Cadherins
Q9HBT6	700	796	TCF3-CBD (Catenin binding domain)
Q9HBT6	493	606	Cadherins
Q9HBT6	269	385	Cadherins
O60566	782	1042	Transferase(Phosphotransferase) domain 1
O60566	46	203	-
P55211	141	416	-
P55211	1	105	Death Domain, Fas
O75840	206	244	Classic Zinc Finger
O75840	275	302	Classic Zinc Finger
O75840	245	274	Classic Zinc Finger
O95970	40	228	Ribonuclease Inhibitor
Q86UE3	296	324	Classic Zinc Finger
Q86UE3	800	830	Classic Zinc Finger
Q86UE3	208	242	Classic Zinc Finger
Q86UE3	578	605	Classic Zinc Finger
Q86UE3	718	746	Classic Zinc Finger
Q86UE3	243	269	Classic Zinc Finger
Q86UE3	355	382	Classic Zinc Finger
Q86UE3	383	409	Classic Zinc Finger
Q86UE3	439	465	Classic Zinc Finger
Q86UE3	635	661	Classic Zinc Finger
Q86UE3	747	772	Classic Zinc Finger
Q86UE3	55	114	-
Q86UE3	410	438	Classic Zinc Finger
Q86UE3	552	577	Classic Zinc Finger
Q86UE3	270	295	Classic Zinc Finger
Q86UE3	325	354	Classic Zinc Finger
Q86UE3	466	493	Classic Zinc Finger
Q86UE3	494	521	Classic Zinc Finger
Q86UE3	606	634	Classic Zinc Finger
Q86UE3	662	689	Classic Zinc Finger
Q86UE3	773	799	Classic Zinc Finger
Q86UE3	522	551	Classic Zinc Finger
Q86UE3	690	717	Classic Zinc Finger
Q14315	762	867	Immunoglobulins
Q14315	968	1058	Immunoglobulins
Q14315	2406	2503	Immunoglobulins
Q14315	1956	2033	Immunoglobulins
Q14315	2238	2307	Immunoglobulins
Q14315	1858	1955	Immunoglobulins
Q14315	2308	2405	Immunoglobulins
Q14315	148	271	Calponin-like domain
Q14315	868	967	Immunoglobulins
Q14315	1059	1153	Immunoglobulins
Q14315	1345	1440	Immunoglobulins
Q14315	2034	2139	Immunoglobulins
Q14315	19	146	Calponin-like domain
Q14315	571	663	Immunoglobulins
Q14315	2504	2598	Immunoglobulins
Q14315	272	368	Immunoglobulins
Q14315	664	761	Immunoglobulins
Q14315	1441	1534	Immunoglobulins
Q14315	2627	2725	Immunoglobulins
Q14315	1250	1344	Immunoglobulins
Q14315	370	471	Immunoglobulins
Q14315	472	570	Immunoglobulins
Q14315	1154	1249	Immunoglobulins
Q14315	1535	1632	Immunoglobulins
Q14315	1633	1747	Immunoglobulins
Q14315	1782	1857	Immunoglobulins
O95396	334	460	Rhodanese-like domain
O95396	56	305	NAD(P)-binding Rossmann-like Domain
Q4KMP7	376	478	putative rabgap domain of human tbc1 domain family member 14 like domains
Q4KMP7	333	375	Ypt/Rab-GAP domain of gyp1p, domain 1
Q4KMP7	479	624	Ypt/Rab-GAP domain of gyp1p, domain 3
Q6ZMJ4	18	204	Interleukin-34
Q9BXM9	82	142	-
Q9BXM9	296	498	-
Q9BXM9	196	295	Immunoglobulins
P08779	150	266	Vasodilator-stimulated phosphoprotein
P08779	348	428	-
P08779	281	347	Single helix bin
Q96K17	48	105	Nascent polypeptide-associated complex domain
Q9H1D9	13	77	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
Q9H1D9	89	154	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
Q6P3W7	145	336	Transferase(Phosphotransferase) domain 1
Q6P3W7	337	610	Leucine-rich Repeat Variant
Q6P3W7	29	120	Phosphorylase Kinase; domain 1
Q96LZ2	190	319	MAGE homology domain, winged helix WH2 motif
Q96LZ2	77	189	MAGE homology domain, winged helix WH1 motif
P0DJD1	1014	1165	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
P0DJD1	1310	1469	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
P0DJD1	1	144	Tetratricopeptide repeat domain
Q9NVH1	3	97	DnaJ domain
P01768	17	117	Immunoglobulins
P0DP03	17	117	Immunoglobulins
Q02878	142	225	-
P0C7X3	25	216	Cyclin-like
Q9H2X3	216	399	Mannose-Binding Protein A, subunit A
Q9UBU7	294	334	DBF zinc finger
Q9UBU7	218	236	-
P50502	312	369	-
P50502	1	44	-
P50502	74	248	Tetratricopeptide repeat domain
A6NHG4	2	110	Macrophage Migration Inhibitory Factor
P04053	440	509	DNA polymerase, thumb domain
P04053	25	126	BRCT domain
P04053	149	242	DNA polymerase beta, N-terminal domain-like
P04053	243	301	5' to 3' exonuclease, C-terminal subdomain
P04053	302	439	Beta Polymerase, domain 2
Q6P996	331	484	-
Q6P996	109	330	Type I PLP-dependent aspartate aminotransferase-like (Major domain)
Q2M3W8	229	262	Classic Zinc Finger
Q2M3W8	1	53	-
Q2M3W8	368	398	Classic Zinc Finger
Q2M3W8	399	426	Classic Zinc Finger
Q2M3W8	317	344	Classic Zinc Finger
Q2M3W8	263	288	Classic Zinc Finger
Q2M3W8	487	513	Classic Zinc Finger
Q2M3W8	289	316	Classic Zinc Finger
Q2M3W8	514	547	Classic Zinc Finger
Q2M3W8	345	367	Classic Zinc Finger
Q2M3W8	427	457	Classic Zinc Finger
Q2M3W8	459	486	Classic Zinc Finger
Q9H252	1	138	PAS domain
Q9H252	256	515	-
Q9H252	516	557	-
Q9H252	561	720	Jelly Rolls
Q9UKP5	245	468	Collagenase (Catalytic Domain)
Q9UKP5	703	838	-
Q9UKP5	561	612	Thrombospondin type-1 (TSP1) repeat
Q9UKP5	469	560	-
Q9UKP5	842	900	Thrombospondin type-1 (TSP1) repeat
Q9UKP5	902	960	Thrombospondin type-1 (TSP1) repeat
Q9UKP5	962	1018	Thrombospondin type-1 (TSP1) repeat
Q9UKP5	1020	1076	Thrombospondin type-1 (TSP1) repeat
P05090	23	189	-
Q96G03	32	230	Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3
Q96G03	231	341	Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3
Q96G03	342	474	Alpha-D-Glucose-1,6-Bisphosphate, subunit A, domain 3
Q8WWB3	3	46	cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain
A0A087WXS9	224	356	Ypt/Rab-GAP domain of gyp1p, domain 3
A0A087WXS9	116	223	putative rabgap domain of human tbc1 domain family member 14 like domains
A0A087WXS9	76	115	Ypt/Rab-GAP domain of gyp1p, domain 1
Q14689	325	808	N-terminal domain of ligase-like
Q14689	810	929	-
Q14689	1460	1570	-
Q14689	986	1443	N-terminal domain of ligase-like
Q9H0C5	204	308	-
Q9H0C5	317	482	PHR domain
Q9H0C5	41	203	Potassium Channel Kv1.1; Chain A
B7Z8K6	2	86	Immunoglobulins
P54793	181	239	Helix hairpin bin
P54793	29	567	Alkaline Phosphatase, subunit A
P54793	435	547	-
Q16322	86	185	Potassium Channel Kv1.1; Chain A
Q16322	358	468	-
Q16322	186	357	Voltage-gated potassium channels. Chain C
Q9BUJ0	74	271	alpha/beta hydrolase
Q9UBC3	281	349	PWWP, helical domain
Q9UBC3	216	280	-
Q9UBC3	563	790	Vaccinia Virus protein VP39
Q9UBC3	791	853	Vaccinia Virus protein VP39
P14136	229	297	Single helix bin
P14136	298	377	-
P14136	105	217	Vasodilator-stimulated phosphoprotein
P59535	1	316	Rhodopsin 7-helix transmembrane proteins
Q5NUL3	33	354	Rhodopsin 7-helix transmembrane proteins
Q8IZF4	84	238	-
Q8IZF4	240	528	Rhodopsin 7-helix transmembrane proteins
Q86XR2	86	225	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q14192	1	94	Cysteine Rich Protein
Q14192	217	279	Cysteine Rich Protein
Q14192	157	216	Cysteine Rich Protein
Q14192	95	156	Cysteine Rich Protein
Q6PK81	9	69	-
Q6PK81	244	272	Classic Zinc Finger
Q6PK81	296	323	Classic Zinc Finger
Q6PK81	324	354	Classic Zinc Finger
Q6PK81	409	440	Classic Zinc Finger
Q6PK81	273	295	Classic Zinc Finger
Q6PK81	384	408	Classic Zinc Finger
Q6PK81	180	215	Classic Zinc Finger
Q6PK81	216	243	Classic Zinc Finger
Q6PK81	355	383	Classic Zinc Finger
O43913	8	174	P-loop containing nucleotide triphosphate hydrolases
A0A0B4J238	18	106	Immunoglobulins
P41271	17	132	Cystine-knot cytokines
P25685	160	243	Urease metallochaperone UreE, N-terminal domain
P25685	244	324	Urease metallochaperone UreE, N-terminal domain
P25685	2	119	DnaJ domain
O00194	5	201	P-loop containing nucleotide triphosphate hydrolases
Q6ECI4	337	364	Classic Zinc Finger
Q6ECI4	422	449	Classic Zinc Finger
Q6ECI4	450	479	Classic Zinc Finger
Q6ECI4	19	77	-
Q6ECI4	672	702	Classic Zinc Finger
Q6ECI4	562	590	Classic Zinc Finger
Q6ECI4	619	646	Classic Zinc Finger
Q6ECI4	256	281	Classic Zinc Finger
Q6ECI4	282	309	Classic Zinc Finger
Q6ECI4	310	336	Classic Zinc Finger
Q6ECI4	365	392	Classic Zinc Finger
Q6ECI4	393	421	Classic Zinc Finger
Q6ECI4	480	506	Classic Zinc Finger
Q6ECI4	507	534	Classic Zinc Finger
Q6ECI4	535	561	Classic Zinc Finger
Q6ECI4	591	618	Classic Zinc Finger
Q6ECI4	647	671	Classic Zinc Finger
Q6ECI4	226	255	Classic Zinc Finger
Q86XG9	4	101	-
Q3ZCX4	248	274	Classic Zinc Finger
Q3ZCX4	45	102	-
Q3ZCX4	221	247	Classic Zinc Finger
Q3ZCX4	609	639	Classic Zinc Finger
Q3ZCX4	303	331	Classic Zinc Finger
Q3ZCX4	387	414	Classic Zinc Finger
Q3ZCX4	443	470	Classic Zinc Finger
Q3ZCX4	583	608	Classic Zinc Finger
Q3ZCX4	415	442	Classic Zinc Finger
Q3ZCX4	527	554	Classic Zinc Finger
Q3ZCX4	332	359	Classic Zinc Finger
Q3ZCX4	500	526	Classic Zinc Finger
Q3ZCX4	360	386	Classic Zinc Finger
Q3ZCX4	555	582	Classic Zinc Finger
Q3ZCX4	275	302	Classic Zinc Finger
Q3ZCX4	471	499	Classic Zinc Finger
Q15777	1	294	-
P10632	20	490	Cytochrome P450
Q15256	361	656	Protein tyrosine phosphatase superfamily
P80162	37	114	-
Q8WUK0	37	193	Protein tyrosine phosphatase superfamily
Q9UJU3	466	498	Classic Zinc Finger
Q9UJU3	523	549	Classic Zinc Finger
Q9UJU3	550	577	Classic Zinc Finger
Q9UJU3	2	61	-
Q9UJU3	326	376	Classic Zinc Finger
Q9UJU3	380	412	Classic Zinc Finger
Q9UJU3	578	605	Classic Zinc Finger
Q9UJU3	606	633	Classic Zinc Finger
Q9UJU3	634	659	Classic Zinc Finger
Q9UJU3	831	855	Classic Zinc Finger
Q9UJU3	284	325	Classic Zinc Finger
Q9UJU3	803	830	Classic Zinc Finger
Q9UJU3	660	685	Classic Zinc Finger
