Common proteins	Only by Iupred2a	Only by Aiupred
P55055	O75113	P01036
P78386	Q3B8N5	P15391
Q07954	Q96JK2	P20774
Q13535	Q9BXR0	Q07890
Q3BBV2	Q9UJM3	Q12918
Q5VV67	Q9UN75	Q86X10
Q6P9F0	O94916	Q8IWN6
Q6PK81	P01100	Q8IXI1
Q6ZVN8	Q6ICB4	Q8NHL6
Q76I76	Q8N8Z3	Q96CM8
Q7RTV3	P54257	Q96SZ5
Q8N7R7	A2RUT3	Q9BRP4
Q8NEC7	A6NKF1	Q9NTG1
Q8NG08	P51460	Q9ULK0
Q9BYW3	Q17R55	A6NI73
Q9H5I1	Q3KNW5	O15528
Q9HCU4	Q9UBS9	O75528
Q9UH90	D6RGX4	P0C7U3
Q9UMW8	P52798	P25398
Q9Y252	Q5GLZ8	P25940
A8MQ14	Q96QU4	Q08357
O43155	O75473	Q7Z6R9
O43291	O95620	Q8N9Z9
O60242	P07333	Q8WUX1
P02748	P41143	Q96PG2
P20155	Q5W150	Q96QU8
Q06730	Q8N814	Q9BWU0
Q06732	Q8N9P0	Q9NQR9
Q0VG06	Q8NF67	Q9P2L0
Q0VGE8	A6NGY1	Q9UIB8
Q13115	Q15464	Q9UKG1
Q2QGD7	Q6ZSJ9	Q9UL18
Q5SVZ6	P63136	A0A096LP49
Q5VWM6	Q5T753	A0A5A2
Q5W0U4	Q6RVD6	A6NI61
Q6S9Z5	Q96QB1	P01871
Q6ZMQ8	Q12809	P13726
Q8IVF1	Q5VUB5	P49407
Q8N813	Q9BVS4	Q13117
Q8NER5	O94900	Q86UE6
Q8TDY4	Q6L8H1	Q8N684
Q8TER0	Q8N6U2	Q8NDC4
Q9H6E5	Q96NN9	Q8NDT2
Q9H9J4	E9PI22	Q96EX2
Q9HBE5	P22531	Q9BUA6
Q9NRE2	P55056	Q9Y2G3
Q9UBS8	Q6ZS81	A6NFC5
C9JVI0	Q86UU5	O75486
D6RBQ6	Q8WXX7	O75534
O15014	O00287	O95069
O15079	P07919	P22304
P07327	Q969T3	P40855
P56715	P46092	Q08999
Q5VW22	Q13516	Q09327
Q76L83	Q5JNZ5	Q15116
Q96CS7	Q86W56	Q5D0E6
Q9H8J5	Q8IWL2	Q5UE93
Q9NQ32	Q969W9	Q86YW7
Q9NRR2	Q9BXR3	Q8IVU3
Q9UMS6	P0DXC3	Q8NBT3
Q9Y5U5	Q8WXH6	Q92608
A0A1B0GTH6	Q9BYQ7	Q96BZ4
O00548	Q9HBB8	Q96SM3
O00755	P01732	Q9H8X2
O15537	P35368	Q9HC10
O43526	Q96N68	Q9NRX5
O43866	Q9BYQ9	Q9NZT2
O75095	A2RUB6	Q9P244
O94875	O43435	Q9ULH4
P57682	Q9BYQ4	A0A3B3IRS2
Q14584	A8MXZ3	A6NCL1
Q15139	E9PGG2	O15244
Q15910	G5E9R7	O75460
Q2KHN1	Q15517	O94956
Q68CJ9	Q5TA82	O95156
Q6ZMP0	Q9ULX3	P04216
Q6ZVT6	Q9UND3	P09543
Q6ZWJ8	O95571	P48067
Q86XK2	Q658T7	P51816
Q8IU81	Q8N8I6	P55196
Q96GW7	Q13461	Q01850
Q9BYD5	Q86YD7	Q12769
Q9P2D0	Q8N9V3	Q5K651
Q9UBX7	Q8NEA9	Q86WG5
A0A2U3TZM8	Q96EV8	Q86WS3
A0A3B3IT33	Q9ULJ1	Q8NFP7
A8MUK1	A8MXQ7	Q9UL17
Q01973	Q3ZCQ2	O00748
Q05707	Q49A92	O15050
Q14315	Q86UD7	P00519
Q15661	Q13459	P01733
Q15813	Q5VTL7	P16471
Q16671	Q9H2J1	P50151
Q38SD2	O15488	Q00532
Q4G163	Q0P670	Q13888
Q4KMG0	Q12888	Q16790
Q5W111	Q96PQ7	Q8TEA1
Q7RTY5	Q9BYQ2	Q8WVN8
Q96T88	Q9Y4B5	Q8WYQ5
Q9BTC0	A6NJQ4	Q96FL9
O75326	Q8WW24	Q96N67
P07204	Q9BQI7	Q99784
P0CH99	P46063	Q9BZQ8
P15289	P62854	Q9NSD7
P51888	P78346	Q9UHA3
Q13822	Q7Z6I6	Q9UI42
Q14314	Q9H228	Q9UJX5
Q16515	A8MWA6	O43307
Q6ZN32	P0DMB2	O43572
Q7Z407	P0DV73	O95800
Q7Z4I7	P22460	P01034
Q8TBP0	Q9NRC8	P0C7V9
Q9BR61	P23942	P11926
Q9HBH9	Q8NE31	P30511
Q9UPT8	Q9H7P9	Q14953
Q03923	P42081	Q53RY4
Q15283	Q5T036	Q5TIA1
Q3YBR2	Q5VUR7	Q63HN1
Q60I27	Q6L8H2	Q7RTS6
Q6IPT4	Q7Z5Q5	Q8WWB7
Q8N8U9	Q86VX9	Q9H0W7
Q96LM9	Q96S42	Q9P0L9
Q96P44	Q9HCH0	Q9P2J9
Q9BZR9	Q96N53	Q9UNQ0
Q9HCL3	Q96QC0	Q9Y442
Q9Y5L4	O75688	P01699
A8MT70	P0DM63	P05023
C9JJH3	P12931	P08648
O43187	Q6PI78	P30566
O75094	Q9P242	P31267
O75820	Q5T751	P50851
O95868	Q8N377	Q15437
P01178	Q99550	Q3ZCV2
P09603	A0AAG2TTZ7	Q5SRN2
P51693	P13945	Q6NUS6
Q01538	P31275	Q8IVF6
Q13129	Q0VFX4	Q8NCT3
Q14573	Q6ZPA2	Q8WTQ7
Q5T1R4	Q86YF9	Q96EY4
Q6NSW7	Q8IZ41	A1L157
Q6ZP01	Q8N271	O15056
Q86Z20	Q9GZU3	O94889
Q8NB50	Q9Y468	P14618
Q8WWW0	Q92764	P35713
Q93052	Q9BQ90	P38567
Q93084	P0C864	P49207
Q96CX6	P78368	P51861
Q96F81	Q58WW2	Q304Z4
Q9BQ31	Q92804	Q5TEJ8
Q9BXK1	P16233	Q6IQ55
Q9BY15	Q5UAW9	Q6UYE1
Q9C0C7	A0A8V8TPW1	Q8NE63
Q9P055	H3BPF8	Q8TCX5
O14867	O15218	Q96D21
O43189	Q5T8P6	Q96F07
O95644	Q9UGL9	Q96LD1
P05160	P28358	Q9H1A4
P14210	Q5GH76	Q9NR21
P35030	Q8IVE3	Q9NSK0
P43694	Q9BTL4	Q9NYL9
P59020	O00198	Q9UI36
Q15057	O76081	A2RUB1
Q16760	Q5T5B0	A6NH00
Q3SXZ3	Q86W24	O15117
Q7Z2T5	Q9Y5I0	O15194
Q7Z5L0	A0A9L9PY65	O15305
Q86YR6	A6NEL2	P26599
Q8WTU2	P14780	P85299
Q96PT3	Q5JQS6	Q13214
Q9BX93	Q8TF61	Q5JR12
Q9ULV1	Q9BZE9	Q6P5X7
O43240	Q9ULD8	Q6ZQQ6
O76015	A0A9L9PY30	Q8N302
O76031	A6NNJ1	Q96HD9
P01730	P0C7W9	Q96LA6
P08571	P30518	Q9H7J1
P0C7I0	P43681	Q9NR99
P35789	Q05586	O95757
P56277	Q5MJ70	P04198
Q07864	Q5T089	P14415
Q6ZS27	Q68CR7	Q5TYX0
Q71F56	Q8IYX8	Q86Z14
Q96HD1	Q9Y6M4	Q8N5S9
Q9BU40	C9JVW0	Q8TBZ0
Q9BV87	P63133	Q8WWN9
Q9H582	Q9ULJ6	Q92484
Q9H9S0	Q13796	Q96B67
Q9HC78	Q7L3T8	Q96CM4
Q9UET6	Q93075	Q96LA5
A3QJZ6	Q96M43	Q96RT1
A6NKQ9	D6RF30	Q99963
O00161	Q6NXE6	Q9GZU7
O60381	Q86XR5	Q9HCM9
O75132	Q9BYE4	Q9Y698
P02787	Q9UJH8	P22897
P10589	P60411	P23759
P54764	Q86UX6	P37088
Q12791	Q9NZY2	Q15834
Q15928	Q9Y6R0	Q3B7T1
Q56VL3	A0A2R8Y2Y2	Q3LI59
Q5T2Q4	A0AAG2TUQ4	Q5JTJ3
Q7Z5K2	O60658	Q6UWB1
Q8IWU6	Q92667	Q8TE12
Q8NF50	Q9NSI5	Q969M2
Q96K80	P0C7W8	Q9UHB9
Q96NW7	P0C7X0	A0A075B6H9
Q9C0G0	P35321	O14544
Q9NS68	Q5T6S3	O94844
Q9UHF5	Q8IXW0	P0C7U9
Q9UK28	Q8IZQ8	P18858
Q9UNK4	Q96QU1	P82675
Q9Y210	Q96ST8	Q14289
A0A590UJ96	Q2WGN9	Q68D06
C9JH25	Q96IL0	Q86YS6
O95436	Q96SF7	Q8WTQ4
P0CI00	Q9C0B7	Q8WYP3
P28702	Q9H2U6	Q92529
Q07912	Q2M1V0	Q96LL4
Q13077	Q8TC90	Q9NWH9
Q2VIR3	Q92585	A4D2B8
Q30KQ8	Q9BRG2	P02790
Q5TB30	E9PIF3	P16871
Q5VUG0	P14652	P21453
Q6NZ36	Q02930	P51784
Q6S8J7	Q96PG8	P60484
Q6T4R5	A8MQ03	Q14168
Q6URK8	Q14973	Q587J7
Q6ZUB0	Q2T9J0	Q5VTE6
Q7Z4Q2	Q4VXU2	Q8N4L1
Q86UZ6	Q8N3V7	Q96AT9
Q86VK4	O60911	Q96NH3
Q8IUG5	Q9NST1	Q99424
Q8N1L9	Q9Y5J7	Q9BRQ3
Q96GX1	A6NNL0	Q9H0H0
Q96PZ7	P49019	Q9NZC4
Q9BU19	Q05209	A0A075B6N4
Q9HCX3	Q15034	O00507
Q9NY15	Q6KB66	O15287
Q9UJW2	Q99932	P05231
H3BUK9	A0A8V8TNH8	P18433
O14901	A8MXV6	P55103
O94929	P0C2L3	P68366
O95704	P15173	Q50LG9
P08F94	P63132	Q8IXQ8
P22459	Q14392	Q8N103
P35913	Q96Q04	Q8NAG6
P43652	Q9NWQ4	Q8TB24
P81274	Q9NYD6	Q9H1B5
Q10472	O15027	Q9HCH3
Q13615	Q6NUM6	Q9NYK6
Q14839	Q8IVE0	Q9P104
Q68DI1	Q96KV7	P19875
Q8N9V2	O95377	P20749
Q8NEB7	P59091	P48509
Q96CA5	Q8N4T4	Q5BN46
Q96HI0	Q9UKP6	Q7RTM1
Q96JB3	Q9UKZ9	Q86V20
Q99988	P23490	Q8TAG5
Q9BYV6	P59036	Q8WWP7
Q9GZR1	Q96T59	Q96QE2
Q9H158	Q9BXJ4	Q9BZL4
Q9H1M3	A8MWP4	Q9NPF2
Q9P241	Q13639	Q9NRF2
Q9Y6L7	Q6L8G9	Q9Y3T6
A0A1W2PP97	Q6NUJ2	Q9Y606
O14639	Q6ZS46	Q9Y6G9
O15541	Q8NA96	A0AUZ9
O43597	Q9Y253	P08311
O75445	A6NNH2	P09341
P04733	Q04741	P16870
P09093	Q8IVW8	P50747
P22692	Q8N4L8	P80075
Q5JXM2	Q9HC77	Q02241
Q6UXR6	O15270	Q16594
Q6X4U4	P58549	Q6ZTR5
Q75N03	Q92886	Q7LGA3
Q7Z7G8	B3KNS4	Q7Z745
Q8N806	P51685	Q8N5U0
Q8TC27	Q86UC2	Q96EH3
Q8WYQ9	P61225	Q9UMQ6
Q9H013	Q9BYE3	Q9Y4C8
Q9H093	P17735	A6NFH5
Q9HBT6	Q96SD1	A8MTL3
Q9NP50	P0DO92	O14522
Q9NQX0	Q16667	P20742
A6NKG5	P22792	P51811
B1AJZ9	Q86W28	P78314
P00325	Q8N912	Q11130
P26010	Q9Y228	Q14966
P51689	P49798	Q5T5C0
P78334	Q6MZT1	Q7Z3Y9
P98168	Q96NA8	Q86WR6
Q14674	Q9GZW5	Q86XA9
Q147U1	A0A1B0GVY2	Q8IVW1
Q17RN3	P82921	Q8IZC4
Q5T7W0	Q13126	Q8N3C7
Q5TYW1	Q96LK8	Q8N7H5
Q5VZB9	Q9HAJ7	Q8NAA5
Q86YV5	F8WFD2	Q8TC05
Q96EG1	Q71RC1	Q8TE76
Q9BRQ0	Q9BRX9	Q99502
Q9BWF3	E9PKD4	Q9H3R1
Q9H9P5	Q05996	O00444
Q9NRY4	Q7Z4H8	O75444
Q9NYJ7	Q8NI28	P13798
Q9UBN6	A0A1B0GU33	Q08AI8
Q9UHC7	A0AAG2TWJ7	Q09019
Q9UHV7	Q5TG53	Q155Q3
Q9UKT9	Q6YL49	Q6UXV1
Q9Y282	A6NHQ4	Q8NHS4
O15156	Q5T754	Q92870
O94806	Q5XKK7	Q96KR6
P10070	Q9BT49	Q96QH8
P29597	O75712	Q9HA77
P52746	B3EWF7	Q9NR50
Q01954	O75690	Q9NXF8
Q0P6D6	Q8N3A8	Q9UHK0
Q13772	Q96MR7	Q9Y233
Q15560	O95396	B0I1T2
Q5JVG2	P11229	O43261
Q6ZN11	Q96I34	O75128
Q7RTS3	Q96KQ4	Q1EHB4
Q8N1G1	Q9H3Z4	Q6ZS62
Q8N8U3	A2RU37	Q7L0Y3
Q8NHY6	O43692	Q86T24
Q8WV24	P0CZ25	Q9BQT9
Q8WXE1	Q8NGA4	Q9BT17
Q92800	A6NGG3	Q9UBU7
Q96DN6	O14829	Q9Y4E6
Q96JM3	Q6ZP65	A6NJR5
Q96NS1	Q8NHM4	O60262
Q9C040	Q8TD20	O60879
Q9H461	Q96MY7	P36575
Q9NRS4	A0A286YF60	P36952
Q9P1T7	F5H4A9	Q0ZGT2
A6NL88	O43364	Q13324
O94851	Q12849	Q14940
P47944	Q14254	Q16828
P51587	Q2KHR2	Q2M3G0
P51828	Q2TAK8	Q6ZSR6
P56705	Q92681	Q7Z418
Q01974	Q9BXJ1	Q8IYB8
Q13075	B2CW77	Q8N7R0
Q15466	P0C7P2	Q8TC76
Q8IXZ2	P10321	Q8WWR8
Q8N812	Q4KMZ1	Q92551
Q8NEG5	Q8IVU1	Q96BN2
Q8TC21	Q96G27	Q9BYG4
Q8TD26	A0ABJ7HAP4	Q9HBL6
Q8TE54	O75330	Q9UQ72
Q9BYW2	Q8NDZ2	Q9Y258
Q9UM63	Q9H7E9	Q9Y4B4
A0A2R8Y4M4	Q5D862	A0A578
A0AAG2UXK7	Q7Z6K1	O75529
O00253	P0DMB1	O75747
O15198	A7E2F4	P04075
O94913	P0C880	P23497
P09544	Q6ZRN7	P27216
P0DPF2	Q9H172	P31997
P0DTF9	Q9UM44	P42229
P34096	Q9H1L0	Q13490
P49862	A0A0U1RRI6	Q13608
Q01151	Q9Y278	Q2PZI1
Q02833	Q8TF42	Q3SYG4
Q15042	Q8WUA4	Q5T8I3
Q3V5L5	Q92838	Q6ZRK6
Q5FWF6	Q96IK5	Q8IXF0
Q6ZNH5	O00602	Q8N5Y8
Q6ZWE6	P49795	Q93015
Q8IWT3	Q6UXB2	Q96B97
Q8N988	Q8N7S2	Q96MR6
Q969H9	Q9Y336	Q9H2F5
Q96HQ0	A0A8V8TPE2	Q9NUP7
Q96LC7	A0AAG2TUC4	Q9Y5G0
Q96MC9	O95685	O00337
Q9BWW7	Q5T7P2	O15498
Q9NRU3	Q96BH1	P06865
Q9UPX8	Q96S21	P60201
O00622	A6NFQ7	Q5RHP9
O15165	P51582	Q5VYV0
O95785	Q08050	Q6B0I6
P04003	Q14695	Q7Z2W7
P0CW18	Q96HA7	Q8N816
P13224	A0A140TA64	Q92520
P17040	O15499	Q96AX2
P56373	P83881	Q96MC4
P61129	Q9Y3A3	Q96PD4
Q14766	Q3SY05	Q96RS6
Q14831	Q5BLP8	Q9HAV4
Q15650	Q5TA78	Q9NTN9
Q6ZMY9	Q9Y4H2	Q9Y2G0
Q6ZV89	O00585	O14559
Q7L0R7	O60393	O60296
Q86TJ5	Q147X3	O60826
Q8NF86	Q15032	P27708
Q96KX2	Q9BSI4	P33402
Q96QE3	O43781	Q01740
Q9BYJ0	Q9NP72	Q15784
Q9GZT5	Q9P0K7	Q53F39
Q9Y6U7	Q9P0K9	Q5T5J6
A6NEQ0	P49640	Q6UX06
A8MUP6	Q8IYU2	Q70J99
O14905	Q92537	Q8IZ83
O15230	Q9NQG7	Q8NAT2
O15547	O15162	Q8WXF3
O60243	Q8N8A2	Q96NL0
P17031	Q92633	Q96P09
P36551	Q9BXQ6	Q9H9L3
P62736	Q9BZM3	Q9HCC8
Q0WX57	O95359	Q9HCJ3
Q15468	P54368	Q9NPG8
Q5RL73	Q06416	Q9P2E5
Q5VU36	Q6P5X5	Q9UBJ2
Q6ZVC0	Q6Q759	O15146
Q70EL2	Q8N660	O75155
Q7Z478	Q8ND76	P0C672
Q7Z6M1	Q9H8H0	Q15166
Q8N8Z8	Q9NX47	Q5JRM2
Q96EG3	Q9Y5H6	Q5T3J3
Q96JF6	P32241	Q5U651
Q9H2E6	P60827	Q6Q8B3
Q9H4D5	Q5VZI3	Q6ZTR7
A8MUZ8	O14682	Q86VE9
O94769	O15529	Q8IVJ1
O95631	O43805	Q8NC67
P02679	Q5FYB0	Q9H4B4
P08833	Q9BXI9	Q9HC96
P17032	P24864	Q9UGC7
P58215	P58512	O15205
Q2L4Q9	Q6DRA6	O75689
Q496Y0	Q8WXE9	O95400
Q5T871	P0C0E4	O95841
Q5THK1	Q6L8G5	P31512
Q6UW56	Q8NEP3	P51793
Q6ZNE9	Q9BZA8	P58062
Q7Z3D6	Q9NYF5	Q02108
Q7Z3V5	Q9UBB9	Q05048
Q8N554	A4D2P6	Q495Y8
Q8NC60	P35637	Q7KZ85
Q8TCV5	Q14213	Q86X45
Q96JP5	Q7RTU3	Q8N967
Q9H8W4	P57729	Q9NQT4
Q9HCK1	P78524	Q9P2P5
Q9NS98	Q18PE1	Q9UKI3
Q9UGU0	Q2M3A8	Q9ULC8
Q9Y4G2	O43612	Q9Y2W3
A8MVM7	Q05923	A0A0B4J240
B5MCY1	Q5UIP0	O95232
P21128	Q68DE3	P42226
P21912	Q8IU68	P49848
Q6ZS92	P54274	P82673
Q7Z5A4	Q5U623	Q08752
Q8IV63	Q6UXB0	Q8ND23
Q8WV99	Q8N100	Q8NF37
Q9BYE2	Q96MT4	Q8TCZ2
Q9ULI3	Q14190	Q8TD10
B7Z6K7	Q5VTT5	Q96GZ6
O00217	Q6L8H4	Q9NNW5
O00327	Q96B54	Q9Y272
O75129	Q9NXJ5	O00341
O75925	Q9Y5Y2	O43824
P01225	A0A286YFG1	P01599
P02462	A0A8Q3WKH5	P36956
P40126	Q15061	P55822
Q6PEX3	Q5XKL5	P57076
Q8N635	A0A6Q8PHA8	Q08708
Q96AX9	A6NMD2	Q13315
Q9BXT8	P22735	Q52LD8
Q9C035	Q13009	Q7RTT9
Q9H772	Q8N7U9	Q8N6S4
Q9HCK0	Q96PD2	Q96LX7
Q9UKR8	A0A1B0GUT2	Q96Q27
Q9UL40	A0AAG2TUQ9	Q99941
Q9Y5X4	O14633	Q9H511
A0A1B0GTH9	Q5BKY6	Q9HCF6
A0A7P0TAN4	P0C5K7	Q9UGN4
O43567	P0C7V4	O75676
O60260	Q6UXU6	P00973
P17927	Q9BQ66	P27815
P21754	A0A183	P37108
P28799	Q6XCG6	P42892
P35414	P55291	P55809
P42677	Q16655	Q00872
Q06587	Q8N9R0	Q13111
Q495A1	Q969F8	Q2PPJ7
Q6GPH4	Q9BYR4	Q6P3R8
Q6ZMV8	Q9BZA5	Q86U86
Q6ZVZ8	A0A286YEY9	Q8NA58
Q8TDX9	P31260	Q8TCJ0
Q8TF17	Q8TEC5	Q96HU1
Q93074	Q96A22	Q9BQS2
Q96FT7	A6NI86	Q9H0R6
Q96H40	A8MX19	Q9NWS1
Q96NL8	Q2VPB7	A0A1B0GX31
Q9NXL9	Q6VB84	A6NHR8
Q9UFD9	Q8IZJ4	O43896
Q9UJF2	Q8N1H7	P16389
Q9Y473	Q8TBY8	P28068
A0A1W2PPM1	Q8WYL5	P39877
A2VEC9	O14830	P41222
A6NI47	P22532	P49591
C9JN71	Q13480	P53675
O14836	Q3SYB3	Q13562
O60711	Q8IY42	Q5JPI3
P0DPK3	Q9HD26	Q5TF58
P29474	Q5BJF6	Q8NHW4
Q13398	Q6ZP68	Q8WXI9
Q13474	Q86UY8	Q96DY7
Q14393	P29074	Q9BZP6
Q6ZMV5	Q6KF10	Q9H063
Q6ZU64	Q6UX68	Q9H4K7
Q8N4W9	Q9BYT3	Q9H9E1
Q92629	Q9Y4R7	Q9UKK3
Q96LW9	Q6PIS1	O00291
Q9BX63	Q71RC9	O14920
Q9H0D6	Q8WUU8	P0C7M3
Q9H2A7	Q969Q0	P0C7P4
Q9NRA1	Q9BYR0	P13639
Q9UBF6	Q9H8X3	P16452
Q9UKP5	A6NMD0	P55072
Q9Y2J0	P31271	Q15018
Q9Y2X0	P41440	Q52MB2
Q9Y5R6	P55211	Q5K130
A0A0A6YYL3	Q3KP44	Q6R327
O95376	Q5T7P3	Q6UWF7
O95388	A6NGG8	Q6ZRR7
P00995	O60548	Q8N1G4
P02765	Q13569	Q8N456
P13497	Q8TEF2	Q8N4C6
P54753	Q8WWX0	Q8TAM2
Q02643	Q96AB6	Q969N4
Q5JTZ5	Q96E09	Q96A47
Q6H8Q1	Q9H8M5	Q96AC1
Q6PDB4	Q9NRP2	Q96FV3
Q6X784	Q9Y4X0	Q9Y4R8
Q7RTY7	A6NKC0	Q9Y6M9
Q8NCS7	A8MVA2	A0A1B0GX78
Q8NDW4	Q96B33	A6NN90
Q8NFJ8	A2RTX5	O43583
Q96HF1	P61568	Q12800
Q9H334	Q8IUE0	Q6UXY8
Q9UGI8	Q9UF47	Q7Z402
Q9UP79	Q5TA77	Q7Z6M3
Q9UPM6	Q8NB15	Q86XS8
Q9Y2Q1	Q9NZM4	Q8IUB3
A0A8I5KTY6	Q9Y2V2	Q8IUZ5
A6NNM3	Q9Y5X2	Q8N7C7
O00213	A0A0U1RR11	Q8N8A8
O14763	P05771	Q8N9Y4
O15355	Q01860	Q8NB91
P04628	Q13685	Q9BTX7
Q13133	Q3LI62	Q9BZH6
Q13402	Q9HCP0	Q9C0B1
Q17RS7	Q9NUQ3	Q9H479
Q6A163	P60412	Q9NXW2
Q6FI81	Q9BYQ6	Q9NZQ9
Q6NSI1	A0A286YF01	Q9UKD1
Q7LDG7	O95672	Q9Y2N7
Q8N587	Q6UWK7	O14786
Q8NAJ2	Q8IW50	O95715
Q8NDA2	Q8NCN4	P19320
Q8TF40	A6NCC3	P20591
Q8WY36	O00408	P50895
Q96MU6	O60303	Q15428
Q9BWX5	P0DX53	Q5T7N3
Q9NR71	Q5U4P2	Q8IWD4
Q9NYQ7	P0DSO1	Q8TDQ1
Q9NZL4	P30291	Q96L08
Q9UBT6	Q5TYW2	Q96N03
Q9Y2I2	Q9NS67	Q96ST3
A6NM66	A0A455ZAR2	Q9NZU0
O60941	A8MQB3	Q9P126
O95886	Q8IV38	Q9Y5G4
O95965	Q8N7X1	A0A1W2PQJ5
P10275	Q99593	O43670
P81408	Q9NP90	O43707
P81534	Q9Y5I2	O60688
Q01201	F8WBI6	P11387
Q13939	H3BQW9	P47224
Q15785	Q07157	P55036
Q5H913	Q71H61	P80098
Q68CP9	Q96JK9	Q13367
Q6B9Z1	Q9UPS8	Q15797
Q6UWE0	A0A0M3HER8	Q5XUX1
Q6ZMZ0	I6L899	Q6IN85
Q6ZN55	O00443	Q6P1K8
Q7Z6E9	O95998	Q7Z7F0
Q86U70	P10323	Q8IZE3
Q86Y25	Q6L8G4	Q8N6C7
Q8IWB4	Q8NDB6	Q8NB16
Q8N7Y1	P60329	Q969Q5
Q99661	Q0D2H9	Q96CW5
Q9BZR6	Q5TGY1	Q96L15
Q9H609	Q70EK8	Q96SJ8
Q9UHD1	Q8N8V8	Q9H4A4
O14649	A5PL33	Q9H981
O43609	Q9NS40	Q9UI47
O75603	Q05066	Q9Y232
P01024	Q14554	A0A0K0K1C0
P07288	Q5SXM2	A0A1B0GTS1
P10074	Q6ZR03	A0A804HLA8
P17014	Q86X29	A8MPP1
Q08AE8	E9PJI5	A8MZ36
Q5KSL6	Q15270	O95084
Q5VWQ8	Q969E1	O95299
Q6P988	Q96LC9	P07478
Q86W47	Q9UHQ1	P35625
Q8N535	Q9Y5H5	P43627
Q8NBP7	P31249	Q14117
Q8TBC5	Q02080	Q14184
Q9H0A6	Q9BZK8	Q5HYJ1
Q9H2Y9	O15225	Q5MNZ6
Q9NS73	P62273	Q5ST30
Q9Y5F7	Q96GX2	Q7Z3Z2
A0AAG2TU59	A0A286YEX9	Q8IVL5
