Only by Iupred2a	Common proteins	Only by Aiupred
Q96N19	Q76I76	A0A5A2
Q9UGC6	Q7RTV3	A6NI61
P81172	Q8N7R7	P01871
Q96GL9	Q8NEC7	Q13117
A8MUL3	Q8NG08	Q86UE6
O14513	Q9BYW3	Q96EX2
O75113	Q9H5I1	Q9BUA6
Q3B8N5	Q9HCU4	Q9Y2G3
Q96JK2	Q9UH90	P22304
Q9BXR0	Q9UMW8	Q08999
Q9UJM3	Q9Y252	Q09327
Q9UN75	A8MQ14	Q5D0E6
O94916	O43155	Q5UE93
P01100	O43291	Q86YW7
Q01151	O60242	Q8IVU3
Q6ICB4	P02748	Q8NBT3
Q8N8Z3	P20155	Q96BZ4
Q969H9	Q06730	Q96SM3
P54257	Q06732	Q9H8X2
A2RUT3	Q0VG06	Q9HC10
A6NKF1	Q0VGE8	Q9NRX5
P51460	Q13115	Q9P244
Q17R55	Q2QGD7	Q9ULH4
Q3KNW5	Q5SVZ6	A0A3B3IRS2
Q9UBS9	Q5VWM6	A6NCL1
D6RGX4	Q5W0U4	O15244
P52798	Q6S9Z5	O75460
Q5GLZ8	Q6ZMQ8	O94956
Q96QU4	Q8IVF1	O95156
O75473	Q8N813	P09543
O95620	Q8NER5	P51816
P07333	Q8TDY4	P55196
P41143	Q8TER0	Q12769
Q5W150	Q9H6E5	Q5K651
Q7Z5A4	Q9H9J4	Q86WS3
Q8N814	Q9HBE5	Q8NFP7
Q8N9P0	Q9NRE2	Q9UL17
Q8NF67	Q9UBS8	P00519
A6NGY1	C9JVI0	P01733
Q15464	D6RBQ6	P16471
Q6ZSJ9	O15014	P50151
P63136	O15079	Q00532
Q5T753	P07327	Q13888
Q6RVD6	P56715	Q8TEA1
Q96QB1	Q5VW22	Q8WVN8
P29474	Q76L83	Q8WYQ5
Q12809	Q96CS7	Q96FL9
Q5VUB5	Q9H8J5	Q96N67
Q9BVS4	Q9NQ32	Q99784
Q9H2A7	Q9NRR2	Q9BZQ8
O94900	Q9UMS6	Q9NSD7
Q5JTZ5	Q9Y5U5	Q9UHA3
Q6L8H1	A0A1B0GTH6	Q9UI42
Q8N6U2	O00548	O43307
Q96NN9	O00755	P0C7V9
E9PI22	O15537	P11926
P22531	O43526	P30511
P55056	O43866	Q14953
Q6ZS81	O75095	Q53RY4
Q86UU5	P57682	Q63HN1
Q8WXX7	Q14584	Q7RTS6
Q8WY36	Q15139	Q8WWB7
O00287	Q15910	Q9H0W7
P07919	Q2KHN1	Q9P0L9
P81534	Q68CJ9	Q9UNQ0
Q5H913	Q6ZMP0	Q9Y442
Q86U70	Q6ZVT6	P01699
Q969T3	Q6ZWJ8	P08648
P46092	Q86XK2	P31267
Q13516	Q8IU81	P50851
Q5JNZ5	Q96GW7	Q15437
Q86W56	Q9BYD5	Q3ZCV2
Q8IWL2	Q9P2D0	Q5SRN2
Q969W9	Q9UBX7	Q6NUS6
Q9BXR3	A0A2U3TZM8	Q8IVF6
K9M1U5	A0A3B3IT33	Q8NCT3
P0DXC3	A8MUK1	Q8WTQ7
Q8WXH6	Q01973	Q96EY4
Q9BYQ7	Q05707	A1L157
Q9HBB8	Q14315	O15056
A6NKU9	Q15661	O94889
P01732	Q15813	P14618
P35368	Q16671	P35713
Q96N68	Q38SD2	P38567
Q9BXU1	Q4G163	P51861
Q9BYQ9	Q4KMG0	Q6IQ55
A2RUB6	Q5W111	Q8NE63
O43435	Q7RTY5	Q8TCX5
Q9BYQ4	Q96T88	Q96D21
A8MXZ3	Q9BTC0	Q96LD1
E9PGG2	O75326	Q9NR21
G5E9R7	P07204	Q9NSK0
Q15517	P0CH99	Q9NYL9
Q5TA82	P15289	Q9UI36
Q8TB22	P51888	A2RUB1
Q9ULX3	Q13822	O15117
Q9UND3	Q14314	O15194
O95571	Q16515	P26599
Q5TGY3	Q6ZN32	P85299
Q658T7	Q7Z407	Q13214
Q8N8I6	Q7Z4I7	Q5JR12
Q13461	Q8TBP0	Q6P5X7
Q86YD7	Q9BR61	Q8N302
Q8N9V3	Q9HBH9	P14415
Q8NEA9	Q9UPT8	Q5TYX0
Q96EV8	Q03923	Q86Z14
Q9ULJ1	Q15283	Q8TBZ0
Q9Y6X2	Q3YBR2	Q96B67
A8MXQ7	Q60I27	Q96LA5
O60294	Q6IPT4	Q96RT1
Q3ZCQ2	Q8N8U9	Q9GZU7
Q49A92	Q96LM9	Q9HCM9
Q86UD7	Q96P44	P22897
Q9HBQ8	Q9BZR9	P23759
Q13459	Q9HCL3	P37088
Q5VTL7	Q9Y5L4	Q3B7T1
Q9H2J1	A8MT70	Q3LI59
O15488	C9JJH3	Q5JTJ3
Q0P670	O43187	Q6UWB1
Q12888	O75094	Q8TE12
Q96PQ7	O75820	Q969M2
Q9BYQ2	O95868	O14544
Q9Y4B5	P01178	O94844
A6NJQ4	P09603	P0C7U9
Q8WW24	P51693	P82675
Q9BQI7	Q01538	Q14289
P46063	Q13129	Q86YS6
P62854	Q14573	Q8WYP3
P78346	Q5T1R4	Q9NWH9
Q5SYE7	Q6NSW7	A4D2B8
Q7Z6I6	Q6ZP01	P02790
Q96JK4	Q86Z20	P16871
Q9H228	Q8NB50	P51784
A4IF30	Q8WWW0	P60484
A6NDI0	Q93052	Q14168
A8MWA6	Q93084	Q587J7
P0DMB2	Q96CX6	Q5VTE6
P0DV73	Q96F81	Q8N4L1
P22460	Q9BXK1	Q96AT9
Q9NRC8	Q9BY15	Q96NH3
P23942	Q9C0C7	Q99424
P49454	Q9P055	Q9BRQ3
Q8NE31	O14867	Q9NZC4
Q9BR77	O43189	A0A075B6N4
Q9H7P9	O95644	O00507
P22674	P05160	O15287
P42081	P14210	P18433
Q5T036	P35030	P55103
Q5VUR7	P43694	P68366
Q6L8H2	Q15057	Q50LG9
Q7Z5Q5	Q16760	Q8IXQ8
Q86VX9	Q3SXZ3	Q8NAG6
Q96S42	Q7Z2T5	Q8TB24
Q9H1C7	Q7Z5L0	Q9H1B5
Q9HCH0	Q86YR6	Q9NYK6
Q10469	Q8WTU2	Q9P104
Q96N53	Q9BX93	P48509
Q96PT4	Q9ULV1	Q5BN46
Q96QC0	O43240	Q7RTM1
A0AAG2TUV1	O76015	Q86V20
O75688	O76031	Q8WWP7
P0DM63	P01730	Q96QE2
P12931	P08571	Q9BZL4
Q6PI78	P0C7I0	Q9NPF2
Q9P242	P35789	Q9NRF2
Q5T751	P56277	Q9Y3T6
Q8IYW4	Q07864	A0AUZ9
Q8N377	Q6ZS27	P08311
Q99550	Q71F56	P09341
A0AAG2TTZ7	Q96HD1	P16870
P13945	Q9BU40	P50747
P28290	Q9BV87	P80075
P31275	Q9H582	Q02241
Q0VFX4	Q9H9S0	Q6ZTR5
Q6ZPA2	Q9HC78	Q7LGA3
Q86YF9	Q9UET6	Q7Z745
Q8IZ41	A3QJZ6	Q8N5U0
Q8N271	A6NKQ9	Q96EH3
Q9GZU3	O00161	Q9UMQ6
Q9Y468	O60381	A8MTL3
Q92764	O75132	O14522
Q96FZ2	P02787	Q14966
Q9BQ90	P10589	Q86WR6
P0C864	P54764	Q86XA9
P78368	Q12791	Q8IVW1
Q58WW2	Q15928	Q8IZC4
Q92804	Q56VL3	Q8N3C7
P16233	Q5T2Q4	Q8N7H5
Q5UAW9	Q7Z5K2	Q8TC05
Q70EL1	Q8IWU6	Q8TE76
Q9NY28	Q8NF50	Q08AI8
A0A8V8TPW1	Q96K80	Q09019
H3BPF8	Q96NW7	Q155Q3
O15218	Q9C0G0	Q6UXV1
Q5T8P6	Q9NS68	Q8NHS4
Q9UGL9	Q9UHF5	Q92870
P28358	Q9UK28	Q96KR6
Q5GH76	Q9UNK4	Q9NR50
Q6ZU52	Q9Y210	Q9NXF8
Q8IVE3	A0A590UJ96	Q9UHK0
Q9BTL4	C9JH25	Q9Y233
O00198	O95436	O75128
O76081	P0CI00	Q86T24
Q5T5B0	P28702	Q9BQT9
Q86W24	Q07912	Q9Y4E6
Q9Y5I0	Q13077	O60262
A0A9L9PY65	Q2VIR3	P36575
A6NEL2	Q30KQ8	Q0ZGT2
O95567	Q5TB30	Q13324
P14780	Q5VUG0	Q14940
Q5JQS6	Q6NZ36	Q16828
Q8TF61	Q6S8J7	Q2M3G0
Q9BZE9	Q6T4R5	Q7Z418
Q9ULD8	Q6URK8	Q8IYB8
A0A9L9PY30	Q6ZUB0	Q8N7R0
A6NNJ1	Q7Z4Q2	Q8WWR8
P0C7W9	Q86UZ6	Q92551
P30518	Q86VK4	Q9BYG4
P43681	Q8IUG5	Q9HBL6
Q05586	Q8N1L9	Q9UQ72
Q5MJ70	Q96GX1	Q9Y4B4
Q5T089	Q96PZ7	A0A578
Q68CR7	Q9BU19	O75529
Q8IYX8	Q9HCX3	P04075
Q9Y6M4	Q9NY15	P23497
C9JVW0	Q9UJW2	P42229
P59046	H3BUK9	Q13490
P63133	O14901	Q13608
P26640	O94929	Q3SYG4
Q6DHY5	O95704	Q6ZRK6
Q8N9X3	P08F94	Q8N5Y8
Q9ULJ6	P22459	Q93015
P25800	P35913	Q96MR6
Q13796	P43652	Q9H2F5
Q7L3T8	P81274	Q9NUP7
Q93075	Q10472	Q9Y5G0
Q96M43	Q13615	O00337
D6RF30	Q14839	Q5RHP9
Q6NXE6	Q68DI1	Q5VYV0
Q86XR5	Q8N9V2	Q6B0I6
Q9BYE4	Q8NEB7	Q7Z2W7
Q9UJH8	Q96CA5	Q8N816
P60411	Q96HI0	Q92520
Q86UX6	Q96JB3	Q96AX2
Q9NZY2	Q99988	Q96MC4
Q9Y6R0	Q9BYV6	Q96RS6
A0A2R8Y2Y2	Q9GZR1	Q9NTN9
A0AAG2TUQ4	Q9H158	Q9Y2G0
O60658	Q9H1M3	O14559
Q86UT8	Q9P241	O60296
Q92667	Q9Y6L7	O60826
Q9NSI5	A0A1W2PP97	P27708
P0C7W8	O14639	P33402
P0C7X0	O15541	Q01740
P35321	O43597	Q15784
Q5T6S3	O75445	Q53F39
Q6NUJ5	P04733	Q5T5J6
Q8IXW0	P09093	Q6UX06
Q8IZQ8	P22692	Q70J99
Q96QU1	Q5JXM2	Q8NAT2
Q96ST8	Q6UXR6	Q8WXF3
Q2WGN9	Q6X4U4	Q96P09
Q96IL0	Q75N03	Q9H9L3
Q96SF7	Q7Z7G8	Q9HCC8
Q9C0B7	Q8N806	Q9HCJ3
Q9GZP1	Q8TC27	Q9NPG8
Q9H2U6	Q8WYQ9	Q9P2E5
P07315	Q9H013	Q9UBJ2
Q2M1V0	Q9H093	O15146
Q8TC90	Q9HBT6	O75155
Q92585	Q9NP50	P0C672
Q9BRG2	Q9NQX0	Q15166
E9PIF3	A6NKG5	Q5JRM2
P14652	P00325	Q5T3J3
Q02930	P26010	Q5U651
Q96PG8	P51689	Q6ZTR7
Q9NR81	P78334	Q86VE9
A8MQ03	P98168	Q8NC67
Q14973	Q14674	Q9H4B4
Q2T9J0	Q147U1	O15205
Q4VXU2	Q17RN3	P31512
Q8N3V7	Q5T7W0	P51793
O60911	Q5TYW1	P58062
Q2KHT4	Q5VZB9	Q02108
Q9NST1	Q86YV5	Q05048
Q9UBI9	Q96EG1	Q7KZ85
Q9Y5J7	Q9BRQ0	Q86X45
A6NNL0	Q9BWF3	Q8N967
B9A6J9	Q9H9P5	Q9NQT4
P49019	Q9NRY4	Q9UKI3
P62072	Q9NYJ7	Q9ULC8
Q05209	Q9UBN6	Q9Y2W3
Q15034	Q9UHC7	A0A0B4J240
Q6KB66	Q9UHV7	P82673
Q99932	Q9UKT9	Q08752
Q9H7U1	Q9Y282	Q8ND23
A0A8V8TNH8	O15156	Q8NF37
A8MXV6	O94806	Q8TCZ2
P0C2L3	P10070	Q8TD10
P15173	P29597	Q96GZ6
P63132	P52746	Q9NNW5
Q14392	Q01954	O00341
Q8TDY8	Q0P6D6	O43824
Q96Q04	Q13772	P01599
Q9NWQ4	Q15560	P36956
Q9NYD6	Q5JVG2	P55822
O15027	Q6ZN11	Q08708
Q6NUM6	Q7RTS3	Q13315
Q8IVE0	Q8N1G1	Q7RTT9
Q96KV7	Q8N8U3	Q96LX7
O95377	Q8NHY6	Q96Q27
P13598	Q8WV24	Q99941
P59091	Q8WXE1	Q9H511
Q8N4T4	Q92800	Q9HCF6
Q9UKP6	Q96DN6	Q9UGN4
Q9UKZ9	Q96JM3	O75676
O15273	Q96NS1	P00973
P01229	Q9C040	P42892
P23490	Q9H461	P55809
P59036	Q9NRS4	Q00872
Q96IZ6	Q9P1T7	Q13111
Q96T59	A6NL88	Q2PPJ7
Q9BXJ4	O94851	Q6P3R8
A8MWP4	P47944	Q8NA58
Q13639	P51587	Q8TCJ0
Q6L8G9	P51828	Q96HU1
Q6NUJ2	P56705	Q9BQS2
Q6ZS46	Q01974	Q9H0R6
Q8NA96	Q13075	Q9NWS1
Q9Y253	Q15466	A0A1B0GX31
A6NNH2	Q8IXZ2	A6NHR8
Q04741	Q8N812	O43896
Q12829	Q8NEG5	P16389
Q8IVW8	Q8TC21	P39877
Q8N4L8	Q8TD26	P53675
Q9HC77	Q8TE54	Q13562
Q9NTI5	Q9BYW2	Q5JPI3
Q9P267	Q9UM63	Q8NHW4
O15270	A0A2R8Y4M4	Q8WXI9
P58549	A0AAG2UXK7	Q96DY7
Q92886	O00253	Q9BZP6
Q9H019	O15198	Q9H063
B3KNS4	O94913	Q9H9E1
P51685	P09544	Q9UKK3
Q499Z3	P0DPF2	O00291
Q86UC2	P0DTF9	P0C7M3
P31391	P34096	P13639
P61225	P49862	P16452
Q9BYE3	Q02833	P55072
P17735	Q15042	Q15018
Q96SD1	Q3V5L5	Q52MB2
P0DO92	Q5FWF6	Q5K130
Q16667	Q6ZNH5	Q6R327
Q96AG4	Q6ZWE6	Q6UWF7
O60671	Q8IWT3	Q8N1G4
P22792	Q8N988	Q8N456
Q86W28	Q96HQ0	Q8N4C6
Q8N912	Q96LC7	Q8TAM2
Q9Y228	Q96MC9	Q96A47
P49798	Q9BWW7	Q96AC1
Q6MZT1	Q9NRU3	Q96FV3
Q96NA8	Q9UPX8	A0A1B0GX78
Q9GZW5	O00622	A6NN90
A0A1B0GVY2	O15165	O43583
O14921	O95785	Q6UXY8
P82921	P04003	Q7Z6M3
Q13126	P0CW18	Q86XS8
Q96LK8	P13224	Q8IUB3
Q9HAJ7	P17040	Q8N7C7
F8WFD2	P56373	Q8N8A8
Q2M3R5	P61129	Q8N9Y4
Q71RC1	Q14766	Q8NB91
Q9BRX9	Q14831	Q9BTX7
E9PKD4	Q15650	Q9C0B1
Q05996	Q6ZMY9	Q9H479
Q56NI9	Q6ZV89	Q9UKD1
Q7Z4H8	Q7L0R7	Q9Y2N7
Q8N4Y2	Q86TJ5	O14786
Q8NI28	Q8NF86	P19320
Q9Y2G9	Q96KX2	P20591
A0A1B0GU33	Q96QE3	P50895
A0AAG2TWJ7	Q9BYJ0	Q5T7N3
Q5TG53	Q9GZT5	Q8IWD4
Q6YL49	Q9Y6U7	Q8TDQ1
Q9BUK0	A6NEQ0	Q96N03
A6NHQ4	A8MUP6	Q96ST3
Q16288	O14905	Q9Y5G4
Q5T754	O15230	A0A1W2PQJ5
Q5XKK7	O15547	O43670
Q9BT49	O60243	O43707
O75712	P17031	O60688
Q96PR1	P36551	P11387
B3EWF7	P62736	P55036
O75690	Q0WX57	P80098
Q8N3A8	Q15468	Q13367
Q96MR7	Q5RL73	Q15797
Q9NZJ4	Q5VU36	Q5XUX1
O95396	Q6ZVC0	Q6P1K8
P11229	Q70EL2	Q8IZE3
Q68DA7	Q7Z478	Q8N6C7
Q96I34	Q7Z6M1	Q969Q5
Q96KQ4	Q8N8Z8	Q9H4A4
Q9H3Z4	Q96EG3	Q9H981
A2RU37	Q96JF6	Q9UI47
O43692	Q9H2E6	Q9Y232
P0CZ25	Q9H4D5	A0A0K0K1C0
Q8NGA4	A8MUZ8	A0A1B0GTS1
Q9C000	O94769	A8MPP1
A6NGG3	O95631	O95084
O14829	P02679	P07478
Q6ZP65	P08833	P35625
Q8NHM4	P17032	P43627
Q8TD20	P58215	Q14117
Q96MY7	Q2L4Q9	Q14184
A0A286YF60	Q496Y0	Q5MNZ6
F5H4A9	Q5T871	Q8IVL5
O43364	Q5THK1	Q9BTD8
Q12849	Q6UW56	Q9BX26
Q14254	Q6ZNE9	Q9H3U1
Q2KHR2	Q7Z3D6	Q9NP71
Q2TAK8	Q7Z3V5	O00139
Q92681	Q8N554	O15020
Q9BXJ1	Q8NC60	O60469
B2CW77	Q8TCV5	Q14451
P0C7P2	Q96JP5	Q7Z7L1
P10321	Q9H8W4	Q86UW6
Q4KMZ1	Q9HCK1	Q8N5L8
Q8IVU1	Q9NS98	Q96PV0
Q96G27	Q9UGU0	Q99259
Q96RP8	Q9Y4G2	Q9HA90
A0ABJ7HAP4	A8MVM7	Q9Y615
O75330	B5MCY1	P06734
O75694	P21128	P0DJG4
Q7Z3E5	P21912	P21980
Q8NDZ2	Q6ZS92	P45844
Q9H7E9	Q8IV63	Q15345
Q5D862	Q8WV99	Q6P2D8
Q7Z6K1	Q9BYE2	Q7L8L6
P0DMB1	Q9ULI3	Q7Z4S6
Q13625	B7Z6K7	Q8NE62
A7E2F4	O00217	Q8NFZ3
P0C880	O00327	Q8TCC7
Q6ZRN7	O75129	Q8WXH2
Q9H172	O75925	Q9BXC9
Q9UM44	P01225	Q9NZM3
Q9H1L0	P02462	Q9UHH9
A0A0U1RRI6	P40126	D3W0D1
Q9Y278	Q6PEX3	P13500
Q9Y4B6	Q8N635	P19525
Q49AR2	Q96AX9	P22102
Q8TF42	Q9BXT8	Q5VWI1
Q8WUA4	Q9C035	Q8NB37
Q92838	Q9H772	Q8WZ79
Q96IK5	Q9HCK0	Q96AE4
O00602	Q9UKR8	Q9BYZ8
P49795	Q9UL40	Q9H1P6
Q2NKQ1	Q9Y5X4	Q9NP73
Q6UXB2	A0A1B0GTH9	Q9NWS6
Q8N7S2	A0A7P0TAN4	A6NJ88
Q9Y336	O43567	O75061
A0A8V8TPE2	O60260	O75596
A0AAG2TUC4	P17927	P06731
O95685	P21754	P57052
Q5T7P2	P28799	P78330
Q96BH1	P35414	Q15334
Q96S21	P42677	Q16878
A6NFQ7	Q06587	Q8NA54
P49759	Q495A1	Q96DZ1
P51582	Q6GPH4	Q96EN8
Q08050	Q6ZMV8	Q96T49
Q14695	Q6ZVZ8	Q9H4I2
Q711Q0	Q8TDX9	Q9P2B2
Q96HA7	Q8TF17	Q9UQR0
A0A140TA64	Q93074	Q9Y5F8
O15499	Q96FT7	O14640
P83881	Q96H40	O15266
Q9Y3A3	Q96NL8	O43290
Q3SY05	Q9NXL9	P0C025
Q5BLP8	Q9UFD9	Q14449
Q5TA78	Q9UJF2	Q15389
Q6UWX4	Q9Y473	Q86WK6
Q8WXI4	A0A1W2PPM1	Q96D09
Q93099	A2VEC9	Q96FS4
Q9H8Y5	A6NI47	Q96L94
Q9Y4H2	C9JN71	Q9P0J6
O00585	O14836	Q9UKJ5
O60393	O60711	A0A075B6J6
Q147X3	P0DPK3	A0A5F9Z9Y6
Q15032	Q13398	A0A8I5KXM2
Q9BSI4	Q13474	A6NDD5
Q9NSV4	Q14393	O76083
O43781	Q6ZMV5	O95760
Q9NP72	Q6ZU64	P01111
Q9P0K7	Q8N4W9	P62955
Q9P0K9	Q92629	Q15149
P49640	Q96LW9	Q5JST6
Q8IYU2	Q9BX63	Q6AI39
Q92537	Q9H0D6	Q96SB8
Q9NQG7	Q9NRA1	Q9BX73
O15162	Q9UBF6	Q9BZC1
Q8N8A2	Q9UKP5	Q9H2U2
Q92633	Q9Y2J0	O43525
Q9BXQ6	Q9Y2X0	P01718
Q9BZM3	Q9Y5R6	P0DJJ0
O95359	A0A0A6YYL3	Q13621
P54368	O95376	Q8TAM1
Q06416	O95388	Q92614
Q6P5X5	P00995	Q9BQF6
Q6Q759	P02765	Q9H2P9
Q8N660	P13497	Q9UBI6
Q8N819	P54753	Q9UI33
Q8ND76	Q02643	Q9Y371
Q9H8H0	Q6H8Q1	Q9Y5E6
C9JL84	Q6PDB4	O43395
Q96HC4	Q6X784	O75607
Q9NTQ9	Q7RTY7	Q12797
Q9NX47	Q8NCS7	Q13395
Q9UG22	Q8NDW4	Q14CB8
Q9Y5H6	Q8NFJ8	Q16553
P32241	Q96HF1	Q5JTZ9
P60827	Q9H334	Q6NTF7
Q5VZI3	Q9UGI8	Q86T65
Q9H2Y7	Q9UP79	Q96PZ2
O14682	Q9UPM6	Q9NY59
O15529	Q9Y2Q1	O43663
O43805	A0A8I5KTY6	O60462
Q5FYB0	A6NNM3	O95819
Q9BXI9	O00213	P26045
P24864	O14763	P29459
P58512	O15355	P48506
Q6DRA6	P04628	P78563
Q8WXE9	Q13133	Q12756
H7C350	Q13402	Q16586
P0C0E4	Q17RS7	Q5TCQ9
Q6L8G5	Q6A163	Q6P158
Q8NEP3	Q6FI81	Q6ZN28
Q9BZA8	Q6NSI1	Q86Y79
Q9NYF5	Q7LDG7	Q8N4M1
Q9UBB9	Q8N587	Q8TF44
Q9Y2X7	Q8NAJ2	Q96EV2
A4D2P6	Q8NDA2	Q9HBJ7
P35637	Q8TF40	Q9NR80
Q14213	Q96MU6	Q9NZU1
Q7RTU3	Q9BWX5	Q9UNX4
A6NER0	Q9NR71	A0A5F9ZHS7
P57729	Q9NYQ7	O14497
P78524	Q9NZL4	P05165
Q18PE1	Q9UBT6	P10147
Q2M3A8	Q9Y2I2	P11150
O00555	A6NM66	Q14679
O43612	O60941	Q15361
P53355	O95886	Q16576
Q05923	O95965	Q8N3X1
Q5UIP0	P10275	Q8WTZ4
Q68DE3	P81408	Q96RN5
Q7Z4M0	Q01201	Q9BRT2
Q8IU68	Q13939	Q9BUM1
Q9HB09	Q15785	Q9C0K1
P54274	Q68CP9	Q9H0Q0
Q5U623	Q6B9Z1	O60437
Q6UXB0	Q6UWE0	P26368
Q8N100	Q6ZMZ0	P36896
Q96MT4	Q6ZN55	P68543
Q14190	Q7Z6E9	Q7Z3Y7
Q5VTT5	Q86Y25	Q8WXF8
Q6L8H4	Q8IWB4	Q92750
Q96B54	Q8N7Y1	Q9NRR6
Q9NXJ5	Q99661	Q9P2G4
Q9Y5Y2	Q9BZR6	Q9Y240
A0A087WXS9	Q9H609	A8MYP8
A0A286YFG1	Q9UHD1	P09960
A0A8Q3WKH5	O14649	P41134
P0C7U0	O43609	Q13423
Q15061	O75603	Q2KHT3
Q5XKL5	P01024	Q4VC12
A0A6Q8PHA8	P07288	Q5T5U3
A6NMD2	P10074	Q5TIE3
D6RGH6	P17014	Q5W5W9
P22735	Q08AE8	Q8NEM7
Q13009	Q5KSL6	Q8TEM1
Q8N7U9	Q5VWQ8	Q92817
Q96G01	Q6P988	Q96S38
Q96PD2	Q86W47	Q9C0C9
Q9BXL5	Q8N535	A6NKX4
A0A1B0GUT2	Q8NBP7	O60266
A0AAG2TUQ9	Q8TBC5	O95170
O14633	Q9H0A6	P50549
P15509	Q9H2Y9	P54296
Q5BKY6	Q9NS73	Q6NUQ4
Q8TCH9	Q9Y5F7	Q8NHK3
P0C5K7	A0AAG2TU59	Q96EF0
P0C7V4	A6NDE4	Q96GI7
Q6UXU6	O43309	A0A1W2PRS3
Q9BQ66	P00747	O75970
A0A183	P22079	O95838
Q6XCG6	P32239	P00441
P55291	P80370	P05026
Q16655	Q03403	P13196
Q8N9R0	Q17RY6	P43405
Q8TEV8	Q6UXH9	Q5H9F3
Q969F8	Q6ZVN7	Q5M775
Q99590	Q7Z3F1	Q5VST6
Q9BYR4	Q7Z6I5	Q7Z6W7
Q9BZA5	Q7Z6J4	Q9UMD9
A0A286YEY9	Q8IWY8	Q9Y6X9
P31260	Q8N2W9	P09936
Q8TEC5	Q8WWZ7	P13688
Q96A22	Q96N77	P17213
A6NI86	Q9NZR2	Q12789
A8MX19	Q9UDY6	Q13433
