Common proteins	Only by Iupred2a	Only by Aiupred
Q9BZR9	Q9HBQ8	P23759
Q9HCL3	Q13459	P37088
Q9Y5L4	Q5VTL7	Q3B7T1
A8MT70	Q9H2J1	Q3LI59
C9JJH3	O15488	Q5JTJ3
O43187	Q0P670	Q6UWB1
O75094	Q12888	Q8TE12
O75820	Q96PQ7	Q969M2
O95868	Q9BYQ2	O14544
P01178	Q9Y4B5	O94844
P09603	A6NJQ4	P0C7U9
P51693	Q8WW24	P82675
Q01538	Q9BQI7	Q14289
Q13129	P46063	Q86YS6
Q14573	P62854	Q8WYP3
Q5T1R4	P78346	Q9NWH9
Q6NSW7	Q5SYE7	A4D2B8
Q6ZP01	Q7Z6I6	P02790
Q86Z20	Q96JK4	P16871
Q8NB50	Q9H228	P51784
Q8WWW0	A4IF30	P60484
Q93052	A6NDI0	Q14168
Q93084	A8MWA6	Q587J7
Q96CX6	P0DMB2	Q5VTE6
Q96F81	P0DV73	Q8N4L1
Q9BXK1	P22460	Q96AT9
Q9BY15	Q9NRC8	Q96NH3
Q9C0C7	P23942	Q99424
Q9P055	P49454	Q9BRQ3
O14867	Q8NE31	Q9NZC4
O43189	Q9BR77	A0A075B6N4
O95644	Q9H7P9	O00507
P05160	P22674	O15287
P14210	P42081	P18433
P35030	Q5T036	P55103
P43694	Q5VUR7	P68366
Q15057	Q6L8H2	Q50LG9
Q16760	Q7Z5Q5	Q8IXQ8
Q3SXZ3	Q86VX9	Q8NAG6
Q7Z2T5	Q96S42	Q8TB24
Q7Z5L0	Q9H1C7	Q9H1B5
Q86YR6	Q9HCH0	Q9NYK6
Q8WTU2	Q10469	Q9P104
Q9BX93	Q96N53	P48509
Q9ULV1	Q96PT4	Q5BN46
O43240	Q96QC0	Q7RTM1
O76015	A0AAG2TUV1	Q86V20
O76031	O75688	Q8WWP7
P01730	P0DM63	Q96QE2
P08571	P12931	Q9BZL4
P0C7I0	Q6PI78	Q9NPF2
P35789	Q9P242	Q9NRF2
P56277	Q5T751	Q9Y3T6
Q07864	Q8IYW4	A0AUZ9
Q6ZS27	Q8N377	P08311
Q71F56	Q99550	P09341
Q96HD1	A0AAG2TTZ7	P16870
Q9BU40	P13945	P50747
Q9BV87	P28290	P80075
Q9H582	P31275	Q02241
Q9H9S0	Q0VFX4	Q6ZTR5
Q9HC78	Q6ZPA2	Q7LGA3
Q9UET6	Q86YF9	Q7Z745
A3QJZ6	Q8IZ41	Q8N5U0
A6NKQ9	Q8N271	Q96EH3
O00161	Q9GZU3	Q9UMQ6
O60381	Q9Y468	A8MTL3
O75132	Q92764	O14522
P02787	Q96FZ2	Q14966
P10589	Q9BQ90	Q86WR6
P54764	P0C864	Q86XA9
Q12791	P78368	Q8IVW1
Q15928	Q58WW2	Q8IZC4
Q56VL3	Q92804	Q8N3C7
Q5T2Q4	P16233	Q8N7H5
Q7Z5K2	Q5UAW9	Q8TC05
Q8IWU6	Q70EL1	Q8TE76
Q8NF50	Q9NY28	Q08AI8
Q96K80	A0A8V8TPW1	Q09019
Q96NW7	H3BPF8	Q155Q3
Q9C0G0	O15218	Q6UXV1
Q9NS68	Q5T8P6	Q8NHS4
Q9UHF5	Q9UGL9	Q92870
Q9UK28	P28358	Q96KR6
Q9UNK4	Q5GH76	Q9NR50
Q9Y210	Q6ZU52	Q9NXF8
A0A590UJ96	Q8IVE3	Q9UHK0
C9JH25	Q9BTL4	Q9Y233
O95436	O00198	O75128
P0CI00	O76081	Q86T24
P28702	Q5T5B0	Q9BQT9
Q07912	Q86W24	Q9Y4E6
Q13077	Q9Y5I0	O60262
Q2VIR3	A0A9L9PY65	P36575
Q30KQ8	A6NEL2	Q0ZGT2
Q5TB30	O95567	Q13324
Q5VUG0	P14780	Q14940
Q6NZ36	Q5JQS6	Q16828
Q6S8J7	Q8TF61	Q2M3G0
Q6T4R5	Q9BZE9	Q7Z418
Q6URK8	Q9ULD8	Q8IYB8
Q6ZUB0	A0A9L9PY30	Q8N7R0
Q7Z4Q2	A6NNJ1	Q8WWR8
Q86UZ6	P0C7W9	Q92551
Q86VK4	P30518	Q9BYG4
Q8IUG5	P43681	Q9HBL6
Q8N1L9	Q05586	Q9UQ72
Q96GX1	Q5MJ70	Q9Y4B4
Q96PZ7	Q5T089	A0A578
Q9BU19	Q68CR7	O75529
Q9HCX3	Q8IYX8	P04075
Q9NY15	Q9Y6M4	P23497
Q9UJW2	C9JVW0	P42229
H3BUK9	P59046	Q13490
O14901	P63133	Q13608
O94929	P26640	Q3SYG4
O95704	Q6DHY5	Q6ZRK6
P08F94	Q8N9X3	Q8N5Y8
P22459	Q9ULJ6	Q93015
P35913	P25800	Q96MR6
P43652	Q13796	Q9H2F5
P81274	Q7L3T8	Q9NUP7
Q10472	Q93075	Q9Y5G0
Q13615	Q96M43	O00337
Q14839	D6RF30	Q5RHP9
Q68DI1	Q6NXE6	Q5VYV0
Q8N9V2	Q86XR5	Q6B0I6
Q8NEB7	Q9BYE4	Q7Z2W7
Q96CA5	Q9UJH8	Q8N816
Q96HI0	P60411	Q92520
Q96JB3	Q86UX6	Q96AX2
Q99988	Q9NZY2	Q96MC4
Q9BYV6	Q9Y6R0	Q96RS6
Q9GZR1	A0A2R8Y2Y2	Q9NTN9
Q9H158	A0AAG2TUQ4	Q9Y2G0
Q9H1M3	O60658	O14559
Q9P241	Q86UT8	O60296
Q9Y6L7	Q92667	O60826
A0A1W2PP97	Q9NSI5	P27708
O14639	P0C7W8	P33402
O15541	P0C7X0	Q01740
O43597	P35321	Q15784
O75445	Q5T6S3	Q53F39
P04733	Q6NUJ5	Q5T5J6
P09093	Q8IXW0	Q6UX06
P22692	Q8IZQ8	Q70J99
Q5JXM2	Q96QU1	Q8NAT2
Q6UXR6	Q96ST8	Q8WXF3
Q6X4U4	Q2WGN9	Q96P09
Q75N03	Q96IL0	Q9H9L3
Q7Z7G8	Q96SF7	Q9HCC8
Q8N806	Q9C0B7	Q9HCJ3
Q8TC27	Q9GZP1	Q9NPG8
Q8WYQ9	Q9H2U6	Q9P2E5
Q9H013	P07315	Q9UBJ2
Q9H093	Q2M1V0	O15146
Q9HBT6	Q8TC90	O75155
Q9NP50	Q92585	P0C672
Q9NQX0	Q9BRG2	Q15166
A6NKG5	E9PIF3	Q5JRM2
P00325	P14652	Q5T3J3
P26010	Q02930	Q5U651
P51689	Q96PG8	Q6ZTR7
P78334	Q9NR81	Q86VE9
P98168	A8MQ03	Q8NC67
Q14674	Q14973	Q9H4B4
Q147U1	Q2T9J0	O15205
Q17RN3	Q4VXU2	P31512
Q5T7W0	Q8N3V7	P51793
Q5TYW1	O60911	P58062
Q5VZB9	Q2KHT4	Q02108
Q86YV5	Q9NST1	Q05048
Q96EG1	Q9UBI9	Q7KZ85
Q9BRQ0	Q9Y5J7	Q86X45
Q9BWF3	A6NNL0	Q8N967
Q9H9P5	B9A6J9	Q9NQT4
Q9NRY4	P49019	Q9UKI3
Q9NYJ7	P62072	Q9ULC8
Q9UBN6	Q05209	Q9Y2W3
Q9UHC7	Q15034	A0A0B4J240
Q9UHV7	Q6KB66	P82673
Q9UKT9	Q99932	Q08752
Q9Y282	Q9H7U1	Q8ND23
O15156	A0A8V8TNH8	Q8NF37
O94806	A8MXV6	Q8TCZ2
P10070	P0C2L3	Q8TD10
P29597	P15173	Q96GZ6
P52746	P63132	Q9NNW5
Q01954	Q14392	O00341
Q0P6D6	Q8TDY8	O43824
Q13772	Q96Q04	P01599
Q15560	Q9NWQ4	P36956
Q5JVG2	Q9NYD6	P55822
Q6ZN11	O15027	Q08708
Q7RTS3	Q6NUM6	Q13315
Q8N1G1	Q8IVE0	Q7RTT9
Q8N8U3	Q96KV7	Q96LX7
Q8NHY6	O95377	Q96Q27
Q8WV24	P13598	Q99941
Q8WXE1	P59091	Q9H511
Q92800	Q8N4T4	Q9HCF6
Q96DN6	Q9UKP6	Q9UGN4
Q96JM3	Q9UKZ9	O75676
Q96NS1	O15273	P00973
Q9C040	P01229	P42892
Q9H461	P23490	P55809
Q9NRS4	P59036	Q00872
Q9P1T7	Q96IZ6	Q13111
A6NL88	Q96T59	Q2PPJ7
O94851	Q9BXJ4	Q6P3R8
P47944	A8MWP4	Q8NA58
P51587	Q13639	Q8TCJ0
P51828	Q6L8G9	Q96HU1
P56705	Q6NUJ2	Q9BQS2
Q01974	Q6ZS46	Q9H0R6
Q13075	Q8NA96	Q9NWS1
Q15466	Q9Y253	A0A1B0GX31
Q8IXZ2	A6NNH2	A6NHR8
Q8N812	Q04741	O43896
Q8NEG5	Q12829	P16389
Q8TC21	Q8IVW8	P39877
Q8TD26	Q8N4L8	P53675
Q8TE54	Q9HC77	Q13562
Q9BYW2	Q9NTI5	Q5JPI3
Q9UM63	Q9P267	Q8NHW4
A0A2R8Y4M4	O15270	Q8WXI9
A0AAG2UXK7	P58549	Q96DY7
O00253	Q92886	Q9BZP6
O15198	Q9H019	Q9H063
O94913	B3KNS4	Q9H9E1
P09544	P51685	Q9UKK3
P0DPF2	Q499Z3	O00291
P0DTF9	Q86UC2	P0C7M3
P34096	P31391	P13639
P49862	P61225	P16452
Q02833	Q9BYE3	P55072
Q15042	P17735	Q15018
Q3V5L5	Q96SD1	Q52MB2
Q5FWF6	P0DO92	Q5K130
Q6ZNH5	Q16667	Q6R327
Q6ZWE6	Q96AG4	Q6UWF7
Q8IWT3	O60671	Q8N1G4
Q8N988	P22792	Q8N456
Q96HQ0	Q86W28	Q8N4C6
Q96LC7	Q8N912	Q8TAM2
Q96MC9	Q9Y228	Q96A47
Q9BWW7	P49798	Q96AC1
Q9NRU3	Q6MZT1	Q96FV3
Q9UPX8	Q96NA8	A0A1B0GX78
O00622	Q9GZW5	A6NN90
O15165	A0A1B0GVY2	O43583
O95785	O14921	Q6UXY8
P04003	P82921	Q7Z6M3
P0CW18	Q13126	Q86XS8
P13224	Q96LK8	Q8IUB3
P17040	Q9HAJ7	Q8N7C7
P56373	F8WFD2	Q8N8A8
P61129	Q2M3R5	Q8N9Y4
Q14766	Q71RC1	Q8NB91
Q14831	Q9BRX9	Q9BTX7
Q15650	E9PKD4	Q9C0B1
Q6ZMY9	Q05996	Q9H479
Q6ZV89	Q56NI9	Q9UKD1
Q7L0R7	Q7Z4H8	Q9Y2N7
Q86TJ5	Q8N4Y2	O14786
Q8NF86	Q8NI28	P19320
Q96KX2	Q9Y2G9	P20591
Q96QE3	A0A1B0GU33	P50895
Q9BYJ0	A0AAG2TWJ7	Q5T7N3
Q9GZT5	Q5TG53	Q8IWD4
Q9Y6U7	Q6YL49	Q8TDQ1
A6NEQ0	Q9BUK0	Q96N03
A8MUP6	A6NHQ4	Q96ST3
O14905	Q16288	Q9Y5G4
O15230	Q5T754	A0A1W2PQJ5
O15547	Q5XKK7	O43670
O60243	Q9BT49	O43707
P17031	O75712	O60688
P36551	Q96PR1	P11387
P62736	B3EWF7	P55036
Q0WX57	O75690	P80098
Q15468	Q8N3A8	Q13367
Q5RL73	Q96MR7	Q15797
Q5VU36	Q9NZJ4	Q5XUX1
Q6ZVC0	O95396	Q6P1K8
Q70EL2	P11229	Q8IZE3
Q7Z478	Q68DA7	Q8N6C7
Q7Z6M1	Q96I34	Q969Q5
Q8N8Z8	Q96KQ4	Q9H4A4
Q96EG3	Q9H3Z4	Q9H981
Q96JF6	A2RU37	Q9UI47
Q9H2E6	O43692	Q9Y232
Q9H4D5	P0CZ25	A0A0K0K1C0
A8MUZ8	Q8NGA4	A0A1B0GTS1
O94769	Q9C000	A8MPP1
O95631	A6NGG3	O95084
P02679	O14829	P07478
P08833	Q6ZP65	P35625
P17032	Q8NHM4	P43627
P58215	Q8TD20	Q14117
Q2L4Q9	Q96MY7	Q14184
Q496Y0	A0A286YF60	Q5MNZ6
Q5T871	F5H4A9	Q8IVL5
Q5THK1	O43364	Q9BTD8
Q6UW56	Q12849	Q9BX26
Q6ZNE9	Q14254	Q9H3U1
Q7Z3D6	Q2KHR2	Q9NP71
Q7Z3V5	Q2TAK8	O00139
Q8N554	Q92681	O15020
Q8NC60	Q9BXJ1	O60469
Q8TCV5	B2CW77	Q14451
Q96JP5	P0C7P2	Q7Z7L1
Q9H8W4	P10321	Q86UW6
Q9HCK1	Q4KMZ1	Q8N5L8
Q9NS98	Q8IVU1	Q96PV0
Q9UGU0	Q96G27	Q99259
Q9Y4G2	Q96RP8	Q9HA90
A8MVM7	A0ABJ7HAP4	Q9Y615
B5MCY1	O75330	P06734
P21128	O75694	P0DJG4
P21912	Q7Z3E5	P21980
Q6ZS92	Q8NDZ2	P45844
Q8IV63	Q9H7E9	Q15345
Q8WV99	Q5D862	Q6P2D8
Q9BYE2	Q7Z6K1	Q7L8L6
Q9ULI3	P0DMB1	Q7Z4S6
B7Z6K7	Q13625	Q8NE62
O00217	A7E2F4	Q8NFZ3
O00327	P0C880	Q8TCC7
O75129	Q6ZRN7	Q8WXH2
O75925	Q9H172	Q9BXC9
P01225	Q9UM44	Q9NZM3
P02462	Q9H1L0	Q9UHH9
P40126	A0A0U1RRI6	D3W0D1
Q6PEX3	Q9Y278	P13500
Q8N635	Q9Y4B6	P19525
Q96AX9	Q49AR2	P22102
Q9BXT8	Q8TF42	Q5VWI1
Q9C035	Q8WUA4	Q8NB37
Q9H772	Q92838	Q8WZ79
Q9HCK0	Q96IK5	Q96AE4
Q9UKR8	O00602	Q9BYZ8
Q9UL40	P49795	Q9H1P6
Q9Y5X4	Q2NKQ1	Q9NP73
A0A1B0GTH9	Q6UXB2	Q9NWS6
A0A7P0TAN4	Q8N7S2	A6NJ88
O43567	Q9Y336	O75061
O60260	A0A8V8TPE2	O75596
P17927	A0AAG2TUC4	P06731
P21754	O95685	P57052
P28799	Q5T7P2	P78330
P35414	Q96BH1	Q15334
P42677	Q96S21	Q16878
Q06587	A6NFQ7	Q8NA54
Q495A1	P49759	Q96DZ1
Q6GPH4	P51582	Q96EN8
Q6ZMV8	Q08050	Q96T49
Q6ZVZ8	Q14695	Q9H4I2
Q8TDX9	Q711Q0	Q9P2B2
Q8TF17	Q96HA7	Q9UQR0
Q93074	A0A140TA64	Q9Y5F8
Q96FT7	O15499	O14640
Q96H40	P83881	O15266
Q96NL8	Q9Y3A3	O43290
Q9NXL9	Q3SY05	P0C025
Q9UFD9	Q5BLP8	Q14449
Q9UJF2	Q5TA78	Q15389
Q9Y473	Q6UWX4	Q86WK6
A0A1W2PPM1	Q8WXI4	Q96D09
A2VEC9	Q93099	Q96FS4
A6NI47	Q9H8Y5	Q96L94
C9JN71	Q9Y4H2	Q9P0J6
O14836	O00585	Q9UKJ5
O60711	O60393	A0A075B6J6
P0DPK3	Q147X3	A0A5F9Z9Y6
Q13398	Q15032	A0A8I5KXM2
Q13474	Q9BSI4	A6NDD5
Q14393	Q9NSV4	O76083
Q6ZMV5	O43781	O95760
Q6ZU64	Q9NP72	P01111
Q8N4W9	Q9P0K7	P62955
Q92629	Q9P0K9	Q15149
Q96LW9	P49640	Q5JST6
Q9BX63	Q8IYU2	Q6AI39
Q9H0D6	Q92537	Q96SB8
Q9NRA1	Q9NQG7	Q9BX73
Q9UBF6	O15162	Q9BZC1
Q9UKP5	Q8N8A2	Q9H2U2
Q9Y2J0	Q92633	O43525
Q9Y2X0	Q9BXQ6	P01718
Q9Y5R6	Q9BZM3	P0DJJ0
A0A0A6YYL3	O95359	Q13621
O95376	P54368	Q8TAM1
O95388	Q06416	Q92614
P00995	Q6P5X5	Q9BQF6
P02765	Q6Q759	Q9H2P9
P13497	Q8N660	Q9UBI6
P54753	Q8N819	Q9UI33
Q02643	Q8ND76	Q9Y371
Q6H8Q1	Q9H8H0	Q9Y5E6
Q6PDB4	C9JL84	O43395
Q6X784	Q96HC4	O75607
Q7RTY7	Q9NTQ9	Q12797
Q8NCS7	Q9NX47	Q13395
Q8NDW4	Q9UG22	Q14CB8
Q8NFJ8	Q9Y5H6	Q16553
Q96HF1	P32241	Q5JTZ9
Q9H334	P60827	Q6NTF7
Q9UGI8	Q5VZI3	Q86T65
Q9UP79	Q9H2Y7	Q96PZ2
Q9UPM6	O14682	Q9NY59
Q9Y2Q1	O15529	O43663
A0A8I5KTY6	O43805	O60462
A6NNM3	Q5FYB0	O95819
O00213	Q9BXI9	P26045
O14763	P24864	P29459
O15355	P58512	P48506
P04628	Q6DRA6	P78563
Q13133	Q8WXE9	Q12756
Q13402	H7C350	Q16586
Q17RS7	P0C0E4	Q5TCQ9
Q6A163	Q6L8G5	Q6P158
Q6FI81	Q8NEP3	Q6ZN28
Q6NSI1	Q9BZA8	Q86Y79
Q7LDG7	Q9NYF5	Q8N4M1
Q8N587	Q9UBB9	Q8TF44
Q8NAJ2	Q9Y2X7	Q96EV2
Q8NDA2	A4D2P6	Q9HBJ7
Q8TF40	P35637	Q9NR80
Q96MU6	Q14213	Q9NZU1
Q9BWX5	Q7RTU3	Q9UNX4
Q9NR71	A6NER0	A0A5F9ZHS7
Q9NYQ7	P57729	O14497
Q9NZL4	P78524	P05165
Q9UBT6	Q18PE1	P10147
Q9Y2I2	Q2M3A8	P11150
A6NM66	O00555	Q14679
O60941	O43612	Q15361
O95886	P53355	Q16576
O95965	Q05923	Q8N3X1
P10275	Q5UIP0	Q8WTZ4
P81408	Q68DE3	Q96RN5
Q01201	Q7Z4M0	Q9BRT2
Q13939	Q8IU68	Q9BUM1
Q15785	Q9HB09	Q9C0K1
Q68CP9	P54274	Q9H0Q0
Q6B9Z1	Q5U623	O60437
Q6UWE0	Q6UXB0	P26368
Q6ZMZ0	Q8N100	P36896
Q6ZN55	Q96MT4	P68543
Q7Z6E9	Q14190	Q7Z3Y7
Q86Y25	Q5VTT5	Q8WXF8
Q8IWB4	Q6L8H4	Q92750
Q8N7Y1	Q96B54	Q9NRR6
Q99661	Q9NXJ5	Q9P2G4
Q9BZR6	Q9Y5Y2	Q9Y240
Q9H609	A0A087WXS9	A8MYP8
Q9UHD1	A0A286YFG1	P09960
O14649	A0A8Q3WKH5	P41134
O43609	P0C7U0	Q13423
O75603	Q15061	Q2KHT3
P01024	Q5XKL5	Q4VC12
P07288	A0A6Q8PHA8	Q5T5U3
P10074	A6NMD2	Q5TIE3
P17014	D6RGH6	Q5W5W9
Q08AE8	P22735	Q8NEM7
Q5KSL6	Q13009	Q8TEM1
Q5VWQ8	Q8N7U9	Q92817
Q6P988	Q96G01	Q96S38
Q86W47	Q96PD2	Q9C0C9
Q8N535	Q9BXL5	A6NKX4
Q8NBP7	A0A1B0GUT2	O60266
Q8TBC5	A0AAG2TUQ9	O95170
Q9H0A6	O14633	P50549
Q9H2Y9	P15509	P54296
Q9NS73	Q5BKY6	Q6NUQ4
Q9Y5F7	Q8TCH9	Q8NHK3
A0AAG2TU59	P0C5K7	Q96EF0
A6NDE4	P0C7V4	Q96GI7
O43309	Q6UXU6	A0A1W2PRS3
P00747	Q9BQ66	O75970
P22079	A0A183	O95838
P32239	Q6XCG6	P00441
P80370	P55291	P05026
Q03403	Q16655	P13196
Q17RY6	Q8N9R0	P43405
Q6UXH9	Q8TEV8	Q5H9F3
Q6ZVN7	Q969F8	Q5M775
Q7Z3F1	Q99590	Q5VST6
Q7Z6I5	Q9BYR4	Q7Z6W7
Q7Z6J4	Q9BZA5	Q9UMD9
Q8IWY8	A0A286YEY9	Q9Y6X9
Q8N2W9	P31260	P09936
Q8WWZ7	Q8TEC5	P13688
Q96N77	Q96A22	P17213
Q9NZR2	A6NI86	Q12789
Q9UDY6	A8MX19	Q13433
