accession	start	end
O00451	29	98
O00451	150	207
O00451	217	298
O00451	312	356
O14545	2	144
O14545	282	321
O14545	359	398
O43283	696	744
O43283	900	959
O95274	32	65
O95274	110	230
P08588	440	476
P0DH78	13	80
P0DH78	102	155
P20701	62	83
P24723	211	233
P25445	42	172
Q01955	24	49
Q03828	376	401
Q13114	42	248
Q13118	154	179
Q13118	191	221
Q13118	360	415
Q14957	1001	1036
Q14957	1089	1180
Q15878	2287	2312
Q2TV78	50	74
Q2TV78	116	262
Q2TV78	293	318
Q2TV78	336	384
Q2TV78	415	481
Q2TV78	635	660
Q2YD98	220	262
Q2YD98	566	586
Q5VTJ3	503	519
Q5VVW2	472	491
Q659A1	558	593
Q6PEW0	198	224
Q7Z4F1	147	191
Q7Z4F1	308	435
Q86UF1	170	190
Q8NBB4	311	334
Q8NBB4	371	394
Q8TDJ6	54	71
Q8TDJ6	1024	1039
Q8WXS8	500	722
Q8WXS8	859	1030
Q8WXS8	1052	1101
Q96LS8	46	62
Q96NJ3	179	246
Q96NJ3	503	554
Q9BY79	11	43
Q9BY79	280	306
Q9BY79	412	472
Q9BY79	526	578
Q9P2E3	1253	1574
Q9P2E3	1856	1881
Q9Y6F6	0	16
A0A1B0GUW6	1	19
A0A1B0GUW6	67	96
A0A1B0GUW6	112	139
A0A1B0GUW6	531	556
A0A1B0GUW6	569	597
A0A1B0GUW6	648	668
A8MWY0	43	127
A8MWY0	285	437
A8MWY0	450	471
A8MWY0	599	675
A8MWY0	827	854
O00222	505	540
O14512	22	42
O14512	69	89
O14727	693	712
O43638	201	224
O43766	95	153
O60309	820	845
O60309	1044	1066
O75078	381	397
O75078	432	592
O75078	622	718
P10912	414	434
P10912	503	523
P26371	0	168
P29274	144	160
P55285	580	600
P55773	92	114
P98073	198	226
P98073	632	683
P98073	759	781
P98073	930	979
P98164	0	384
P98164	658	681
P98164	966	1323
P98164	1387	1426
P98164	2011	2034
P98164	2338	2363
P98164	2640	3196
P98164	3458	4055
P98164	4369	4413
Q14865	220	314
Q15031	495	515
Q5H8A4	597	637
Q5SQ80	90	108
Q64ET8	1	26
Q64ET8	84	127
Q6UXB8	109	206
Q86YH2	334	380
Q86YH2	390	429
Q86YH2	448	491
Q8N878	502	542
Q8TEX9	556	578
Q8TEX9	721	744
Q99675	263	282
Q99675	310	328
Q9BV97	172	189
Q9BV97	200	251
Q9UHB6	379	417
Q9Y2H8	192	216
Q9Y2H8	245	278
Q9Y2H8	395	474
Q9Y5Y6	395	417
Q9Y5Y6	442	613
A0A286YEV6	0	104
A2VDJ0	1285	1317
A2VDJ0	1360	1446
A2VDJ0	1543	1569
A6NCW7	105	131
A9YTQ3	342	364
A9YTQ3	426	446
A9YTQ3	512	557
A9YTQ3	605	655
O95445	146	163
P26436	179	264
P55055	76	167
P78386	0	39
P78386	61	103
P78386	424	463
P78386	475	504
Q07954	17	197
Q07954	467	515
Q07954	796	1259
Q07954	1529	1557
Q07954	1839	1882
Q07954	2153	2189
Q07954	2466	3026
Q07954	3283	3869
Q07954	4140	4417
Q13535	505	523
Q3BBV2	628	655
Q3BBV2	778	812
Q496H8	0	17
Q496H8	76	96
Q5VV67	1398	1414
Q6P9F0	417	446
Q6P9F0	462	525
Q6P9F0	542	569
Q6PK81	182	233
Q6ZVN8	30	51
Q6ZVN8	69	106
Q6ZVN8	137	182
Q76I76	543	579
Q76I76	1261	1290
Q7RTV3	158	211
Q8N7R7	0	21
Q8NEC7	606	630
Q8NG08	51	68
Q9BYW3	28	74
Q9H5I1	219	249
Q9HCU4	30	56
Q9HCU4	83	157
Q9HCU4	1265	1352
Q9HCU4	1560	1618
Q9HCU4	1750	1770
Q9HCU4	1780	2021
Q9UH90	0	104
Q9UMW8	223	242
Q9Y252	621	681
A8MQ14	214	264
O43155	637	659
O43291	75	97
O43291	171	189
O60242	176	206
O60242	222	249
O60242	292	547
P02748	26	151
P20155	35	66
P22528	0	82
Q06730	235	254
Q06730	268	370
Q06730	531	763
Q06730	788	808
Q06732	236	255
Q06732	269	371
Q0VG06	334	411
Q0VG06	616	646
Q0VGE8	212	439
Q13115	172	192
Q2QGD7	171	224
Q2QGD7	337	364
Q2QGD7	379	435
Q5SVZ6	121	150
Q5SVZ6	427	464
Q5VWM6	445	470
Q5W0U4	17	60
Q6S9Z5	157	252
Q6S9Z5	276	315
Q6ZMQ8	730	763
Q8IVF1	1	68
Q8IVF1	97	120
Q8N813	142	167
Q8N813	200	241
Q8NER5	138	159
Q8TDY4	340	389
Q8TDY4	430	459
Q8TER0	254	911
Q8TER0	1300	1412
Q96BW5	25	47
Q9H6E5	555	583
Q9H9J4	134	166
Q9HBE5	381	403
Q9HBE5	417	439
Q9NRE2	372	394
Q9UBS8	257	277
Q9UBS8	310	331
Q9UBS8	393	419
C9JVI0	34	61
C9JVI0	101	135
D6RBQ6	34	61
D6RBQ6	101	135
O15014	290	315
O15014	486	511
O15021	322	342
O15079	287	317
P07327	87	135
P0DPI3	190	234
P56715	1201	1348
Q400G9	342	363
Q5T764	127	152
Q5VW22	579	607
Q76L83	1389	1429
Q86VQ1	349	390
Q8N3Y3	30	56
Q96CS7	42	91
Q9H8J5	52	72
Q9NQ32	231	297
Q9NQ32	331	351
Q9NRQ2	184	214
Q9NRR2	187	230
Q9UMS6	288	308
Q9Y5U5	16	160
A0A1B0GTH6	465	507
O00548	37	57
O00548	185	525
O00548	568	605
O00755	121	148
O00755	189	220
O00755	267	348
O15537	27	55
O43526	417	438
O43526	809	858
O43866	27	76
O75095	37	61
O75095	102	1534
O94875	307	344
O94875	378	426
O94875	646	670
P10600	342	357
P57682	311	334
Q14584	72	104
Q14584	123	422
Q15139	285	329
Q15910	275	333
Q15910	489	613
Q2KHN1	17	169
Q68CJ9	112	135
Q6ZMP0	58	89
Q6ZMP0	280	321
Q6ZMP0	336	415
Q6ZMP0	618	983
Q6ZMP0	994	1017
Q6ZRV3	3	45
Q6ZVT6	476	497
Q6ZVT6	662	685
Q6ZWJ8	76	1221
Q6ZWJ8	1333	1354
Q6ZWJ8	1377	1556
Q86XK2	352	367
Q86XK2	383	411
Q86XK2	847	926
Q86XT9	152	176
Q8IU81	491	560
Q96BR5	13	42
Q96GW7	639	688
Q96GW7	849	880
Q9BYD5	0	83
Q9BZA0	22	65
Q9P2D0	200	239
Q9P2D0	313	332
Q9UBX7	171	247
A0A2U3TZM8	49	105
A0A3B3IT33	49	73
A0A3B3IT33	84	102
A0A3B3IT33	112	136
A0AAG2UYG2	36	72
A8MUK1	34	61
A8MUK1	101	135
Q01973	232	255
Q01973	275	379
Q05707	1421	1460
Q14315	1092	1121
Q14315	2085	2105
Q15661	207	232
Q15813	130	150
Q16671	17	33
Q16671	67	125
Q16671	464	572
Q38SD2	67	89
Q38SD2	1662	1679
Q4G163	117	154
Q4G163	629	660
Q4G163	672	690
Q4KMG0	1097	1129
Q4KMG0	1149	1199
Q4KMG0	1219	1239
Q5FWF5	203	229
Q5W111	2	21
Q5W111	38	59
Q7RTY5	204	225
Q86WR7	76	97
Q96T88	291	372
Q96T88	392	419
Q9BTC0	250	328
Q9BTC0	339	359
Q9BTC0	386	426
A0AAG2TV48	39	75
O75326	489	510
O75326	572	599
O76096	13	35
O76096	97	113
P07204	19	34
P07204	214	489
P0CH99	114	267
P15289	150	177
P15289	477	506
P51888	62	88
Q13822	48	157
Q14314	29	58
Q14314	88	108
Q16515	311	348
Q6ZN32	205	220
Q7Z407	1747	1771
Q7Z407	2666	2695
Q7Z407	2752	2770
Q7Z407	2857	2884
Q7Z407	2903	2943
Q7Z407	2977	3065
Q7Z407	3143	3182
Q7Z407	3195	3242
Q7Z407	3273	3300
Q7Z407	3329	3363
Q7Z407	3377	3420
Q7Z4I7	114	140
Q7Z4I7	156	210
Q8IW03	62	84
Q8N5Z5	278	310
Q8TBP0	713	744
Q96KS0	33	53
Q9BR61	248	276
Q9HBH9	237	253
Q9HBH9	297	323
Q9HBH9	360	389
Q9NQZ6	179	212
Q9UPT8	385	472
A0A0J9YWL9	948	987
Q03923	96	146
Q03923	161	246
Q15283	724	750
Q3YBR2	224	245
Q60I27	329	372
Q6IPT4	17	36
Q8N8U9	67	233
Q8N8U9	245	370
Q8N8U9	490	506
Q8N8U9	527	568
Q8N8U9	578	684
Q96LM9	32	54
Q96P44	405	453
Q9BZR9	29	71
Q9BZR9	85	130
Q9BZR9	461	484
Q9HCL3	191	242
Q9HCL3	415	466
Q9Y5L4	35	72
A8MT70	113	148
C9JJH3	34	61
C9JJH3	105	131
O43187	433	500
O75094	28	49
O75094	256	297
O75094	495	522
O75094	705	747
O75094	877	1156
O75094	1320	1522
O75820	136	190
O95868	18	104
P01178	20	124
P03999	317	336
P09603	162	200
P42681	12	28
P51693	73	218
Q01538	431	519
Q01538	789	926
Q13129	652	678
Q13129	705	747
Q13129	931	970
Q13129	1004	1064
Q13129	1163	1186
Q13129	1201	1270
Q13129	1289	1362
Q13129	1435	1460
Q13129	1529	1565
Q13129	1580	1697
Q14573	1939	1961
Q5T1R4	185	234
Q5T1R4	1748	1796
Q6NSW7	0	38
Q6P6B7	0	44
Q6ZP01	431	466
Q86Z20	275	298
Q8NB50	132	183
Q8NB50	412	466
Q8WWW0	113	179
Q93052	405	439
Q93052	466	491
Q93052	531	548
Q93052	566	592
Q93084	593	612
Q96CX6	328	348
Q96F81	20	66
Q96F81	315	349
Q96F81	389	416
Q96F81	1135	1160
Q96F81	1191	1225
Q96F81	1251	1307
Q96F81	1324	1346
Q96F81	1385	1426
Q96F81	1462	1505
Q9BQ31	469	490
Q9BXK1	120	173
Q9BY15	22	76
Q9BY15	94	126
Q9BYQ3	0	158
Q9C0C7	290	323
Q9P055	29	47
O14867	136	159
O14867	173	233
O14867	252	286
O14867	401	421
O14867	450	531
O14867	546	590
O14867	610	640
O14867	704	735
O43189	84	135
O95644	159	191
O95644	732	760
P05160	61	94
P05160	116	162
P05160	257	345
P05160	363	405
P05160	429	463
P05160	494	531
P05160	637	655
P14210	166	416
P14210	429	484
P14210	642	678
P31276	35	78
P31276	131	154
P35030	0	30
P35030	242	267
P43694	206	244
P43694	260	304
P59020	108	129
Q15057	396	421
Q16760	176	214
Q3SXZ3	104	143
Q3SXZ3	162	213
Q7Z2T5	110	141
Q7Z2T5	155	173
Q7Z2T5	502	522
Q7Z5L0	158	183
Q86YR6	0	49
Q8WTU2	116	144
Q8WTU2	214	232
Q8WTU2	252	297
Q8WTU2	342	452
Q8WTU2	469	490
Q8WTU2	504	525
Q8WTU2	547	574
Q96PT3	3	23
Q9BX93	64	123
Q9BX93	179	194
Q9ULV1	35	54
Q9ULV1	142	167
A0A286YF46	0	84
O43240	154	184
O43240	213	235
O76015	0	101
O76015	131	154
O76015	304	358
O76015	402	455
O76031	0	18
O76031	94	122
P01730	434	457
P08571	19	40
P0C7I0	101	131
P0C7I0	243	263
P0DV74	36	72
P35372	34	62
P35789	108	181
P35789	192	243
P35789	388	439
P56277	0	67
Q07864	640	663
Q6DN03	88	116
Q6DN03	137	170
Q6ZNG2	141	163
Q6ZS02	130	150
Q6ZS27	195	346
Q71F56	412	435
Q7Z434	34	50
Q96HD1	35	58
Q96HD1	87	108
Q96HD1	129	336
Q9BU40	69	187
Q9BU40	245	342
Q9BV87	260	277
Q9BV87	325	361
Q9BYR2	0	180
Q9C086	309	343
Q9H582	359	424
Q9H582	439	462
Q9H582	487	563
Q9H582	577	600
Q9H9S0	0	38
Q9HC78	56	76
Q9HC78	569	586
Q9HC78	630	648
Q9HC78	698	729
Q9NQF3	187	202
Q9UET6	267	328
A3QJZ6	127	145
A3QJZ6	452	473
A6NKQ9	50	169
O00161	68	96
O60381	322	343
O75132	55	77
O75132	471	505
P02787	182	197
P02787	343	369
P02787	426	446
P02787	496	532
P02787	571	633
P10589	75	155
P54764	222	334
P54764	355	389
Q12791	683	732
Q15928	105	145
Q15928	218	269
Q1RN00	82	140
Q495Z4	64	124
Q56VL3	122	146
Q5T2Q4	0	36
Q5TA81	0	109
Q7Z5K2	998	1018
Q8IWU6	434	485
Q8IWU6	664	686
Q8IWU6	728	754
Q8IWU6	831	850
Q8NF50	159	202
Q96K80	31	101
Q96K80	129	163
Q96MH2	267	285
Q96NW7	492	513
Q9BYQ8	0	209
Q9C0G0	109	144
Q9C0G0	185	252
Q9C0G0	472	499
Q9C0G0	517	602
Q9C0G0	696	719
Q9C0G0	841	864
Q9C0G0	1477	1500
Q9C0G0	1528	1581
Q9C0G0	1615	1642
Q9C0G0	1677	1762
Q9NS68	27	72
Q9NS68	128	158
Q9NS68	209	278
Q9UHF5	110	172
Q9UK28	31	55
Q9UK28	85	133
Q9UNK4	48	74
Q9UNK4	95	111
Q9UNK4	129	144
Q9Y210	32	65
Q9Y210	245	267
A0A590UJ96	408	436
A0A590UJ96	582	608
C9JH25	796	841
O95436	625	689
P0CI00	114	267
P28702	180	274
P45880	0	21
P50579	215	240
Q07912	964	986
Q13077	11	66
Q13077	77	104
Q2VIR3	90	114
Q30KQ8	43	96
Q53GT1	505	532
Q5TB30	390	430
Q5TB30	487	517
Q5VUG0	635	659
Q6NZ36	132	179
Q6S8J7	17	44
Q6T4R5	723	750
Q6URK8	49	75
Q6ZUB0	116	134
Q7Z4Q2	46	68
Q86UZ6	424	460
Q86UZ6	490	513
Q86VK4	210	226
Q86VK4	270	325
Q8IUG5	1567	1598
Q8N1L9	73	133
Q8N9F0	0	19
Q96GX1	160	195
Q96PZ7	2307	2325
Q96PZ7	2459	2504
Q96PZ7	2521	2560
Q96PZ7	2662	2689
Q96PZ7	2720	2748
Q96PZ7	2769	2805
Q96PZ7	2885	2987
Q96PZ7	3011	3046
Q96PZ7	3065	3106
Q96PZ7	3144	3164
Q96PZ7	3195	3227
Q96PZ7	3243	3284
Q9BU19	0	35
Q9BU19	63	78
Q9BU19	319	375
Q9BU19	408	462
Q9GZZ6	377	394
Q9HCX3	133	209
Q9HCX3	242	293
Q9HCX3	438	517
Q9NY15	32	362
Q9NY15	647	986
Q9NY15	1255	1586
Q9NY15	1862	1912
Q9NY15	1935	2228
Q9UJW2	56	74
Q9UJW2	84	159
Q9UJW2	265	284
Q9UJW2	305	355
A0A096LP55	26	79
H3BUK9	0	44
H3BUK9	54	81
O14901	157	204
O14901	220	243
O14901	415	468
O94929	0	49
O94929	116	164
O94929	212	248
O95704	249	273
P08F94	1880	1900
P08F94	4043	4070
P22459	615	652
P35913	28	52
P35913	831	853
P43652	76	114
P43652	189	204
P43652	268	322
P43652	379	402
P43652	484	502
P43652	580	598
P81274	499	519
Q10472	515	548
Q13615	323	340
Q13615	519	538
Q13615	576	599
Q13615	904	931
Q13615	1078	1102
Q13615	1141	1183
Q14839	362	423
Q14839	441	504
Q68DI1	255	517
Q8N9V2	43	65
Q8NDY8	31	47
Q8NDY8	77	107
Q8NEB7	57	77
Q8NEB7	383	404
Q92963	0	16
Q96CA5	24	39
Q96CA5	272	287
Q96HI0	188	209
Q96JB3	433	456
Q96JB3	496	547
Q99988	192	216
Q99988	235	283
Q9BYR5	0	135
Q9BYV6	64	88
Q9BYV6	113	138
Q9BYV6	186	210
Q9GZR1	785	824
Q9H158	710	743
Q9H1M3	31	55
Q9P241	669	701
Q9WJR5	928	958
Q9Y6L7	577	614
Q9Y6L7	725	785
A0A1W2PP97	87	113
O14639	4	23
O14639	59	126
O14639	148	239
O14639	256	280
O14639	290	323
O15541	272	308
O43597	160	255
O43597	276	314
O75445	508	1062
O75445	3155	3453
O75445	4807	4823
P04733	0	60
P09093	204	228
P22692	11	109
P22692	120	147
P22692	193	257
P98077	72	108
Q5JXM2	0	21
Q5JXM2	86	106
Q6UXR6	62	91
Q6UXR6	134	174
Q6X4U4	64	102
Q6X4U4	123	174
Q75N03	100	119
Q75N03	129	181
Q7Z7G8	3966	3987
Q8N806	24	80
Q8N806	99	120
Q8N806	133	158
Q8TC27	332	358
Q8TC27	373	536
Q8TC27	550	566
Q8TC27	591	662
Q8WYQ9	776	806
Q8WYQ9	897	930
Q9H013	349	690
Q9H093	560	627
Q9HBT6	586	606
Q9NP50	9	28
Q9NP50	187	205
Q9NQX0	127	173
Q9NQX0	188	219
Q9NQX0	483	591
Q9NVF9	11	48
Q9UN74	725	741
A6NKG5	528	543
B1AJZ9	561	586
O43248	5	28
O75564	538	555
P00325	87	138
P19013	0	23
P26010	34	100
P26010	465	681
P51689	486	512
P51689	577	592
P78334	400	443
P98168	192	229
P98168	291	308
P98168	321	377
P98168	429	447
P98168	471	496
Q14674	1135	1152
Q147U1	187	240
Q147U1	385	532
Q17RN3	89	107
Q5T7W0	247	270
Q5TYW1	208	308
Q5TYW1	405	644
Q5VZB9	63	135
Q86YV5	0	44
Q86YV5	242	352
Q86YV5	895	921
Q86YV5	999	1051
Q86YV5	1076	1096
Q96EG1	166	191
Q96EG1	501	524
Q96N19	325	354
Q96N19	371	416
Q9BRQ0	319	381
Q9BWF3	151	174
Q9H9P5	25	46
Q9H9P5	70	161
Q9H9P5	202	329
Q9H9P5	628	679
Q9NRY4	20	40
Q9NYJ7	168	475
Q9UBN6	72	191
Q9UGC6	17	49
Q9UHC7	50	85
Q9UHC7	98	113
Q9UHC7	168	268
Q9UHV7	290	314
Q9UHV7	1111	1128
Q9UKT9	109	233
Q9Y282	131	167
O15156	337	388
O94806	286	330
P10070	392	486
P10070	632	663
P29597	542	559
P52746	154	205
P52746	277	292
P52746	307	375
P52746	389	460
P52746	476	587
P52746	829	898
P52746	1017	1054
P52746	1095	1149
P52746	1162	1304
P52746	1319	1394
P52746	1413	1515
P52746	1584	1635
P81172	62	83
Q01954	26	65
Q01954	294	316
Q01954	348	401
Q01954	429	452
Q01954	711	764
Q01954	947	972
Q0P6D6	885	908
Q13772	340	377
Q13772	387	431
Q15560	250	298
Q5JVG2	167	190
Q5JVG2	212	237
Q5JVG2	263	302
Q5JVG2	338	426
Q5JVG2	821	848
Q6ZN11	132	202
Q6ZN11	218	297
Q7RTS3	90	129
Q8N1G1	13	37
Q8N1G1	959	986
Q8N1G1	1006	1035
Q8N8U3	447	474
Q8NHY6	416	483
Q8NHY6	505	603
Q8WV24	79	97
Q8WXE1	385	408
Q8WXE1	758	790
Q92800	322	381
Q92800	396	432
Q92800	483	613
Q96DN6	49	75
Q96GL9	51	107
Q96JM3	5	28
Q96JM3	757	801
Q96NS1	0	26
Q9C040	49	70
Q9C040	107	150
Q9H461	96	157
Q9H461	217	268
Q9H461	558	575
Q9NRS4	72	101
Q9P1T7	148	170
Q9P1T7	189	245
A6NL88	96	137
A8MUL3	68	94
O14513	446	470
O14513	529	557
O75113	531	567
O94851	740	760
O94851	1048	1068
P47944	0	61
P51587	659	747
P51587	1874	1922
P51587	3234	3274
P51828	771	790
P56705	125	152
P56705	195	229
P56705	269	323
Q01974	236	346
Q13075	319	351
Q15466	0	15
Q15466	32	57
Q3B8N5	4	24
Q8IXZ2	662	802
Q8N812	101	122
Q8NEG5	223	245
Q8NEG5	514	559
Q8NEG5	591	614
Q8TC21	186	405
Q8TD26	1619	1636
Q8TD26	1781	1841
Q8TD26	1925	1947
Q8TE54	530	569
Q96JK2	872	893
Q9BXR0	306	329
Q9BYW2	703	745
Q9BYW2	774	814
Q9BYW2	1438	1548
Q9BYW2	1614	1643
Q9BYW2	1674	1694
Q9UJM3	102	155
Q9UM63	23	105
Q9UM63	147	173
Q9UN75	723	741
A0A2R8Y4M4	16	77
A0AAG2UXK7	1049	1083
A0AAG2UXK7	1294	1328
A0AAG2UXK7	1539	1571
O00253	76	110
O15198	175	207
O94913	1479	1499
O94916	148	181
P01100	313	331
P09544	124	151
P09544	195	215
P09544	278	357
P0DPF2	13	41
P0DPF2	163	197
P0DPF2	257	291
P0DPF2	407	441
P0DPF2	508	528
P0DPF2	651	685
P0DPF2	745	779
P0DPF2	895	929
P0DPF2	996	1016
P0DPF2	1139	1173
P0DPF2	1240	1260
P0DPF2	1383	1417
P0DPF2	1484	1504
P0DPF2	1627	1661
P0DPF2	1728	1748
P0DPF2	1871	1905
P0DPF2	1965	1999
P0DPF2	2115	2149
P0DPF2	2209	2243
P0DPF2	2359	2393
P0DPF2	2453	2487
P0DPF2	2603	2637
P0DPF2	2704	2724
P0DPF2	2847	2881
P0DPF2	2948	2968
P0DPF2	3091	3125
P0DPF2	3192	3212
P0DPF2	3335	3369
P0DPF2	3436	3456
P0DPF2	3579	3613
P0DPF2	3673	3707
P0DPF2	3823	3857
P0DPF2	3917	3951
P0DPF2	4067	4101
P0DPF2	4161	4195
P0DPF2	4311	4345
P0DPF2	4480	4514
P0DPF2	4649	4681
P0DPF2	4799	4833
P0DPF2	4893	4927
P0DPF2	5043	5077
P0DTF9	35	55
P34096	83	146
P49862	126	242
Q01151	15	38
Q01151	89	114
Q02833	54	82
Q02833	95	129
Q02833	141	161
Q15042	500	532
Q3V5L5	726	749
Q3V5L5	770	787
Q5FWF6	225	299
Q6ICB4	152	183
Q6ICB4	239	258
Q6ZNH5	95	148
Q6ZWE6	704	732
Q8IWT3	1949	1978
Q8IWT3	2045	2091
Q8IWT3	2107	2129
Q8IWT3	2152	2212
Q8IWT3	2225	2257
Q8N8Z3	108	130
Q8N988	136	187
Q969H9	17	58
Q96HQ0	194	239
Q96HQ0	250	329
Q96LC7	450	466
Q96MC9	86	125
Q96MC9	167	194
Q96MC9	215	269
Q9BWW7	182	236
Q9BWW7	323	346
Q9NRU3	887	918
Q9UPX8	283	306
O00622	20	173
O00622	218	361
O15165	26	56
O95785	295	318
O95785	344	367
O95785	864	884
O95785	1387	1408
P04003	154	184
P04003	218	248
P04003	273	308
P04003	321	434
P04003	468	567
P0CW18	202	234
P0CW18	245	322
P0CW18	360	396
P13224	19	41
P17040	238	263
P17040	641	667
P17040	701	752
P17040	866	918
P54257	0	19
P54257	655	670
P56373	105	132
P61129	267	302
P61129	331	354
Q14766	158	227
Q14766	353	439
Q14766	548	738
Q14766	866	1586
Q14766	1618	1720
Q14831	512	578
Q15650	160	217
Q6ZMY9	169	185
Q6ZMY9	196	248
Q6ZV89	3	19
Q6ZV89	378	406
Q7L0R7	119	164
Q7L0R7	403	429
Q86TJ5	262	287
Q86TJ5	315	478
Q8NF86	139	168
Q8NF86	209	239
Q96KX2	44	60
Q96QE3	8	42
Q96QE3	1627	1647
Q9BYJ0	32	126
Q9GZT5	146	168
Q9GZT5	251	285
Q9GZT5	327	401
Q9Y6U7	307	325
A2RUT3	38	55
A6NEQ0	431	480
A6NKF1	46	70
A8MUP6	34	61
O14905	44	75
O14905	129	156
O14905	199	232
O14905	280	325
O15230	53	115
O15230	297	879
O15230	1056	1099
O15230	1134	1160
O15230	1429	1646
O15230	1820	2179
O15547	127	162
O60243	105	131
O60243	202	232
P17031	163	235
P17031	249	300
P36551	9	35
P51460	104	130
P62736	0	21
Q0WX57	34	61
Q0WX57	101	135
Q15468	587	615
Q15468	637	712
Q17R55	150	167
Q3KNW5	0	20
Q3KNW5	315	339
Q3KNW5	352	376
Q5RL73	169	221
Q5VU36	1216	1257
Q5VU36	1326	1345
Q6ZVC0	698	724
Q6ZVC0	777	813
Q70EL2	88	110
Q70EL2	159	189
Q70EL2	635	653
Q7Z478	636	664
Q7Z6M1	18	45
Q8N8Z8	55	199
Q8N8Z8	218	692
Q96EG3	104	324
Q96JF6	118	169
Q96JF6	559	613
Q96JF6	752	803
Q9H2E6	510	551
Q9H4D5	271	291
Q9H4D5	310	332
Q9UBS9	1173	1196
A8MUZ8	107	239
D6RGX4	36	72
O94769	106	166
O95631	30	103
O95631	274	489
P02679	154	174
P08833	23	113
P08833	195	227
P17032	164	192
P17032	262	313
P17032	457	534
P52798	142	162
P58215	104	153
P58215	259	290
P58215	365	415
P58215	485	521
P58215	629	655
P58215	702	721
Q2L4Q9	184	234
Q2L4Q9	282	305
Q2L4Q9	532	552
Q496Y0	174	192
Q496Y0	405	433
Q496Y0	465	515
Q5GLZ8	374	394
Q5T871	8	97
Q5THK1	261	314
Q5THK1	333	371
Q5THK1	713	739
Q5THK1	766	810
Q5THK1	823	856
Q5THK1	1016	1088
Q5THK1	1121	1161
Q5THK1	1251	1321
Q5THK1	1476	1512
Q5THK1	1729	1752
Q5THK1	1896	1917
Q6UW56	68	89
Q6UW56	146	186
Q6ZNE9	509	570
Q7Z3D6	141	191
Q7Z3D6	234	274
Q7Z3V5	81	176
Q7Z3V5	186	293
Q8N554	68	91
Q8N554	157	190
Q8N554	223	249
Q8N554	414	481
Q8NC60	130	153
Q8TCV5	17	139
Q96JP5	302	358
Q96JP5	391	418
Q96QU4	84	127
Q9H8W4	147	233
Q9HCK1	0	20
Q9HCK1	1439	1465
Q9HCK1	1551	1630
Q9HCK1	1928	1959
Q9NS98	517	556
Q9NS98	724	746
Q9UGU0	1695	1713
Q9UGU0	1784	1817
Q9UGU0	1876	1959
Q9Y4G2	259	293
Q9Y4G2	480	507
Q9Y4G2	570	586
Q9Y4G2	1025	1052
A8MVM7	387	423
B5MCY1	1145	1160
O75473	26	49
O95620	0	23
P07333	942	971
P21128	18	133
P21128	157	188
P21912	85	118
P21912	241	262
P41143	330	369
Q5W150	0	53
Q5W150	114	138
Q6ZS92	111	129
Q7Z5A4	250	273
Q8IV63	0	31
Q8N814	3	37
Q8N814	84	106
Q8N9P0	57	98
Q8NF67	10	44
Q8WV99	0	71
Q9BYE2	196	217
Q9BYE2	494	519
Q9ULI3	978	1053
Q9ULI3	1171	1195
Q9ULI3	1216	1239
A6NGY1	85	128
B7Z6K7	83	106
